РЕЕСТР,,,,,,,,
"О ДЕЙСТВУЮЩИХ ЛИЦЕНЗИЯХ НА РОЗНИЧНУЮ ПРОДАЖУ АЛКОГОЛЬНОЙ ПРОДУКЦИИ В ХАНТЫ-МАНСИЙСКОМ АВТОНОМНОМ ОКРУГЕ-ЮГРЕ, на территории город Урай""  по состоянию на 01.07.2011",,,,,,,,
,,,,,,,,
№,Номер,Наименование Предприятия,Адрес .юридического лица,"Вид деятельности, адрес места нахождения объекта",Номер Серия,Дата,Доп Информация,Состояние
1,3267,"Обществу с ограниченной ответственностью ""Вектор""  ИНН 8606011608","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон Д, д. 63 А, магазин ""Провиантъ"" (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"413979,  Б",21.07.2006 до 21.07.2011,,
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1 Д, д. 63 А, магазин ""Провиантъ"".    ",,,,
2,4085,"Обществу с ограниченной ответственностью ""Урайоптторг""  ИНН 8606005837","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, 3 микрорайон, д. 31, кв. 17 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000554,  Р №",11.04.2007 до 21.05.2007 Продлена до 21.05.2012 ,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, 61, магазин ""Премьера"";  2.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 2 микрорайон, д. 23, магазин ""Союз"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, 112, магазин ""Гера"";  4. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, промбаза, магазин  ""Конда"";  5. г. Урай Ханты-Мансийского",,,,
3,4109,"Обществу с ограниченной ответственностью ""Грейс""   ИНН8601006241","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, 2 микрорайон, дом 59 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000577,  Р №",20.04.2007 до 02.08.2011,,
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, дом 59,               кафе ""Бриз"".   ",,,,
4,4414,"Обществу с ограниченной ответственностью ""АЛМАЗ""   ИНН 8606011559","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 2, д. 90, кв. 47 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000892,  Р №",29.10.2007 до 04.09.2011,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 2, д. 53, кв. 2, магазин ""Авей"";  2.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 2, д. 90, кв. 47, магазин ""Арарат"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, ул. 50 лет ВЛКСМ, торгово-остановочный комплекс ""Лилит"" (содержание этилового спирта не более 15 процентов объема готовой продукции);  4. г. Урай",,,,
,,,,"Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 1 А, д. 68, отдел ""Продукты"" в магазине ""Маяк"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4193  04.06.2007  
5,4458,"Обществу с ограниченной ответственностью ""Сибирь""  ИНН8606011012  ","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон ""Западный"", 19 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000938,  Р №",23.11.2007 до 28.12.2008 Продлена до 28.12.2013 ,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай     Ханты - Мансийского    автономного    округа  -  Югры   Тюменской   области,   ул.   Ленина,     дом  98,  отдел в торговом центре ""Перекресток"";  2. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 2-А, дом 10, отдел в торговом центре ""Сибирь"";  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон ""Западный"", дом 19-А, отдел в торговом центре ""Западный"";  4. г. Урай Ханты-Мансийского",,,,
,,,,"автономного округа - Югры Тюменской области, микрорайон 2, дом 39/1, отдел в торговом центре ""Апельсин"".    ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4169  21.05.2007  
6,4562,"Обществу с ограниченной ответственностью   ""Управление рабочего снабжения ""Сибнефтепровод""  ИНН 7202093106","Место нахождения юридического лица:  г. Тюмень Тюменской области, ул. Республики, д. 204 А (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001041,  Р №",11.01.2008 до 11.06.2012,,настоящая лицензия выдана в порядке переоформления лицензии   №  3045  19.06.2006  
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 3 микрорайон, д. 26 А, магазин ""Югория"";  2.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, 2 микрорайон, д. 77, магазин ""Родничок"";  3. пгт. Междуреченский Кондинского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Маяковского, 17, магазин ""Дока-хлеб"";  4. пгт. Междуреченский Кондинского района Ханты-Мансийского автономного округа -",,,,
