Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"Общество с ограниченной ответственностью ""Титан""",7326024850,73МЕ1636,12-13-2011,73
"Общество с ограниченной ответственностью ""Ренесанс"",",7327021587,73МЕ7001596,11-18-2011,73
"Общество с ограниченной ответственностью ""Престиж""",7325057387,73МЕ1638,12-14-2011,73
"Общество с ограниченной ответственностью ""ОНЕГА""",7327035928,73МЕ1584,10-28-2011,73
"Общество с ограниченной ответственностью ""АкваМарин""",7325040760,73МЕ1608,11-25-2011,73
"Общество с ограниченной ответственностью ""Престиж»",7313004334,73МЕ1674,01-13-2012,73
"Общество с ограниченной ответственностью ""Натали""",7306036977,73МЕ778,02-13-2009,73
"Общество с ограниченной ответственностью ""Рябинка""",7321309185,73МЕ1595,11-18-2011,73
"Общество с ограниченной ответственностью ""Дворянин""",731300448,73МЕ856,04-17-2009,73
"Закрытое акционерное общество ""Агропродуктсервис""",7303017768,73МЕ1648,12-19-2011,73
"Общество с ограниченной ответственностью ""ЛИРА М""",7327035999,73МЕ1639,12-14-2011,73
"Общество с ограниченной ответственностью ""РосАр""",7325036228,73МЕ1640,12-14-2011,73
"Общество с ограниченной ответственностью ""Иштекс-ОП""",7321307981,73МЕ1594,11-18-2011,73
"Закрытое акционерное общество ""Торговый Дом ""БЛИСС"",",7328504266,73МЕ1604,11-25-2011,73
"Общество с ограниченной ответственностью ""Петрович"",",7325057556,73МЕ1657,12-26-2011,73
"Общество с ограниченной ответственностью ""АВЕСНА"",",7310100142,73МЕ777,02-13-2009,73
"Общество с ограниченной ответственностью ""Южное""",7326024962,73МЕ1667,12-28-2011,73
"Общество с ограниченной ответственностью ""Ника"",",7327036544,73МЕ1631,9/12/2011,73
"Общество с ограниченной ответственностью ""Акцент"",",7310100618,73МЕ1627,7/12/2011,73
"Общество с ограниченной ответственностью ""ДУБРАВА"",",7328049169,73МЕ1624,7/12/2011,73
"Общество с ограниченной ответственностью ""Чайка-Плюс""",7327036424,73МЕ1660,12-26-2011,73
"Мелекесское потребительское общество,",7310007908,73МЕ1607,11-25-2011,73
"Общество с ограниченной ответственностью ""Агрофирма Ильдар""",7326025074,73МЕ1661,12-26-2011,73
"Общество с ограниченной ответственностью ""777"",",7325057676,73МЕ1651,12-23-2011,73
"Общество с ограниченной ответственностью ""АЛЛЕГРО"",",7327036520,73МЕ863,04-24-2009,73
"Общество с ограниченной ответственностью ""ВЕСТ"",",7327036537,73МЕ815,03-13-2009,73
"Общество с ограниченной ответственностью ""АЛЕКС""",7302032643,73МЕ1598,11-18-2011,73
"Общество с ограниченной ответственностью ""Эль-Гаучо""",7325056457,73МЕ768,6/2/2009,73
"Общество с ограниченной ответственностью ""Лидер""",7321310293,73МЕ792,02-19-2009,73
"Общество с ограниченной ответственностью ""Манго""",7327035950,73МЕ775,02-13-2009,73
"Общество с ограниченной ответственностью ""АЛСУ""",7311005710,73МЕ774,02-13-2009,73
"Общество с ограниченной ответственностью ""Реон""",7327037121,73МЕ800,02-27-2009,73
"Общество с ограниченной ответственностью Л.Ю.Р.Т."",",7328504964,73МЕ798,02-27-2009,73
"Общество с ограниченной ответственностью ""Мираж"",",7311002370,73МЕ810,6/3/2009,73
"Общество с ограниченной ответственностью ""Империал"",",7306037900,73МЕ793,02-19-2009,73
"Потребительское общество""Кооператор-У"",",7312003835,73МЕ807,6/3/2009,73
"Общество с ограниченной ответственностью ""Татьяна"",",7328505319,73МЕ7000828,03-27-2009,73
"Общество с ограниченной ответственностью ""Риск"",",7326024867,73МЕ820,03-13-2009,73
"Общество с ограниченной ответственностью ""РИМ"",",7328503939,73МЕ831,3/4/2009,73
"Закрытое акционерное общество ""Симбирск-Балтика Групп"",",7326001210,73МЕ1100,09-25-2009,73
"Потребительское общество""Ишеевское"",",7321032663,73МЕ827,03-27-2009,73
"Общество с ограниченной ответственностью ""МИМ"",",7326025677,73МЕ839,10/4/2009,73
"Общество с ограниченной ответственностью ""Адамас"",",7321311297,73МЕ826,03-27-2009,73
"Общество с ограниченной ответственностью ""ГАЛЛЕРЕЯ"",",7328505260,73МЕ842,10/4/2009,73
"Общество с ограниченной ответственностью ""Восход""",7328505460,73МЕ824,03-20-2009,73
"Общество с ограниченной ответственностью ""Ульяновскпродуктопт""",7325059909,73МЕ854,04-17-2009,73
"Общество с ограниченной ответственностью ""ГЕЛИОС"",",7310101467,73МЕ860,04-24-2009,73
"Общество ограниченной ответственностью ""Удача""",7313004849,73МЕ899,05-22-2009,73
"Общество с ограниченной ответственностью ""Островок"",",7311005290,73МЕ872,04-30-2009,73
"Общество с ограниченной ответственностью ""Альянс""",7321311321,73МЕ864,04-30-2009,73
"Общество с ограниченной ответственностью ""АвтоУАЗцентр N1""",7327018104,73МЕ686,04-30-2009,73
"Закрытое акционерное общество ""Ивла-Натюр""",7325006086,73МЕ890,05-15-2009,73
"Закрытое акционерное общество ""Автоснабсервис""",7328030880,73МЕ869,04-30-2009,73
"Общество с ограниченной ответственностью ""Вавилон""",7302032837,73МЕ843,10/4/2009,73
"Общество с ограниченной ответственностью ""ДЕВА""",7311005004,73МЕ882,8/5/2009,73
"Общество с ограниченной ответственностью ""Талисман""",7326025839,73МЕ876,8/5/2009,73
