,,,,"Реестр лицензий на осуществление розничной продажи алкогольной продукции, 
выданных лицензирующим органом города Губкинского, по состоянию на 01.04.2012 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
№ п.п.,"Наименование организации, 
с указанием организационно правовой формы
   
","Ф.И.О. 
руководителя ","Юридический адрес,
 номера 
телефонов","перечень территориально обособленных объектов, указанных в лицензии  ",Лицензия,,,,,,,,,,,,,,,,,,,,
,,,,,"вид  (до15% или свыше 1,5%)","серия,  номер",дата выдачи,срок действия,,,,,,,,,,,,,,,,,
А,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,"Закрытое акционерное общество «Кирилл»
","Фаерман Евгений Борисович
","г. Губкинский, мкр.11, д. 56,   
тел. 5-79-26
","магазин «Продукты» ТЦ «Континент» (мкр.11, д.56);
","свыше 1,5%","Г 128549
",17.05.2011 рег. № 257, 24.02.2008  23.02.2013,,,,,,,,,,,,,,,,,
,,,,"кафе «Пивоварня у Остапа» ТЦ «Континент» (мкр.11, д.56);",,,,,,,,,,,,,,,,,,,,,
,,,,"кафе «Анталия» 
(мкр.2, д.13); ",,,,,,,,,,,,,,,,,,,,,
,,,,"пивной бар ""Наша раша"" (ПКиО) ",,,,,,,,,,,,,,,,,,,,,
,,,,кафе «Кавказская пленница» (ПКиО);,,,,,,,,,,,,,,,,,,,,,
,,,,кафе «Казачий дозор» (ПКиО);,,,,,,,,,,,,,,,,,,,,,
,,,,кафе «Арарат» (ПКиО);,,,,,,,,,,,,,,,,,,,,,
,,,,"кафе «Оскар»       
 (ПКиО д.9);",,,,,,,,,,,,,,,,,,,,,
,,,,"бар «Боулинг Центр» (ПК и О, д.17)",,,,,,,,,,,,,,,,,,,,,
2,"Общество с ограниченной ответственностью ""Бахус""  ",Фирсакова Марина Анатольевна,"г. Губкинский, мкр.5, д. 5, кв.1","магазин «Бахус»  (мкр. 9, д. 13)","свыше 1,5%",Г 128553  ,11.07.2011 рег. 261,11.07.2011  10.07.2016,,,,,,,,,,,,,,,,,
,,,,"отдел «Бахус» магазина «Бахус»
(мкр. 12, д.35);
",,,,,,,,,,,,,,,,,,,,,
,,,,"магазин «Бахус+»  (мкр.7, д.5)",,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Бахус» 
ТД «Ямал-Пурпе» (мкр.4, д. 32)

",,,,,,,,,,,,,,,,,,,,,
3,"Общество с ограниченной ответственностью ""Дионис""  ",Долженкова Наталья Михайловна,"г. Губкинский, мкр.11, д. 35, 
тел. 3-30-52
",минимаркет «Дионис» (мкр.1);,до 15 %;,Г 128556,22.07.2011 рег. №264,22.07.2011 21.07.2012,,,,,,,,,,,,,,,,,
4,"Общество с ограниченной ответственностью ""ПИКНИК""", Иванова Ирина Борисовна,"г. Губкинский, мкр.12, д. 37, кв.10  тел. 5-32-02
","отдел «Алкогольная продукция» магазина «Любимый» 
(мкр.7, д. 58);","свыше 1,5%",Г 128562,26.08.2011 рег. №270,08.07.2011    07.07.2016,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» магазина «Любимый»
 (мкр. 1, д.19);",,,,,,,,,,,,,,,,,,,,,
,,,,отдел «Алкогольная продукция» минимаркета «Пикник» (мкр.11); ,до 15 %;,,,,,,,,,,,,,,,,,,,,
5,Общество с ограниченной ответственностью «Огни Ямала»   ,Абдурагимов Курбан Рабазанович,"г. Губкинский, промзона,  панель № 3,  тел. 3-06-80","отдел ""Вино-водка"" в магазине  № 34  (мкр. 2, д. 34);","свыше 1,5%",Г 128566,14.09.2011 рег. №273,08.07.2011   07.07.2016,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» в магазине «КВАНТ» (Пуровский р-он, 
п. Пурпе, мкр. СУ-39, д. 15);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» в магазине «Надежда-2» (Пуровский,  
 п. Пурпе,  ул. Полярная, д.  1а);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,," отдел «Вино-водка» в магазине  «Омега» (Пуровский р-он, 
п. Пурпе, ул. Лермонтова, д.19Б);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» магазина  «ТРИ МЕДВЕДЯ» (Пуровский р-он, п. Пурпе, 
ул. Аэродромная 38А);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» магазина  «Мир продуктов» (Пуровский р-он, п.Пурпе, 
КС-02, ул. Победы 3А);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция»  магазина  «Мир продуктов-1» (Пуровский р-он, п.Пурпе, КС-02, ул. Российская, д.1А);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» магазина  «ЛЮКС-2» (Пуровский р-он, п. Пурпе, ул. Аэродромная, д. 27 Г);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел ""Алкогольная продукция» магазина «Карина» (Пуровский р-он,  г. Тарко-Сале, ул. Бамовская д. 2);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"кафе «Супер-МАКС» (мкр.3, д.42);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» магазина «Немига» (мкр.14, д.7);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» в магазине «Эмин»  (Пуровский р-он, п.Пурпе, 
ул. Железнодорожная, д. 29);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"бар  «Супер-МАКС» (мкр.3, д.42) ;","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» магазина «Супер-МАКС»    ( мкр. 3, д. 42);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
