Табл. А.4.1.3. Описание запроса 3: общее описание*,,,,Табл. А.5.1.3. Описание ответа на запрос 1.3 общее описание***,,
,,,,,,
№,Наименование поля,"Поле для заполнения
Потребителем данных*","Краткая инструкция 
по заполнению",Наименование поля,"Поле для заполнения
Поставщиком данных***","Краткая инструкция
 по заполнению"
1.  ,Наименование запроса,Сведения о постановке на учет в налоговом органе Российской Федерации,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование запроса,Сведения о постановке на учет в налоговом органе Российской Федерации,"Скопируйте из таблицы 
А.3. Перечень запросов."
2.  ,"Наименование органа (организации), направляющей запрос о предоставлении документов и (или) информации",Минэкономразвития Камчатского края, -,"Наименование органа (организации), направляющей ответ на запрос о предоставлении документов и (или) информации",ФНС России, -
3.  ,"Наименование органа (организации), в адрес которой направляется запрос о предоставлении документов и (или) информации",ФНС России, -,"Наименование органа (организации), в адрес которой направляется ответ на запрос о предоставлении документов и (или) информации",Минэкономразвития Камчатского края, -
4.  ,"Полное наименование государственной или муниципальной услуги, для предоставления которой необходимо предоставление документа и (или) информации",Выдача  лицензии на розничную продажу алкогольной продукции, -,,,
5.,"Указание на положения нормативного правового акта, в котором установлено требование о предоставлении необходимого для предоставления услуги документа и (или) информации, и указание на реквизиты данного нормативного правового акта","ст. 19 Федерального закона от 22.11.1995 № 171 ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и ограничении потребления (распития) алкогольной продукции""", -,,,
6.,Наименование запрашиваемого документа (совокупности сведений),Копия документа о постановке организации на учет в налоговый орган,"Скопируйте из таблицы 
А.3. Перечень запросов.",Наименование направляемого документа (совокупности сведений),Копия документа о постановке организации на учет в налоговый орган,"Скопируйте из таблицы 
А.3. Перечень запросов."
7.,"Способы удостоверения лица, направившего запрос, и неизменности запроса ",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.","Способы удостоверения лица, направившего ответ на запрос, и неизменности ответа ",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе."
8.,Способ направления запроса,1 - по каналам СМЭВ,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов.",Способ направления ответа на запрос,1 - по каналам СМЭВ,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером, 
7 - другое или сочетание способов."
8.1.,"Способ направления запроса, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.","Способ направления ответа на запрос, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных."
9.,Срок направления запроса,в течении 1-5 дней после получения заявления ,Укажите срок направления запроса с момента начала предоставления услуги,Срок направления ответа на запрос,5,"Укажите срок с момента получения запроса, в течение которого будет направлен ответ на запрос."
,,,,,,
,,,,,,
Табл. А.4.2.3. Описание запроса 3: состав сведений***,,,,,,
,,,,,,
№,"Описание сведений, передаваемых в составе запроса",Тип данных,,Источник данных*,,
,"Перечислите все данные, необходимые для выполнения запроса и передаваемые в составе запроса. Данные, передаваемые в составе различных полей, опишите раздельно. Например, запрос может содержать сведения о заявителе и включать поля: СНИЛС, место жительства,...","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение, 
3 - ссылка на приложенные материалы (например, к запросу могут быть приложены фотографии заявителя),
4 - описание приложенных материалов. ","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные представлены заявителем в составе заявления;
2 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
3 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов (картотек),
4 - данные получены в ходе МВ.","Если выбраны коды 2 или 3, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 4, укажите номер и наименование запроса, в рамках которого получены указанные данные.","Если данные хранятся в АИС,  укажите её наименование"
1.,ИНН,2 - неконтролируемое значение,,1 - данные представлены заявителем в составе заявления,,
2,ОГРН,2 - неконтролируемое значение,,1 - данные представлены заявителем в составе заявления,,
,,,,,,
Табл. А.5.2.3. Описание ответа на запрос 3: состав сведений*,,,,,,
,,,,,,
№,"Описание сведений, передаваемых в составе ответа на запрос",Тип данных,,Источник данных***,,
,"Перечислите все данные, передаваемые в составе ответа на запрос. Данные, передаваемые в составе различных полей, опишите раздельно. ","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение, 
3 - ссылка на приложенные материалы,
4 - описание приложенных материалов","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
2 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов,
3 - данные получены в ходе МВ.","Если выбраны коды 1или 2, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 3, укажите наименование ведомства, предоставившего данные.","Если данные хранятся в АИС,  укажите её наименование."
,,,,,,
,,,,,,
,,,,,,
