№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ""Дионис К""",6723023025,1106722001154,"215010, Смоленская область, Гагаринский район, г. Гагарин,Промышленный проезд, д. 1 ","215010, Смоленская область, Гагаринский район, г. Гагарин, Промышленный проезд, д. 1 (бар), без ограничений",№ 1946               Б 005304                     (301990),28 декабря 2010,по 28 декабря 2011,до 29 декабря 2012,,,,,,,
2,"ООО ""Золотая камелия""",6723021934,1086723000946,"215010,Смоленская область, г, Гагарин, ул. Гагарина, д. 66","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 66 (магазин)",№ 1763              Б 005038,10 декабря 2008,по 10 декабря 2013,,,,,,,,
,,,,,"216740, Смоленская область, г. Гагарин, пр-д Промышленный, д. 1 (бар)",,,,,,,,,,,
3,"ООО ""МАКС""",6723020306,1066723006250,"215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная, 16 ","215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная (магазин)",№ 1374                 Г 301804,28 ноября 2011,28 ноября 2014,,,,,,,,
,,,,,"215027, Смоленская область, Гагаринский район, с/п Никольское, д. Никольское, ул. Центральная, д. б/н, (кафе)",,,,,,,,,,,
,,,,,"215027, Смоленская область, Гагаринский район, д. Никольское (магазин)",,,,,,,,,,,
,,,,,"215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная (магазин)",№ 1374                 В 445787,27 ноября 2006,27 ноября 2006,,исключение объекта,,,,,,
4,"ООО ""ЭРИДАН""",6723019533,1066723003412,"215010, Смоленская область, г. Гагарин, ул. Стройотрядовская, д. 8, кв. 25","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 43-а (магазин), без ограничений",№ 734                В 317888,11 мая 2006,по 11 мая 2011,до 11 мая 2016,,,,,,,
5,"ООО ""Провиантъ""",6723022744,1106723000086,"215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, д. 40-а","215047, Смоленская область, Гагаринский район, с. Карманово, ул. Советская, д. 40-а (магазин), без ограничений",№ 1927                   Б 005254                           ( Г 301802),03 ноября 2010                  04 ноября 2011,03 ноября 2011             по 04 ноября 2012,,,,,,,,
6,"ООО ""МАКС""",6723020306,1066723006250,"215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная, 16 ","215027, Смоленская область, Гагаринский район, д. Никольское, ул. Центральная (магазин), без ограничений",№ 1374                          В 445787,27 ноября 2006,по 27 ноября 2011,,,,,,,,
,,,,,"215027, Смоленская область, Гагаринский район, д. Никольское (магазин), без ограничений",,,,,,,,,,,
,,,,,"215027, Смоленская область, Гагаринский район, с/п Никольское, ул. Центральная, д. б/н, (кафе)",,,,,,,,,,,
7,"ООО ""АВА""",6723008771,1026700887366,"215010, Смоленская область, г. Гагарин, ул. П. Алексеева, д. 8, кв. 22","215010, Смоленская область, г. Гагарин, ул. Ленина, д. 13 (кафе), без ограничений",№ 1570                  Б 004912,16 июня 2011,по 17 октября 2012,,,,,,,,
,,,,"215010, Смоленская область, г. Гагарин, п. Лесной, 11, 2","215010, Смоленская область, Гагаринский район, правая сторона 181 км. а/д Москва-Минск (закусочная), без ограничений",№ 1570                  Г 679580,17 октября 2007,по 17 октября 2012,,смена юр адреса,,,,,,
,,,,,"215010, Смоленская область, Гагаринский район, левая сторона 181 км. а/д Москва-Минск (закусочная), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, Гагаринский район, 172 км. а/д Москва-Минск (закусочная), без огарничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, Гагаринский район, 172 км а/д Москва-Минск (кафе), без ограничений",,,,,,,,,,,
8,"ООО ""АРСАЛИНА""",6723019822,1066723005612,"215010, Смоленская область, г. Гагарин, ул. Герцена, д. 4-а","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 60 (магазин), без ограничений",№ 847                               Б 005603                     (Б 004812),01 июня 2011,по 01 июля 2011,до 02 июля 2014,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Герцена, д. 4-а (кафе), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 88 (кафе), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 3 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Мелиоративная, д. 4 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9/1 (магазин), без ограничений",,,,,,,,,,,
9,"ООО ""Лагуна""",6723019879,1066723005678,"215010, Смоленская область, г. Гагарин, ул. Ленинградская набережная, д. 19. кв. 72","215010, Смоленская област, г. Гагарин, ул. Петра Алексеева, д. 10 (магазин), без ограничений",№ 925                    Б 005676,27 июня 2006,по 27 июня 2011,до 28 июня 2016,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. 50 лет ВЛКСМ, Д. 10 (магазин), без ограничений",,,,,,,,,,,
10,"ООО ""ЗЕВС""",6723019269,1056730021402,"215010, Смоленская област, г. Гагарин, ул. П. Алексеева, д. 10, кв. 26","215010, Смоленская область, Гагаринский район, село Баскаково (магазин), без ограничений",№ 776                 Б 005535,05 июня 2006,по 05 июня 2011,до 06 июня 2014,,,,,,,
11,"ООО ""Космос""",6723019950,1066723005799,"215033, Смоленская область, Гагаринский район, д. Клушино","215033, Смоленская область, Гагаринский район, д. Клушино (магазин), без ограничений",№ 922                 Б 005673,27 июня 2006,по 27 июня 2011,до 28 июня 2014,,,,,,,
12,"ООО ""Эврика""",6723022790,1106723000141,"215010, Смоленская область, г. Гагарин, ул. Молодежная, д. 4","215010, Смоленская область, г. Гагарин, ул. Молодежная, д. 4 (магазин), без ограничений",№ 1907                 Б 005210,24 марта 2010,по 24 марта 2011,,,,,,,,
13,"ООО ""СХП ""АгроСервис""",6723021613,1086723000550,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 3","215010, Смоленская область, г. Гагарин, мкр Труфаны (кафе), без ограничений",№ 1913                 Б 005216,27 апреля 2010,по 27 апреля 2012,,,,,,,,
14,"ООО ""Возрождение""",6723018963,1056730006255,"215010, Смоленская область, г. Гагарин, ул. Крупской, 1, 24","215010, Смоленская область, г. Гагарин, ул. Гагарина, рыночная площадь (закусочная), без ограничений",№ 1473                 Г 679459,06 апреля 2007,по 06 апреля 2012,,,,,,,,
15,"ООО ""ЗИМА-ЛЕТО""",6723020338,1066723006261,"215010, Смоленская область, г. Гагарин, пер. Пушкина, д. 5","215010, Смоленская область, г. Гагарин, пер. Пушкина, д. 5 (магазин), без ограничений",№ 1759                Б 005037                         (Г 301887)           ,10 декабря 2008,по 10 декабря 2013,,,,,,,,
,,,,,"214000, Смоленская область, г. Смоленск, ул. Нахимова, д. 14 (пиццерия ""Ди Рома""), без ограничений",,,,,28 декабря 2011 внесение объекта,,,,,,
16,"ООО ""Престиж Центр Русь""",6723019942,1066732005744,"215010, Смоленская область, г. Гагарин, ул. 26 Бакинских Комиссаров, д. 5 А","215012, Смоленская область, г. Гагарин, ул. 26 Бакинских Комиссаров, д. 5А (ресторан), без ограничений",№ 2036                Б 004787,20 июля 2011,до 20 июля 2012,,,,,,,,
,,,,,"215012, Смоленская область, г. Гагарин, ул. 26 Бакинских Комиссаров, д. 5А (диско-бар), без ограничений",,,,,,,,,,,
,,,,,"215012, Смоленская область, г. Гагарин, ул. 26 Бакинских Комиссаров, д. 5А (бар), без ограничений",,,,,,,,,,,
17,"ООО ""Гефес-Гжатск""",6723001751,102670088783,"215010, Смоленская область, г. Гагарин, ул. Матросова, д. 17","215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 50 (кафе), без ограничений",№ 1229                 Б 004767                               ( Г 301805),29 июля 2011,по 01 августа 2011,до 02 августа 2014,,,,,,,
18,"ООО ""Клеопатра""",6723023160,1106722002111,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 74, кв. 95","215037, Смоленская область, Гагаринский район, д. Мальцево (кафе), без ограничений",№ 1953                Б 005330,20 января 2011,по 20 января 2016,,,,,,,,
19,"ООО ""Вита""",6723001173,1026700886057,"215010, Смоленская область, г. Гагарин, пер. Советский, д. 3","215010, Смоленская область, Гагаринский район, дер. Черногубцево (магазин), без ограничений",№ 607                  Г 679212          (№ 2101                        Б 004840)           Г 244485                 ,02 февраля 2006              ( 01 февраля 2012)       ,по 02 февраля 2011             ( 01 февраля 2013)              ,до 03 февраля 2012,,,,,,,
,,,,,"215010, Смоленская область, Гагаринский район, с. Пречистое (магазин), без ограничений",,,,,01 февраля 2012             исключение объекта                  09 февраля 2012                    включение объекта,,,,,,
,,,,,"215010, Смоленская область, Гагаринский район, с. Баскаково (магазин), без ограничений",,,,,,,,,,,
20,"ООО ""МАГАЗИН ВИТЯЗЬ""",6723019685,1066723005447,"215025, Смоленская область, Гагаринский район, деревня Покров","215020, Смоленская область, Гагаринский район, д. Покров (магазин), без ограничений",№ 713                        Г 245987,25 апреля 2006,по 25 апреля 2011,до 26 апреля 2014,,,,,,,
21,"ООО ""ВИВАТ""",6723007778,1026700883329,"215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9","215010, Смоленская область, г. Гагарин, ул. Ленина, д. 9 (магазин ""Виват""),без ограничений",№ 690                      Г 245960,14 апреля 2006,по 14 апреля 2011,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Гагарина, д. 27 (магазин ""Продукты""), без ограничений",,,,,,,,,,,
