Табл. А.4.1. Описание запроса 2: общее описание*,,,,Табл. А.5.1. Описание ответа на запрос 2: общее описание***,,,,
,,Взаимодействие с  ФНС России,,,,,,
№,Наименование поля,"Поле для заполнения
Потребителем данных*","Краткая инструкция
по заполнению",Наименование поля,"Поле для заполнения
Поставщиком данных***","Краткая инструкция
 по заполнению",,
1.  ,Наименование запроса,"Сведения о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах","Скопируйте из таблицы
А.3. Перечень запросов.",Наименование запроса,"Сведения о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах","Скопируйте из таблицы
А.3. Перечень запросов.",,
2.  ,"Наименование органа (организации), направляющей запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства, -,"Наименование органа (организации), направляющей ответ на запрос о предоставлении документов и (или) информации",ФНС России, -,,
3.  ,"Наименование органа (организации), в адрес которой направляется запрос о предоставлении документов и (или) информации",ФНС России, -,"Наименование органа (организации), в адрес которой направляется ответ на запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства, -,,
4.  ,"Полное наименование государственной или муниципальной услуги, для предоставления которой необходимо предоставление документа и (или) информации",Выдача лицензий на розничную продажу алкогольной продукции, -,,,,,
5.,"Указание на положения нормативного правового акта, в котором установлено требование о предоставлении необходимого для предоставления услуги документа и (или) информации, и указание на реквизиты данного нормативного правового акта"," ст.19
 Федерального закона ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и об ограничении потребления (распития) алкогольной продукции"" от 22.11.1995 № 171-ФЗ (в редакции от 21.07.2011)", -,,,,,
6.,Наименование запрашиваемого документа (совокупности сведений),"Справка о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах","Скопируйте из таблицы
А.3. Перечень запросов.",Наименование направляемого документа (совокупности сведений),"Справка о наличии (отсутствии) задолжности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства РФ о налогах и сборах","Скопируйте из таблицы
А.3. Перечень запросов.",,
7.,"Способы удостоверения лица, направившего запрос, и неизменности запроса",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.","Способы удостоверения лица, направившего ответ на запрос, и неизменности ответа",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.",,
8.,Способ направления запроса,1,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером,
7 - другое или сочетание способов.",Способ направления ответа на запрос,1,"Введите код:
1 - по каналам СМЭВ,
2 - по каналам РСМЭВ,
3 - по иным электронным каналам,
4 - по почте,
5 - по факсу,
6 - курьером,
7 - другое или сочетание способов.",,
8.1.,"Способ направления запроса, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.","Способ направления ответа на запрос, детализация",,"Если в предыдущем поле были проставлены коды 3 или 7, пожалуйста, развёрнуто опишите планируемый способ предоставления данных.",,
9.,Срок направления запроса,в течении 3 дней,Укажите срок направления запроса с момента начала предоставления услуги,Срок направления ответа на запрос,в течении 5 дней,"Укажите срок с момента получения запроса, в течение которого будет направлен ответ на запрос.",,
,,,,,,,,
,,,,,,,,
Табл. А.4.2. Описание запроса 2: состав сведений***,,,,,,,,
,,,,,,,,
