№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ЗАО ""Велижский леспромхоз""",6701000810,1026700644410,"216290, Смоленская область, г. Велиж, пл. Мира, д. 1","216290, Смоленская область, г. Велиж, ул. Мира, д. 1 (магазин), без ограничений",№ 1703               Г 679749,02 сентября 2008,по 02 сентября 2013,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область, г. Велиж, ул. Ленинградская, д. 69 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
2,"ООО ""ЛУНА""",6701005368,1066713009923,"216290, Смоленская область, г. Велиж, ул. Ф. Энгельса, 87-а","216290, Смоленская область, г. Велиж, ул. Энгельса, д. 87-а (магазин), без ограничений",№ 1212                 Б 005998,27 июля 2006,по 27 июля 2011,до 28 июля 2014,,,,,,,,,,,,,,
3,"ООО ""Парус""",6701005336,1066713009868,"216290, Смоленская область, г. Велиж, ул. Ф. Энгельса, д. 55/1","216290, Смоленская область, г. Велиж, ул. Ф. Энгельса, д. 55/1 (магазин), без ограничений",№ 1177                  Б 005957,19 июля 2006,по 19 июля 2011,до 20 июля 2012,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область, г. Велиж, ул. Р. Люксембург, д. 1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""Гермес""",6701005618,1076713000737,"216290, Смоленская область, г. Велиж, ул. М. Горького, д. 50/10","216290, Смоленская область, г. Велиж, ул. М. Горького, д. 50/10 (магазин ""Гермес"")",№ 1615               Г 679633,24 декабря 2007,по 24 декабря 2012,,,,,,,,,,,,,,,
5,"Велижскому МУП ""Велижские товары""",6701004607,1026700646697,"216290, Смоленская область, г. Велиж, ул. Советская, д. 18","216290, Смоленская область, г. Велиж, ул. Советская, д. 18 (магазин)",№ 1555                   Г 679560,11 сентября 2007,по 11 сентября 2012,,,,,,,,,,,,,,,
6,"ООО ""РИЦА""",6701005456,1066713010407,"216290, Смоленская область, г. Велиж, ул. Энгельса","216290, Смоленская область, г. Велиж, ул. Энгельса (магазин), без ограничений",№ 1397                     Г 679368                 (Г 301867),12 декабря 2006,по 12 декабря 2011,,,,,,,,,,,,,,,
7,"ООО ""Мечта""",6701005449,1066713010418,"216290, Смоленская область, г. Велиж, пл. Судоверфи, 3-а","216290, Смоленская область, г. Велиж, пл. Судоверфи, 3-а (магазин), без ограничений",№ 1368                  В 445793                (301859),27 ноября 2006,по 27 ноября 2011,до 28 ноября 2012,,,,,,,,,,,,,,
8,"ООО ""ЮЛИЯ""",6701005463,1066713010396,"216297, Смоленская область, Велижский район, д. Логово","216297, Смоленская область, Велижский район, д. Логово (магазин), без ограничений",№ 1366                    В 445791       (301857),27 ноября 2006,по 27 ноября 2011,до 28 ноября 2014,,,,,,,,,,,,,,
