"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО - ""город Тулун"" ",,,,,,,,,
по состоянию на 1августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1.  ,ООО «Колосок»                     ИНН 3839002117,Свидетельство 38 № 001113791 от  13.11.2002г МИМНС России № 6 По Иркутской области,А 160757   № 3 от 9.06.2008г до 4.04.2013        взамен:           лицензии № 2 А160716 от 18.04.03   Лицензия   внесена в Реестр  10.07.2008,"1. Магазин «Привокзальный» - город Тулун, пер-ок  Вокзальный,8",,,,,Выдана Администрацией Тулунского  муниципального района 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2.  ,ООО «Алгатуй»                   ИНН 3839000293,Свидетельство от 14.10.2002 38 № 000859864    МИМНС России № 6 по Иркутской обл.,А 174138 от 24.08.2011 № 17-П до 15.02.15            взамен лицензии              А 174111 от 08.04.2010     № 2-П до 15.02.15            взамен лицензии от 14.02.2005г.             А 174026   № 2 ,"1. Магазин  № 1– город Тулун, ул. Трактовая,29А                                  2. Магазин № 3 – город Тулун, ул. Горячкина,12                                   3. Магазин № 5 – город Тулун, пер. Вокзальный,6                           4. Магазин № 6 – город Тулун, пер-ок. Плеханова,3                        5. Магазин  № 7 «София»– город Тулун,   ул.  Блюхера,134                     6. Магазин № 8 – город Тулун,  ул.3-ая  Анганорская,19А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3.  ,ООО «Лори»                     ИНН 3816008345,Свидетельство  от 27.02.2006г.  Серия 38 № 002395658 МИФНС России № 6 по Иркутской области и УО БАО,"  А 174149 от 23.03.2012     № 4-Пр         до 23.03.2013                       взамен лицензии             А 174124 от 15.03.2011     № 3-Пр         (продление лицензии на один год, с заменой бланка лицензии на новый)","1. Магазин «Лори-1» - город Тулун, ул. Ленина,2А                     2. Магазин «Лори-2» - город Тулун, ул. Карбышева,60А                  3. Магазин «Лори-3» - город Тулун, микро-он Угольщиков,8В                4. Магазин «Лори-4» - город Тулун, ул. Гидролизная,18А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
