Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""Сыр Стародубский""",32 МЕ 003860,10/18/2012,Розничная продажа алкогольной продукции
"ООО ""Экстрим""",32 МЕ 003829,1/18/2014,Розничная продажа алкогольной продукции
"ООО ""Сервис""",32 МЕ 003677,11/9/2016,Розничная продажа алкогольной продукции
"ООО ""Ирина""",32 МЕ 003639,10/7/2012,Розничная продажа алкогольной продукции
"ООО ""Пансионат ""Салынь""",32 МЕ 002173,10/17/2013,Розничная продажа алкогольной продукции
"ООО ""ТД ""Греция""",32 МЕ 003756,11/10/2012,Розничная продажа алкогольной продукции
Дубровское РАЙПО,32 МЕ 003913,12/17/2012,Розничная продажа алкогольной продукции
"ООО ""Копейка-Москва""",32 МЕ 004203,11/15/2016,Розничная продажа алкогольной продукции
"ООО ""Люкс""",32 МЕ 003684,11/14/2012,Розничная продажа алкогольной продукции
"ООО ""Согласие""",32 МЕ 003685,11/14/2012,Розничная продажа алкогольной продукции
"ООО ""Глория""",32 МЕ 003686,11/14/2012,Розничная продажа алкогольной продукции
"ООО ""Брянское мясо""",32 МЕ 004282,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Альянс""",32 МЕ 003696,11/21/2012,Розничная продажа алкогольной продукции
"ООО ""Фантом""",32 МЕ 003622,9/30/2014,Розничная продажа алкогольной продукции
"ООО ""Лорис""",32 МЕ 003698,11/22/2014,Розничная продажа алкогольной продукции
"ООО ""Гурман""",32 МЕ 004323,8/13/2014,Розничная продажа алкогольной продукции
"ООО ""Полесье""",32 МЕ 003701,11/24/2014,Розничная продажа алкогольной продукции
"ООО ""Светлана""",32 МЕ 003708,11/25/2014,Розничная продажа алкогольной продукции
"ООО ""Пересвет+""",32 МЕ 003421,7/5/2013,Розничная продажа алкогольной продукции
"ООО ""Успех""",32 МЕ 003699,11/22/2012,Розничная продажа алкогольной продукции
"ОАО ""Снежка""",32 МЕ 002084,8/5/2013,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 003713,11/28/2012,Розничная продажа алкогольной продукции
"ОАО ""Фабрика-кухня""",32 МЕ 002724,12/10/2012,Розничная продажа алкогольной продукции
"ООО ""Брянская бумажная фабрика""",32 МЕ 003714,11/28/2012,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 003726,12/5/2013,Розничная продажа алкогольной продукции
"ООО ""Грация""",32 МЕ 003718,11/29/2012,Розничная продажа алкогольной продукции
"ООО ""Семерочка""",32 МЕ 003716,11/29/2013,Розничная продажа алкогольной продукции
Погарское ПОСПО,32 МЕ 003733,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 003744,12/9/2012,Розничная продажа алкогольной продукции
"ООО ""Ритейл""",32 МЕ 004343,3/11/2016,Розничная продажа алкогольной продукции
"ООО ""Империя вкуса""",32 МЕ 004376,3/1/2015,Розничная продажа алкогольной продукции
