Краснослободский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя,
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,309,13 МЕ,"ООО ""Заготпром"", г.Краснослободск,",1314013316,"м-н №1 ""Продукты"" г. Краснослободск, ул. Ком-ская, 33;",14,15/12/09,3-01-17,,Дедикова Ирина Александровна,
,,001076,"ул.Кирова, 20",,"м-н №3 ""Продукты"" г. Краснослободск, мкр., 1, 6;",,15/12/12,,,,
,,,,,"м-н с. Ст. Заберезово, ул. Гагарина, 7, Красн-ский р-н;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Селищи, ул. Ленина, 41, Краснослободский р-н;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. М.Парки, ул. Ленина, 78, Краснослободский р-н;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Краснополье, ул. К.Маркса, 123, Крас-кий р-н;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Желтоногово, Краснослободский район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Чукалы, ул. Садовая, 40, Краснослободский район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Н.Усад, ул. Масеевка, 12, Краснослободский район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Р.Полянки, ул. Советская, 15, Крас-кий район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Ч.Выселки, ул. Северянская, 21, Крас-кий район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Колопино, ул. Центральная, Крас-ский район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Н.Карьга, ул. Центральная, 28а, Крас-кий район;",,"""-""-""-""-""-""",,,,
,,,,,"м-н с. Сивинь, ул. Н.Базарная, 17а, Крас-кий район",,"""-""-""-""-""-""",,,,
1,177,13 РМ,"Краснослободское райпо г.Краснослободск,",1314012947,"м-н №10 г.Краснослободск,мкр-1, 1",20,29/06/12,3-01-43,,Бекешев Николай Николаевич,
,,000067,"ул.Коммунистическая,20",1021300763725,"м-н №9 г.Краснослободск,ул.Интернациональная, 40",,29/06/17,89272757072,,,
,,,,,"м-н №6 г.Краснослободск,ул.Интернациональная,96",,,89061629841,,Матвеев Василий Васильевич,
,,,,,"м-н № 1, г. Краснослободск, ул. Кирова, 9",,"""""-""""",,,,
,,,,,"м-н г. Краснослободск, мкр. 1. 24а",,"""""-""""",,,,
,,,,,"м-н с. Гумны, ул. Молодежная, 37, Краснослободский район",,"""""-""""",,,,
,,,,,"м-н с. Сл. Дубровки, ул. Московская,1а, Красносл р-н",,"""""-""""",,,,
,,,,,"м- с. Селище, ул. Молодежная, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н с. Кр. Подгора, ул. Зеленая, 41, Краснослободский район",,"""""-""""",,,,
,,,,,"м-н п. Пенькозавод, ул. Центральная, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н д. Ст. Зубарево, ул. Песочная, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н д. Грачевники, ул. Садовая, Красносл р-н",,"""""-""""",,,,
,,,,,"магазин, п. Преображенский, ул. Центральная, 2 в, Краснослободский район",,"""""-""""",,,,
,,,,,"м-н с. Куликово, ул. Центральная, 21, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н с. Тенишево, ул. Нагорная, 1а, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н с. Ефаево, ул. Центральная, Красносл р-н",,"""""-""""",,,,
,,,,,"м-н с. Шаверки, ул. Ленина, 22, Красносл р-н",,,,,,
,,,,,"м-н ТПС, с. Новая Карьга, ул. Центральная, 2а",,,,,,
,,,,,"м-н с. Н. Зубарево, ул. Ленина, 56, Краснослободский",,,,,,
,,,,,"м-н д. Шапкино, ул. Слобода, 28, Краснослободский район",,,,,,
1,129,13 МЕ,"ООО ""Старосиндровское"", Краснослободский р-н,",1314012961,"м-н № 4, Ст.Синдрово. ул.Ленина, 272",11,30/07/07,2-92-31,,,
,,000288,"с.Ст.Синдрово, ул.Ленина",,"м-н с.Колопино,ул.Пролетарская",,30/07/12,,,,
,,,,,"м-н с.Ст.Авгуры,ул.Ленина,8",,"""""-""""",,,,
,,,,,"м-н с.Сивинь,ул.Н.Базарная,17",,"""""-""""",,,,
,,,,,"торговый центр,Ст.Синдрово,улЛенина, 64",,"""""-""""",,,,
,,,,,"м-н ""Дежурный"",Ст.Синдрово, ул.Лениан, 64",,"""""-""""",,,,
,,,,,"м-н ТПС,с.Н.Синдрово",,"""""-""""",,,,
,,,,,"м-н ТПС,с. Д.Поляна",,"""""-""""",,,,
,,,,,"м-н ТПС,с.Долговерясы",,"""""-""""",,,,
,,,,,"м-н ТПС, с.Каймар",,"""""-""""",,,,
,,,,,"м-н ТПС,с.Усть -Рахмановка",,"""""-""""",,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-28"" с. Ст.Синдрово, ул. Ленина, 64, Краснослободский район",5,27/04/12,,,,
,,002026,"ул. Московская, 1 ",,"м-н ""Нива-35"" с. Н.Усад, ул. Андреевка, 49, Краснослободский район",,23/12/16,,,,
,,,,,"м-н ""Нива-21"" г. Краснослободск, ул. Интернац., 92",,,,,,
,,,,,"м-н ""Нива-41"" с. Ст. Рябка, ул. Молодежная, 32, Краснослободский район",,,,,,
,,,,,"м-н ""Нива-14"" г. Краснослободск, ул. Кирова, 61а",,,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" № 23, г.Краснослободск, ул.Ленина, 4а",2,15/12/11,25-27-26,,,
,,001888," п. Б. Елховка,ул.Заводская.12",,"м-н ""Птица"" №24,г.Краснослободск,мкр.-3,11",,15/04/14,,,,
1,178,13 РМ,"ООО ""Виктория"" г. Краснослободск, ул. Спортив-",1314042050,"м-н ""Пятачок"" г. Краснослободск, ул. Спортивная, 18",1,29/06/12,2-44-31,,Ухоботова Тамара Ивановна,
,,000068,"ная, 18 ",1021300766190,"магазин ""Продукты"", г. Саранск, ул. Интернациональная, 66",,29/06/13,89271731123,,,
1,190,13 МЕ,"ООО ""Фактория"" г. Краснослободск, ул. Комму-",1314006573,"м-н №1 г. Краснослободск, ул. Коммунистическая, 30",1,30/07/09,2-14-08,,Салазанова Ирина Викторовна,
,,000946,"нистическая, 30 ",,,,30/07/12,,,,
1,179,13 РМ,"ООО ""Содружество"" с. Ефаево, ул. Центральная,",1314097394,"м-н с. Ефаево, ул. Центральная, 51б, Краснослободский",2,29/06/12,89271798099,,Настюшкин Николай Федорович,
,,000069,"51б, Краснослободский район",10313006000362,"м-н ""Продукты"" с. Заречное, ул. Рабочая, 53, Красн-кий",,30/06/13,89272755628,,Дозорова Татьяна Федоровна,
,,,Всего-4,,"м-н с. Черемис, ул. Верхняя, Ковылкинский район",,,,,,
,,,,,"м-н с. Ст. Санаевка, ул. Сире Веле, 15, Ковылкинский район",,,,,,
1,140,13 РМ,"ООО ""Весна"" г. Краснослободск, мкр. 3-13, корп.2",1314000620,"м-н ""Весна"" г. Краснослободск, мкр. 3, 13, корп.2",6,01/06/12,2-16-28,,Первойкина Валентина Ивановна,
,,000022,,1061314010383,"м-н ""Удача"" г. Краснослободск, ул. Кирова, 45",,27/02/14,2-38-14,,,
,,,,,"магазин ""Кумир"", г. Краснослободск, мкр., 3, 13, корп., 2",,,89271805592,,,
,,,,,"м-н ""Продукты"" с. Ст. Зубарево, ул. Песочная, Красносл.",,,,,,
,,,,,"м-н ""Продукты"" с. Плужное, ул. Большая, 93, Краснослободский ",,,,,,
,,,,,"м-н ""Продукты"" с. Куликово, ул. Центральная, Краснослоб",,,,,,
1,142,13 РМ,"ООО ""Лидер"" г. Краснослободск, мкр. 3, 13а",1314000973,"м-н ""Есть, что есть"" г. Краснослободск, мкр. 3, 13а",6,15/06/12,89271725173,,Косихина Лариса Николаевна,
,,000024,,1071314001164,"м-н ""Продукты на Моховой"" г. Краснослободск, мкр.1, ",,30/11/12,,,,
,,,,,"м-н ""Кураж"" г. Краснослободск, мкр. 1",,,,,,
,,,,,"м-н ""Продукты"" г. Краснослободск, мкр., 1, 26",,,,,,
,,,,,"м-н ""Гурман"", г. Краснослободск, мкр., 1, ул. Кирова (Моск. Ш.)",,,,,,
,,,,,"м-н ""Околица"", г. Краснослободск, Юго-Запад, 4",,,,,,
1,17,13 МЕ,"ООО ""Континент-Н"" г. Саранск, ул. Рабочая. 72",1328904217,"м-н ""Континенг-Н"" с. Ст. Синдрово, ул. Советская. 7а",1,16/02/09,29-45-96,,Чушков Евгений Васильевич,
,,000754,,,,,16/02/14,,,,
1,29,13 МЕ,"ООО ""Людмила"" с. Ст. Рябка, ул. Молодежная, 33,",1314001159,"м-н ""Продукты"" с. Ст. Рябка, ул. Молодежная, 33, Красн",1,28/01/10,2-01-94,,Сочейкина Людмила Федоровна,
,,001136,Краснослободский район ИНН 1314001159,,,,28/01/15,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" г. Краснослободск, мкр., 1, 1",2,15/05/12,46-47-73 Пенза,,,
,,000004,"185, филиал г. Пенза, ул. Мусоргского, 26а",,"магазин ""Магнит"", г. Краснослободск, ул. Интернациональная, 95",,15/03/16,35-85-10,,,
1,208,13 МЕ,"ООО ""Лайме"" г. Краснослободск, ул. К.Маркса, 7",1314001166,"кафе ""Слобода"" г. Краснослободска, мкр. 1, 44",2,31/08/09,3-01-46,,Матвеев Василий Васильевич,
,,000965,,,"кафе-бар ""Беседа"" г. Краснослободск, ул. Коммунистическая, 18",,31/08/14,,,,
1,22,13 МЕ,"ООО ""Жемчужина"" д. Бобылевские Выселки,",1314001624,"м-н д. Бобылевские Выселки, ул. Мордовская, 2а, Красн",1,28/01/10,89271719146,,,
,,001128,"ул. Мордовская, 2а, Краснослободский район",,,,28/01/15,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"магазин ""Продукты 1"", с. Ст. Горяши, ул. Центральная, Краснослободский ",2,29/06/12,36-66-40,,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"м-н ""Продукты"" с. Заречное, ул. Кооперативная, 53б, Красн",,15/03/13,29-36-53,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазина, Краснослободский район, с. Чукалы, ул. Советская, д.34;",40,29/06/12,,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"магазина, Краснослободский район, с. Новый Усад, ул. Рабочая, д.1а;",,15/07/14,,,,
,,,,,"магазина, г. Краснослободск, ул. Кирова, д. 42;",,,,,,
,,,,,"м-н, Краснослободский р-н, с. Мордовские Парки, ул. Ленина, 78а;",,,,,,
,,,,,"м-н, Краснослободский район, с. Слободские Дубровки, ул. Московская",,,,,,
,,,,,"магазин, Краснослободский район, с. Шаверки, ул.Ленина;",,,,,,
,,,,,"магазин, Краснослободский район, д.Шапкино, ул. Центральная. д.2А;",,,,,,
,,,,,"м-н ""Продукты"", с. Русское Маськино, ул. Подгора, Краснослободский",,,,,,
,,,,,"м-н ""Продукты"", с. Гумны, ул. Чкалова, 24а, Краснослободский",,,,,,
,,,,,"м-н ""Продукты"", г. Краснослободск, мкр., 1 (около д. 3)",,,,,,
,,,,,"м-н ""24 часа"", г. Краснослободск, ул. Коммунистическая, 96а",,,,,,
,,,,,"м-н ""Продукты"", с. Колопино, ул. Ленина, 7а, Краснослободский",,,,,,
,,,,,"м-н ""Продукты"", с. Селищи, ул. Ленина, 1б, Краснослободский район",,,,,,
,,,,,"м-н ""Визит"", г. Краснослободск, мкр., 1, 6",,,,,,
,,,,,"магазин ""Зайди и купи"", г. Краснослободск, ул. Кирова, 68",,,,,,
,,,,,"магазин ""Выгодный"", г. Краснослободск, пер. Кировский, 8",,,,,,
,,,,,"павильон №1, г. Краснослободск, Московская трасса",,,,,,
,,,,,"павильон №2, г. Краснослободск, Московская трасса",,,,,,
,,,,,"магазин ""Продукты"", г. Краснослободск, мкр., 3, 13а",,,,,,
,,,,,"магазин ""Продукты"", с. Гумны, ул. Победы, 56, Краснослободский район",,,,,,
,,,,,"магазин ""Продукты"", с. Ефаево, ул. Комсомольская, б/н, Краснослободский район",,,,,,
,,,,,"магазин ""Продукты"", г. Краснослободск, ул. С.Разина, 50а",,,,,,
,,,,,"магазин ""Продукты"", с. Плужное, ул. Большая, 40, Краснослободский район",,,,,,
,,,,,"магазин ""Продукты"", с. Краснополье, ул. К.Маркса, Краснослободский район",,,,,,
,,,,,"магазин ""Продукты"", г. Краснослободск, ул. Красноармейская, 26 а",,,,,,
