РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
1,78-11алк/Ох,10/6/2011,"ООО ""Виктория""","Охинский р-н, г. Оха, ул. Комсомольская, 37, строение 1",МЕ006661,10/5/2012,действующая,алк> 15%,"магазин ""Минутка"" г. Оха ул. Комсомольская, 37, строение 1"
2,392-09алк/ЮС,3/4/2010,"ООО ""Время-Хьюн Дже""","г. Южно-Сахалинск, ул.А.Буюклы,38",МЕ005326,10/8/2012,действующая переоформленная,алк> 15%,"кафе ""Дискавери"" г. Южно-Сахалинск ул. К.Маркса, 51"
3,83-11алк/Хол,10/13/2011,"ООО ""Ника""","Холмский р-н, г. Холмск, ул. Молодёжная, 17",МЕ006668,10/12/2012,действующая,алк> 15%,"магазин ""Георгин"" г. Холмск ул. Молодёжная, 17"
4,395-09алк/Том,7/21/2011,"ООО ""Шахрат""","Томаринский р-н, с. Красногорск, ул. Ушакова, 18, оф. 18",МЕ006631,10/16/2012,действующая переоформленная,алк> 15%,"магазин ""Шахрат"" с. Красногорск ул. Победы, 36/А; магазин ""Дуэт"" с. Красногорск ул. Карла Маркса, 74"
5,396-09алк/ЮК,10/16/2009,"ООО ""Орион""","Южно-Курильский р-н, с. Малокурильское, ул.Спортивная",МЕ005167,10/16/2012,действующая,алк> 15%,"магазин ""Орион"" с. Малокурильское ул.Спортивная"
6,394-09алк/АС,10/16/2009,"ООО ""Весна""","Александровский р-н, г. Александровск-Сахалинский, ул.Кирова,52/Б",МЕ005164,10/16/2012,действующая,алк> 15%,"магазин ""Весна"" г. Александровск-Сахалинский ул.Кирова,52б"
7,393-09алк/Пор,10/16/2009,"ООО ""Татьяна""","Поронайский р-н, г. Поронайск, ул.Восточная,110/1",МЕ005166,10/16/2012,действующая,алк> 15%,"магазин ""Татьяна"" г. Поронайск ул.Восточная,110; магазин ""Татьяна-2"" г. Поронайск ул.Победы,84/2; магазин ""Татьяна-3"" г. Поронайск ул.Сахалинская,9а"
8,131-07алк/Дол,10/17/2007,"ООО ""Полина""","Долинский р-н, с. Стародубское, ул. Набережная, 58/а",МЕ004368,10/17/2012,действующая продленная,алк> 15%,"магазин ""Продукты"" с. Стародубское ул. Набережная, 58"
9,90-11алк/ЮС,10/21/2011,"ООО ""ЛОРА""","г. Южно-Сахалинск, пл. р/н Новоалександровск, ул. 30 лет Победы, 3/В",МЕ006678,10/20/2012,действующая,алк> 15%,"магазин ""Лора"" г. Южно-Сахалинск пл. р-он Новоалександровск, ул. 30 лет Победы, 3/В"
10,87-11алк/Ан,10/21/2011,"ООО ""СоТа""","Анивский р-н, с. Таранай, ул. Центральная, 6-1",МЕ006675,10/20/2012,действующая,алк> 15%,"магазин ""Таранайский"" с. Таранай ул. Центральная, 6-1"
11,93-11алк/Ан,10/27/2011,"ООО ""Татев""","Анивский р-н, г. Анива, ул. Пудова, 81",МЕ006683,10/26/2012,действующая,алк> 15%,"кафе ""Пещера"" г. Анива ул. Пудова, 83; магазин ""Мясной Джаз bend"" г. Анива ул. Пудова, 83"
12,91-11алк/Хол,10/27/2011,"ООО ""Рассвет""","Холмский р-н, с. Костромское, ул. Центральная, 1",МЕ006681,10/26/2012,действующая,алк> 15%,"магазин ""Рассвет"" с. Костромское ул. Центральная, 1"
13,398-09алк/ЮС,10/30/2009,"ООО ""Градус""","г. Южно-Сахалинск, ул. Авиационная, 74/Б, пом. 43",МЕ005171,10/30/2012,действующая,алк> 15%,"магазин ""Градус"" г. Южно-Сахалинск ул.Есенина,15а"
14,402-09алк/ЮС,10/30/2009,"ООО ""Дарсин""","г. Южно-Сахалинск, Коммунистический пр.86/А",МЕ005174,10/30/2012,действующая,алк> 15%,"кафе ""У Вокзала"" г. Южно-Сахалинск Коммунистический проспект,86/А"
15,398-09алк/ЮС,10/30/2009,"ООО ""Сахалинский Шанс""","г. Южно-Сахалинск, пл./р-н  Хомутово, кв.Весточка, 1",МЕ005170,10/30/2012,действующая,алк> 15%,"магазин ""Товары повседневного спроса"" г. Южно-Сахалинск пл./р-н Хомутово, кв.Весточка,1"
16,405-09алк/Ног,10/30/2009,"ООО ""Олимпик""","Ногликский р-н, п.г.т.  Ноглики, ул.Советская,31",МЕ005177,10/30/2012,действующая,алк> 15%,"магазин ""Олимпик"" п.г.т.  Ноглики ул.Советскас"
17,404-09алк/Хол,10/30/2009,"ООО Торговая фирма ""Пирамида""","Холмский р-н, г. Холмск, ул.Первомайская,10",МЕ005176,10/30/2012,действующая,алк> 15%,"магазин № 3 ""Тройка"" г. Холмск ул.Первомайская, 10; магазин ""Пирамида"" г. Холмск ул.Школьная, 60; магазин №47 ""Продукты"" г. Холмск ул.Портовая, 12"
18,403-09алк/ЮС,10/30/2009,"ООО ""Унисон""","г. Южно-Сахалинск, пр.Мира,229а",МЕ005175,10/30/2012,действующая,алк>15% алк <15%,"магазин ""Таун-Хаус"" г. Южно-Сахалинск ул.Комсомольская,263; магазин ""У Крильона"" г. Южно-Сахалинск пр.Мира,229а"
19,407-09алк/ЮС,6/17/2010,"ООО ""Пасифик Рим Контракторс""","г. Южно-Сахалинск, Холмское шоссе, 5/21",МЕ005381,11/6/2012,действующая переоформленная,алк> 15%,"магазин . п. Мицулёвка ж/п . Олимпия, ул. Дружбы, 1; бар  п. Мицулёвка ж/п . Олимпия, ул. Дружбы, 1"
20,409-09алк/Тым,2/11/2010,"ООО ""Крылья""","Тымовский р-н, с.  Зональное, пер.Авиационный, 1",МЕ005303,11/6/2012,действующая переоформленная,алк> 15%,"магазин ""Крылья-1"" с.  Зональное пер.Авиационный, 1; магазин ""Крылья-2"" с.  Зональное ул.Центральная,8; магазин ""Крылья-3"" с.  Ясное ул.Советская,5; магазин ""Крылья-4"" с.  Кировское ул. Центральная, 75"
21,408-09алк/Дол,11/6/2009,"ООО ""Форум""","Долинский р-н, с. Сокол, ул.Широкая, 19б",МЕ005180,11/6/2012,действующая,алк> 15%,"магазин ""Продукты"" с. Сокол ул.Широкая,19б"
22,98-11алк/Дол,11/8/2011,"ООО ""Вера""","Долинский р-н, с. Советское, ул. Центральная, 26",МЕ006694,11/7/2012,действующая,алк> 15%,"магазин ""Дарья"" с. Советское ул. Центральная, 26"
23,97-11алк/Кор,11/8/2011,"ППО ""Озёрский  коопцентр""","Корсаковский р-н, п.  Озерский, ул. Центральная, 59/Б",МЕ006693,11/7/2012,действующая,алк> 15%,"магазин №12 п.  Озерский ул. Центральная, 56/Б; магазин №5 п.  Озерский ул. Центральная, 19 - 3"
24,412-09алк/Угл,11/12/2009,"ООО ""Энергетик-Плюс""","Углегорский р-н, г. Углегорск, ул.Победы,141",МЕ005184,11/12/2012,действующая,алк> 15%,"магазин ""Энергетик"" г. Углегорск ул.Победы,141"
25,411-09алк/Кор,11/12/2009,"ООО ""ВЕРТИКАЛЬ ПЛЮС""","Корсаковский р-н, г. Корсаков, Приморский бульвар, 6",МЕ005186,11/12/2012,действующая,алк> 15%,"магазин ""Мини-стоп"" 7-11"" г. Корсаков Приморский бульвар, 6"
26,413-09алк/Ох,11/12/2009,"ООО ""Хазар""","Охинский р-н, г. Оха, ул.Советская,20б",МЕ005183,11/12/2012,действующая,алк> 15%,"магазин ""Смак"" г. Оха ул.Советская,20/б; кафе ""Астория"" г. Оха ул.Ленина,24/2"
27,101-11алк/ЮС,11/14/2011,"ООО ""Белладжио""","г. Южно-Сахалинск, ул.Дзержинского,21",МЕ006701,11/13/2012,действующая,алк> 15%,"ресторан ""Белладжио"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Рыцарь"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Холидей"" г. Южно-Сахалинск ул. Дзержинского, 21"
28,100-11алк/ЮС,11/14/2011,"ООО ""Вечер""","г. Южно-Сахалинск, ул.Дзержинского,21",МЕ006700,11/13/2012,действующая,алк> 15%,"ресторан ""Вечер"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Эмперо"" г. Южно-Сахалинск ул. Дзержинского, 21"
29,143-07алк/ЮС,11/30/2010,"ООО ""Розничная  компания""","г. Южно-Сахалинск, ул. Ленина, 219, оф. 81",МЕ005458,11/14/2012,действующая переоформленная,алк> 15%,"супермаркет  ""Первый"" г. Южно-Сахалинск ул. Ленина, 219; супермаркет  ""Первый Семейный"" г. Южно-Сахалинск пр. Мира, 192"
