"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Тулунский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ОАО ""Железнодорожная торговая компания""                ИНН 7708639622","г. Москва, серия  77,                 №          009589743,                                             МИФНС Россиии №  46."," А 002283/24                                   от 28.10. 2011 г.,                 с 28.10.2011 г.                          по 24. 10.2012 г. (переоформлена взамен А 002269/12 от 31.08.2009 г- уменьшение терр.-обособл. объектов.)"," Тулунский район:                                                                      п. Утай -магазин,       с.  Шерагул - магазин.",   ,,,, Зиминский район,
2,"ООО «Ивушка»,                             ИНН 3816008659","г. Тулун,     серия   38,                 №  002395871                                          от  03. 07.2006 г,                 МИФНС России №  6 по  Иркутской области и УОБАО",А 160742/3                  от  28.07.2006 г.                   с    28.07.2006 г.                    до 28.07. 2011 г (продлена по 28.07.2012 г.),"                       Тулунский район (отделы) :                                     п. Целинные Земли: кафе, магазин.",,,7/28/2012,,,
3," ООО ""Надежда"",                                                           ИНН 3816008585","г. Тулун, серия   38,                                            №        002395820                                                   от 14. 06.2006 г,                 МИФНС России №  6 по  Иркутской области и УОБАО",А 160743/4                      от 14.08.2006 г.                с 14.08.2006 г.               до 14.08.2011 г.(продлена по 14.08.2012 г.),                       Тулунский район (отдел):                                  п. Центральные мастерские  - магазин.,,,,,,
4,000 «ФиАл»                                  ИНН 3816008666,"г. Тулун, серия 38,                            № 002395870                                              от  03. 07.2006 г,                                                 МИФНС России №  6 по  Иркутской области и УОБАО",А 160744/5                   от 25.08.20006 г.                с 25.08.2006 г.                                        до 25.08.2011 г.              ( продлена по 26.08.2012 г.),"      Тулунский район (отделы):                                 с. Алгатуй - магазин ,                                                                                                           г.Тулун - магазин.",,,,,,
5,Будаговское сельпо                                          ИНН 3839000896,"г. Тулун, серия 38,                       №  00274588                                                                       от         14. 11. 2008 г,                               М ИФНС  России № 6 по Иркутской области",А 160795/4-П                 от 28.04.12 г.                                            с 28.04.2012 г.                             по 28.04. 2013 г.,"                      Тулунский район:                                                       д. Трактово-Курзан -магазин , д. Северный Кадуй - магазин, с. Умыган: магазин, кафе, д. Килим - магазин,  с. Будагово: (магазины № 7, № 8, №10), д. Красная Дубрава -  магазин , д. Булюшкина  - магазин , п. Ключевой - магазин, п. Котик - магазин.",,,,,,
6,ООО «Зенит»                                           ИНН 3816005471,"г. Тулун, серия 38,                                    № 002395761,                                                                    от 19.05.2006 г.                 МИФНС России № 6 по Иркутской области    и                      УОБАО",А 174133/12-П                                от 04.08. 2011 г.       до 06.07.2011 г.                    (  взамен                    А 17411  / 4-П               от  19.04.2010 г.   (продлена до 06.07.2012 г.)            ,"Тулунский район:                                                                      с.Шерагул - магазин, п. ж/д ст. Шуба - магазин ,                         с Азей - магазин.",,,,,г. Тулун,
7,ЗАО «Элегия»                                                               ИНН 3816007711,"г. Тулун, серия 38                                                           № 001534391                                               от   03.12.2005 г.                                                      МИФНС России № 6 по Иркутской области и УОБАО",А 174150/ 5-Пр                                            от   30.03. 2012 г.                     с 31.03.2012 г.           до  31.03.2013 г.                                                                                                                                                                                                  ,Тулунский район:                                                                с. Гадалей -  магазин.,,,,,г. Тулун,
8,"ООО ""Присаянье  плюс""                                       ИНН 3816010070","г. Тулун, серия 38                                                                     №  002745851                             от 16.10. 2008 г.                              МИФНС  № 6 по Иркутской области",А 174121/11-П                от 23.11.2010 г.                до 03.12.2013 г.,Тулунский район:                                                                         с. Алгатуй -  магазин.,,,,,г. Тулун,
9,ООО «Сибиряк»                                       ИНН 3816005383,"г. Тулун, серия  38                                                            № 001220513                                                от 19.12.2007 г.                               МИФНС России № 6 по Иркутской области и УОБАО", А 174140/18-П                        от 13.10. 2011 г.                           до 01.08.2012 г.                (переоформлена взамен А174127/ 6-П                    от  20.04.2011 г).        .,Тулунский район:                                                                                           п. 4-е отделение Госселкстанции -  магазин.,,,,,г. Тулун,
10,ООО «Мустанг»                                       ИНН 3816009229,"г. Тулун, серия 38,                                                               № 002396380                                      от    05.06. 2007 г.                              ИФНС России № 6 по Иркутской области  и УОБАО",А 160754/1                  от  06.02.2008 г.                               с 06.02.2008 г.                 до 06.02.2013 г.,Тулунский район (отдел):                                                   п. Сибиряк - кафе.                             ,,,,,,
