"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Зиминскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1.,ООО Торговый дом «Окинский»,Межрайонная   ИФНС     России  № 2                        по Иркутской области и УОБАО,Ранее действующая лицензия,Зиминский район :,, ,,,,
, ИНН 3806009491,,А 002271 ,"1. с. Батама, м-н «Березка»",,,,,,
, ,,с 25.08.2010 г. по 05.03.2014 г.,"2. с. Басалаевка, м-н «Росинка»",,,,,,
,,,,"3. с. Покровка м-н  «Колос», ",,,,,,
,,,Зарегистрирована переоформленная,"4. с. Ухтуй, м-н «Радуга»",,,,,,
,,,лицензия:,"5. с. Мордино, м-н  «Полюшко»",,,,,,
,,,А 002276                                от 26.05.2011г. по 05.03.2014г.,"6. с. Новолетники, магазин «Калинка» ",,,,,,
2.,ООО «Кристина»,Межрайонная  ИФНС России  № 2 по Иркутской области и УОБАО,Ранее действующая               лицензия                                  А002255                               от 07.07.2006  по 07.07.2011  ," Зиминский район:                            1. с. Кимильтей, отдел в магазине «Продукты»",,,,,,
,ИНН 3806003718,,Продлена лицензия с выдачей новой  (в связи с испорченным бланком)                                                     № А 002278,,,,,,,
,,,от 08.07.2011 г по 08.07.2013  ,,,,,,,
3,ООО «Золотая подкова» ,Межрайонной ИФНС   № 2 по Иркутской области и УОБАО,Ранее действующая лицензияА 002259 ,Зиминский район: ,,,,,,
,ИНН 3806003901,,от 26.12.2006 г. ,"1 .с. Ухтуй, ул. Лесная, 23, магазин «Дорожный»",,,,,,
,,,по 26.12.2011 г.       Выдана новая лицензия                  А 002287 от 27.12.2011г. по 27.12.2012г.,,,,,,,
4.,ОАО «Железнодорожная торговая компания»   ИНН 7708639622,Межрайонная ИФНС № 46     по  г. Москве,Ранее действующая лицензия                                 А 002269                                   от 31.08.2009 г.                       по 24.10.2012 г.    Зарегистрирована переоформленная     лицензия," Зиминский район:                            1. ст. Перевоз, магазин № 52",,,,,,
, , , А 002283                                         от 28.10.2011 г.                         по 24.10.2012 г., ,,,,,,
,,, , ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5.,ООО «Авангард» ИНН 3814012233,Межрайонная ИФНС № 14 по Иркутской области и УОБАО,"Ранее выданная лицензия 38 МЕ 005353 срок действия с 01.04.2012.по 16.12.2012                    Зарегестрирована переоформленная лицензия 38 МЕ 005361 , срок действия с 04.07.2012 по 16.12.2012","1. с. Самара, ул. Черемушки, д 9, отдел в магазине №26;                         2. с. Ухтуй,  ул. Минеева, д.46 , отдел в магазине ""Продукты"";                          3. п. Ц-Хазан, ул. Мира, 53 «Б» отдел в магазине «Смешанные товары»                                        4. с. Глинки, ул. Центральная, 49 отдел в магазине «Смешанные товары»;                                                   5. с. Масляногорск ,ул. Полевая, д.17, отдел в магазине""Для Вас""",,,,,  Администрация городского округа муниципального образования «город Саянск»,
,,,,,,,,,,
,,, ,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,, ,,,,,,
6.,ООО «Пять капель» ,Межрайонная ИФНС по Правобережному округу г. Иркутска,Ранее действующая лицензия                            А 154389                                                                 от 15.07.2011 г.                                                 по 20.12.2012 г.                                           Зарегестрирована                                  переоформленная лицензия                                  А 154414                                                                                                                                                                                                                               от 27.06.2012г.                    по20.12.2012г.,"Зиминский район:                                                   1. с. Батама, ул.Ленина 25,отдел в магазине «Дуэт»;                                                        2. с. Услон, ул. 40-лет Победы,36, отдел в магазине «Катюша».",,,7/31/2012,,Администрацией  Зиминского городского муниципального образования,
,ИНН 3808155025,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.,ООО «Вертикаль»,Межрайонная ИФНС № 14 по Иркутской области и УОБАО,Зарегистрирована переоформленная лицензия ,"Зиминский район:                                   1. с. Зулумай, ул. Центральная, 6, отдел в магазине «Саяны»",,,,,Администрация муниципального образования Куйтунский район,
,ИНН 3814011818,,А 244872,,,,,,,
,,,от 26.12.2008 г. ,,,,,,,
,,,по 31.08.2012 г. ,,,,,,,
