"Реестр  выданных лицензий на розничную продажу алкогольной продукции, лицензий, действие которых приостановлено, и  аннулированнных лицензий на территории Сегежского МР Республики Карелия",,,,,,,,,,,,,,,
на 1января 2011 года,,Лицензирующий орган:  администрация Сегежского муниципального района,,,,,,,,,,,,,
№,"Лицензия (Л),
копия (К)",,Срок действия лицензии,,Продление лицензии,,,,,,,,,,
,," ОФПР, название, место нахождения, телефон, 
ФИО руководителя",начало ,конец,на срок по ,,,,,,,,,,
1,Л,"МУП,Вино-табак,Сегежа,Мира,16,Осипова В.В.,5-05 -91",01/01/04,12/31/2006,31/12/11,,,,,,,,,,
2,К,"МУП,Вино-табак,Сегежа,Мира,16,Осипова В.В.,5-05 -91",01/01/04,31/12/06,31/12/11,,,,,,,,,,
3,К,"МУП,Вино-табак,Сегежа,Мира,16,Осипова В.В.,5-05 -91",01/01/04,31/12/06,31/12/11,,,,,,,,,,
4,Л,"ООО,Алькор,Сегежа,б.Советов,6,Максимов В.В.,500-42",21/12/03,12/20/2006,20/12/11,,,,,,,,,,
5,К,"ООО,Алькор,Сегежа,б.Советов,6,Максимов В.В.,500-42",21/12/03,20/12/06,20/12/11,,,,,,,,,,
6,Л,"ООО,Меркурий,Сегежа,Ленина,17,Эйнуллаев В.А.,4-21-38",03/07/05,7/3/2008,03/07/13,,,,,,,,,,
7,Л,"ООО,Плюс,Сегежа,Карельская,14а,Юров А.Г.,4-52-71,4-36-83",08/04/05,4/8/2008,08/04/13,,,,,,,,,,
8,К,"ООО,Плюс,Сегежа,Карельская,14а,Юров А.Г.,4-52-71,4-36-83",08/04/05,08/04/08,08/04/13,,,,,,,,,,
9,Л,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,10/14/2008,14/10/13,,,,,,,,,,
10,К,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,14/10/08,14/10/13,,,,,,,,,,
11,К,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,14/10/08,14/10/13,,,,,,,,,,
12,К,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,14/10/08,14/10/13,,,,,,,,,,
13,Л,"ООО,Торговый дом,п.г.т. Надвоицы,Строителей,24,Моргун В.В.,62-352",30/04/04,5/1/2007,01/05/12,,,,,,,,,,
14,К,"ООО,Торговый дом,п.г.т. Надвоицы,Строителей,24,Моргун В.В.,62-352",30/04/04,01/05/07,01/05/12,,,,,,,,,,
15,К,"ООО,ПКФ,Топаз плюс,Сегежа,Спиридонова,5,Марков А.А.,542-61",01/01/04,31/12/06,31/12/11,,,,,,,,,,
16,Л,"ООО,ПКФ,Топаз плюс,Сегежа,Спиридонова,5,Марков А.А.,542-61",01/01/04,12/31/2006,31/12/11,,,,,,,,,,
17,Л,"ООО,ПКФ Топаз,Сегежа,Спиридонова, 5, Марков А.А.,542-61",01/01/04,12/31/2006,31/12/11,,,,,,,,,,
18,К,"ООО,ПКФ Топаз,Сегежа,Спиридонова, 5, Марков А.А.,542-61",01/01/04,31/12/06,31/12/11,,,,,,,,,,
19,К,"ООО,Алькор,Сегежа,б.Советов,6,Максимов В.В.,500-42",21/12/03,20/12/06,20/12/11,,,,,,,,,,
20,Л,"ООО,Мах,п.Идель,Деповская,2,Холопица М.А.,9216216209",15/06/06,6/6/2011,,,,,,,,,,,
21,Л,"ООО,Ауринко,Сегежа,б.Советов,6,Охунов С.К.,5-46-34",30/06/06,6/30/2011,,,,,,,,,,,
22,К,"ООО,Ауринко,Сегежа,б.Советов,6,Охунов С.К.,5-46-34",30/06/06,30/06/11,,,,,,,,,,,
23,К,"ООО,Ауринко,Сегежа,б.Советов,6,Охунов С.К.,5-46-34",30/06/06,30/06/11,,,,,,,,,,,
24,К,"ООО,Ауринко,Сегежа,б.Советов,6,Охунов С.К.,5-46-34",30/06/06,30/06/11,,,,,,,,,,,
25,Л,"ООО,Дуэт,п.г.т.Надвоицы,Металлургов, 7-31,Ряхина Л.В.,391-98",30/06/06,6/30/2011,,,,,,,,,,,
26,Л,"ООО,Алекс,Сегежа,Гористая,85,Сафонова Т.Г.,4-36-32",30/06/06,6/30/2011,,,,,,,,,,,
27,К,"ООО,Алекс,Сегежа,Гористая,85,Сафонова Т.Г.,4-36-32",30/06/06,30/06/11,,,,,,,,,,,
28,Л,"ООО,Дюна,д. Каменный бор,Советская,3, Орлова Н.Г.,36-251",30/06/06,6/30/2011,,,,,,,,,,,
29,Л,"ООО,Валентина,п.г.т. Надвоицы,50 лет Октября,37/1-57,Тюрина В.Н.,38-498",30/06/06,6/30/2011,,,,,,,,,,,
30,К,"ООО,Валентина,п.г.т. Надвоицы,50 лет Октября,37/1-57,Тюрина В.Н.,38-498",30/06/06,30/06/11,,,,,,,,,,,
31,Л,"ООО,Натали,п.г.т. Надвоицы,Строителей,9-76,Титова Л.В.,38-668",30/06/06,6/30/2011,,,,,,,,,,,
32,К,"ООО,Натали,п.г.т. Надвоицы,Строителей,9-76,Титова Л.В.,38-668",30/06/06,30/06/11,,,,,,,,,,,
33,К,"ООО,Натали,п.г.т. Надвоицы,Строителей,9-76,Титова Л.В.,38-668",30/06/06,30/06/11,,,,,,,,,,,
34,К,"ООО,Натали,п.г.т. Надвоицы,Строителей,9-76,Титова Л.В.,38-668",30/06/06,30/06/11,,,,,,,,,,,
35,Л,"ООО,Тройка,Сегежа,Мира, 34а-12,Мушников А.Б.,4-21-02",30/06/06,6/30/2011,,,,,,,,,,,
36,К,"ООО,Тройка,Сегежа,Мира, 34а-12,Мушников А.Б.,4-21-02",30/06/06,30/06/11,,,,,,,,,,,
37,К,"ООО,Тройка,Сегежа,Мира, 34а-12,Мушников А.Б.,4-21-02",30/06/06,30/06/11,,,,,,,,,,,
38,Л,"ООО,Эверест,п.г.т. Надвоицы,Металлургов,12,Крюков И.А.,62-004",30/06/06,6/30/2011,,,,,,,,,,,
39,К,"ООО,Эверест,п.г.т. Надвоицы,Металлургов,12,Крюков И.А.,62-004",30/06/06,30/06/11,,,,,,,,,,,
40,К,"ООО,Эверест,п.г.т. Надвоицы,Металлургов,12,Крюков И.А.,62-004",30/06/06,30/06/11,,,,,,,,,,,
41,К,"ООО,Эверест,п.г.т. Надвоицы,Металлургов,12,Крюков И.А.,62-004",30/06/06,30/06/11,,,,,,,,,,,
42,Л,"ООО,Овен,п.г.т. Надвоицы,Металлукргов,18-82,Маслова Т.А.,61-086",30/06/06,6/30/2011,,,,,,,,,,,
43,К,"ООО,Овен,п.г.т. Надвоицы,Металлукргов,18-82,Маслова Т.А.,61-086",30/06/06,30/06/11,,,,,,,,,,,
44,К,"ООО,Овен,п.г.т. Надвоицы,Металлукргов,18-82,Маслова Т.А.,61-086",30/06/06,30/06/11,,,,,,,,,,,
45,Л,"ООО,Топаз-Мария,Сегежа,Спиридонова,5,Марков А.А.,5-39-62",30/06/06,6/30/2011,,,,,,,,,,,
46,К,"ООО,Топаз-Мария,Сегежа,Спиридонова,5,Марков А.А.,5-39-62",30/06/06,30/06/11,,,,,,,,,,,
47,К,"ООО,Топаз-Мария,Сегежа,Спиридонова,5,Марков А.А.,5-39-62",30/06/06,30/06/11,,,,,,,,,,,
48,К,"ООО,Топаз-Мария,Сегежа,Спиридонова,5,Марков А.А.,5-39-62",30/06/06,30/06/11,,,,,,,,,,,
49,К,"ООО,Меркурий,Сегежа,Ленина,17,Эйнуллаев В.А.,4-21-38",03/07/05,03/07/08,03/07/13,,,,,,,,,,
50,К,"ООО,Меркурий,Сегежа,Ленина,17,Эйнуллаев В.А.,4-21-38",03/07/05,03/07/08,03/07/13,,,,,,,,,,
51,Л,"ООО,Метсо,Сегежа,Партизанская,1,Братко В.П.,4-26-86",01/01/04,12/31/2006,31/12/11,,,,,,,,,,
52,К,"ООО,Метсо,Сегежа,Партизанская,1,Братко В.П.,4-26-86",01/01/04,31/12/06,31/12/11,,,,,,,,,,
53,Л,"ООО,Прогресс,Сегежа,Ленина,19,Гасанова И.М.,4-28-89",30/06/06,6/30/2011,,,,,,,,,,,
54,К,"ООО,Прогресс,Сегежа,Ленина,19,Гасанова И.М.,4-28-89",30/06/06,30/06/11,,,,,,,,,,,
55,Л,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,9/3/2006,03/09/11,,,,,,,,,,
56,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
57,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
58,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
59,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
60,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
61,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
62,К,"ООО,Экспресс плюс,Сегежа,Птицефабрика,Кашталинская Н.И.,530-12",03/09/03,03/09/06,03/09/11,,,,,,,,,,
63,Л,"ООО,Сигма,Сегежа,Антикайнена,3а,Сидоров В.С.,534-72",26/12/05,12/20/2008,20/12/13,,,,,,,,,,
64,К,"ООО,Сигма,Сегежа,Антикайнена,3а,Сидоров В.С.,534-72",26/12/05,20/12/08,20/12/13,,,,,,,,,,
65,К,"ООО,Сигма,Сегежа,Антикайнена,3а,Сидоров В.С.,534-72",26/12/05,20/12/08,20/12/13,,,,,,,,,,
66,К,"ООО,Сигма,Сегежа,Антикайнена,3а,Сидоров В.С.,534-72",26/12/05,20/12/08,20/12/13,,,,,,,,,,
67,К,"ООО,Сигма,Сегежа,Антикайнена,3а,Сидоров В.С.,534-72",26/12/05,20/12/08,20/12/13,,,,,,,,,,
68,Л,"ООО,Торговый дом Колос,п.г.т.Надвоицы,пр.Металлургов,11,Бычайкина Г.Г.,38-788",30/06/06,6/30/2011,,,,,,,,,,,
69,К,"ООО,Торговый дом Колос,п.г.т.Надвоицы,пр.Металлургов,11,Бычайкина Г.Г.,38-788",30/06/06,30/06/11,,,,,,,,,,,
70,К,"ООО,Торговый дом Колос,п.г.т.Надвоицы,пр.Металлургов,11,Бычайкина Г.Г.,38-788",30/06/06,30/06/11,,,,,,,,,,,
71,Л,"ООО,Лоза,Сегежа,Антикайнена,25-55,Елисеева О.А.,      5-45-02",19/09/06,9/19/2011,,,,,,,,,,,
72,К,"ООО,Лоза,Сегежа,Антикайнена,25-55,Елисеева О.А.,      5-45-02",19/09/06,19/09/11,,,,,,,,,,,
73,Л,"ООО,Алекс-Л,п.Валдай,Комсомольская,7,Маркевич Л.А.,32-459",08/08/06,8/8/2011,,,,,,,,,,,
74,К,"ООО,Алекс-Л,п.Валдай,Комсомольская,7,Маркевич Л.А.,32-459",08/08/06,08/08/11,,,,,,,,,,,
75,Л,"ООО,Трасса Ойл,Сегежа,Антикайнена,15/3-31,Галаничев А.А.,437-83",08/08/06,8/4/2011,,,,,,,,,,,
76,К,"ООО,Трасса Ойл,Сегежа,Антикайнена,15/3-31,Галаничев А.А.,437-83",08/08/06,04/08/11,,,,,,,,,,,
77,Л,"ООО,Радуга,Сегежа,Спиридонова,34-2,Алиев Э.А.о.,432-65",04/08/06,8/3/2011,,,,,,,,,,,
78,К,"ООО,Радуга,Сегежа,Спиридонова,34-2,Алиев Э.А.о.,432-65",04/08/06,03/08/11,,,,,,,,,,,
79,К,"ООО,Радуга,Сегежа,Спиридонова,34-2,Алиев Э.А.о.,432-65",04/08/06,03/08/11,,,,,,,,,,,
80,Л,"ООО,Мария,п.Валдай,Комсомольская,12,Ефимова Т.Ю.,324-02",01/08/06,8/1/2011,,,,,,,,,,,
81,К,"ООО,Мария,п.Валдай,Комсомольская,12,Ефимова Т.Ю.,324-02",01/08/06,01/08/11,,,,,,,,,,,
82,К,"ООО,Мария,п.Валдай,Комсомольская,12,Ефимова Т.Ю.,324-02",01/08/06,01/08/11,,,,,,,,,,,
83,К,"ООО,Мария,п.Валдай,Комсомольская,12,Ефимова Т.Ю.,324-02",01/08/06,01/08/11,,,,,,,,,,,
84,Л,"ООО,Виктор,Сегежа,Антикайнена,8-12,Градобоев В.И.,4-44-89",13/10/06,10/13/2011,,,,,,,,,,,
85,К,"ООО,Виктор,Сегежа,Антикайнена,8-12,Градобоев В.И.,4-44-89",13/10/06,13/10/11,,,,,,,,,,,
86,К,"ООО,Виктор,Сегежа,Антикайнена,8-12,Градобоев В.И.,4-44-89",13/10/06,13/10/11,,,,,,,,,,,
87,Л,"ООО,Надежда,Сегежа,Советская,6-16,Шевченко И.Н.,429-79",25/12/06,12/25/2011,,,,,,,,,,,
88,Л,"ООО,Лазурное,Сегежа,Карельская,12а-78,Одинцова Н.П.,544-36",28/12/06,12/28/2011,,,,,,,,,,,
89,К,"ООО,Лазурное,Сегежа,Карельская,12а-78,Одинцова Н.П.,544-36",28/12/06,28/12/11,,,,,,,,,,,
90,К,"ООО,Лазурное,Сегежа,Карельская,12а-78,Одинцова Н.П.,544-36",28/12/06,28/12/11,,,,,,,,,,,
91,Л,"ООО,Волна,Сегежа,Речная,7а,Агеев Г.Ю.,426-92",31/07/07,8/1/2012,,,,,,,,,,,
92,Л,"ООО,Лотос,Сегежа,Спиридонова,37-32,Васильев В.С.,542-67",27/07/07,7/26/2012,,,,,,,,,,,
93,Л,"ФБУ,ИК-7,Сегежа,Лейгубская,Лянго В.В.,430-12",20/07/07,7/18/2012,,,,,,,,,,,
94,Л,"ФБУ,ИК-1,п.г.т.Надвоицы,Карельская,18,Федотов А.В.,613-36",10/08/07,8/10/2012,,,,,,,,,,,
95,Л,"ООО,Тиана,п.г.т.Надвоицы,Строителей,30-51,Ильина А.М.,38-923",30/10/07,10/29/2012,,,,,,,,,,,
96,К,"ООО,Тиана,п.г.т.Надвоицы,Строителей,30-51,Ильина А.М.,38-923",30/10/07,29/10/12,,,,,,,,,,,
97,Л,"ООО,Норд,п.Валдай,Строительная,1,Олевярская Л.В.,32-540",18/12/07,12/18/2012,,,,,,,,,,,
98,К,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,14/10/08,14/10/13,,,,,,,,,,
99,К,"ООО,Торговый дом Колос,п.г.т.Надвоицы,пр.Металлургов,11,Бычайкина Г.Г.,38-788",30/06/06,30/06/11,,,,,,,,,,,
100,Л,"ООО,Кристалл,п.г.т.Надвоицы,Строителей,14-65,Байрамов Р.Х.,921-221-00-16",17/07/08,7/15/2013,,,,,,,,,,,
101,Л,"ООО,Диана,п.г.т.Надвоицы,50 лет Октября,39-43,Дзюба Н.Н.,921-015-01-96",23/12/08,12/23/2013,,,,,,,,,,,
102,К,"ООО,Диана,п.г.т.Надвоицы,50 лет Октября,39-43,Дзюба Н.Н.,921-015-01-96",23/12/08,23/12/13,,,,,,,,,,,
103,Л,"ФБУ,ЛИУ-4,п.Верхний,Грызин О.В.,",31/10/08,10/31/2013,,,,,,,,,,,
104,Л,"ООО,Форсаж,Сегежа,Солунина,3-10,Огородникова Е.А.,435-68",13/07/06,7/12/2011,,,,,,,,,,,
105,Л,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,3/31/2014,,,,,,,,,,,
106,К,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,31/03/14,,,,,,,,,,,
107,К,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,31/03/14,,,,,,,,,,,
108,Л,"ООО,Велена,Сегежа,Лесокультурная,1,Преминина Е.В.",14/08/09,8/14/2014,,,,,,,,,,,
109,Л,"ООО,Н-комплекс,Петрозаводск,ул.Заводская,4,Комарова О.С.,921-224-50-99",29/12/09,12/29/2014,,,,,,,,,,,
110,К,"ООО,Поляна Трейд,Сегежа,а/я 82,Костюшкевич С.Ю.,4-52-65",17/10/05,14/10/08,14/10/13,,,,,,,,,,
111,К,"ООО,Трасса Ойл,Сегежа,Антикайнена,15/3-31,Галаничев А.А.,437-83",08/08/06,04/08/11,,,,,,,,,,,
112,К,"ООО,Алекс,Сегежа,Гористая,85,Сафонова Т.Г.,4-36-32",30/06/06,30/06/11,,,,,,,,,,,
,,Объекты лицензиатов других МО ,,,,,,,,,,,,,
1,К,"ООО,Флориссант,Петрозаводск,Ленинградская,18,Толстокорова Г.Г.,74-30-06",15/08/06,30/06/11,,,,,,,,,,,
2,К,"ООО,Флориссант,Петрозаводск,Ленинградская,18,Толстокорова Г.Г.,74-30-06",01/07/06,30/06/11,,,,,,,,,,,
3,К,"ЗАО,Карелиянефтепродукт,Петрозаводск,Володарского,6",22/06/07,29/02/08,28/02/13,,,,,,,,,,
4,К,"ЗАО,Карелиянефтепродукт,Петрозаводск,Володарского,6",22/06/07,29/02/08,28/02/13,,,,,,,,,,
5,К,"ЗАО,Карелиянефтепродукт,Петрозаводск,Володарского,6",22/06/07,29/02/08,28/02/13,,,,,,,,,,
6,К,"ООО,Сладкий дом,Петрозаводск,пер.Хвойный,5,Лукин И.С.",,,,,,,,,,,,,
7,К,"ООО,Сладкий дом,Петрозаводск,пер.Хвойный,5,Лукин И.С.",,,,,,,,,,,,,
8,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург, 3-я Красноармейская,10/7,Ключников В.Ю., 324-15-66",27/03/07,27/03/12,23/12/08,,,,,,,,,,
9,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург, 3-я Красноармейская,10/7,Ключников В.Ю., 324-15-66",27/03/07,27/03/12,23/12/08,,,,,,,,,,
10,К,"ЗАО,Тандер,Краснодар,Леваневского,64,57-13-70,Галицкий С.Н.",30/12/05,30/12/08,30/12/13,,,,,,,,,,
11,К,"ЗАО,Тандер,Краснодар,Леваневского,64,57-13-70,Галицкий С.Н.",30/12/05,30/12/08,30/12/13,,,,,,,,,,
12,К,"ООО,Руалко,Петрозаводск,Архипова,30",21/07/06,21/07/11,,,,,,,,,,,
13,К,"ООО,Продуктовый рай,Петрозаводск,Архипова,30, 78-90-50,Беленков Б.И.",30/12/08,30/12/13,,,,,,,,,,,
14,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2корпус 7, Литер А, А.Е. Нор-Аверян, 8123241782",27/03/07,27/03/12,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
