"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО город Усть-Илимск",,,,,,,,,
по состоянию на 1 авнуста 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"Закрытое Акционерное Общество ""Иркутскнефтепродукт""                                                                                                                                                                                         ИНН 3800000742                                                                                                                                        ",Регистрационная палата г. Иркутска,Лиц 38 МЕ 003568 27/12/2010 11/01/2008 - 10/01/2013                                                                                        ,"магазин АЗК № 145,
ул. Энгельса,14,
магазин,
ул. Партизанская,3",,,,,Администрация г. Иркутска
2,"ООО ""АДС""                                                                                                                                                                                                      ИНН 3817027929",МИ ФНС № 9 по Иркутской области и УОБАО,Лиц А 174996 02/06/2010                                                                                                                                                                               03/06/2010 - 19/02/2015                                                                                                                                                                                      ,"магазин ""Темп""                                                                                                                                                                                                     ул. Карла Маркса,43а                                                                                                                                                                                            магазин ""Ритм""                                                                                                                                                                                                    пр. Дружбы Народов,35а",,,,,
3,"ООО ""Амадеус""                                 ИНН 3817029700",МИ ФНС № 9 по Иркутской области и УОБАО,Лиц А 174868 19/10/2006                                                                                                                                                                                                         20/10/2006 - 19/10/2011                                                                                                                                                                                        продлена до 20/10/2012,"магазин ""Амадеус""                                                                                                                                                                                    пр.Мира,11е",,,,,
4,"ООО ""Арго""                                                                                                                                                                                                       ИНН 3817031940 ",МИ ФНС № 9 по Иркутской области,Лиц А 242488  21/05/2012                                                                                                                                                                                      21/05/2012 - 28/11/2015                                                                                                                                                                          ,"кафе-бар ""Медвежий угол""                                                                                                                                                                                            залив ""Межница""                                                                                                                                                                                                    магазин ""Деним""                                                                                                                                                                                                          пр. Мира,44",,,,,
5,"ООО ""Ариадна плюс""                                                                                                                                                                                        ИНН 3817036948 ",МИ ФНС № 9 по Иркутской области,Лиц А 242477 18/11/2011                                                                                                                                                                                         18/11/2011 - 02/11/2016                                                                                                                                                                                                                                                                                                                                                                                ,"магазин ""Маркс"" 
ул. Энгельса,33 
магазин ""Дружба"" 
пр. Дружбы Народов,100
магазин ""Поль""  
ул. Белградская,23Б 
магазин ""Каравай""
пр. Мира, д.20                                                                                                                                                                                                      магазин ""Карл""                                                                                                                                                                                                         ул. Карла Маркса, дом 23/1",c 17/04/2012г. до дня вступления в законную силу принятого уполномоченным Правительством РФ федеральным органом исполнительной власти решения об аннулировании или отказе в аннулировании лицензии,,,,
6,"ООО ""Аркадия""                                  ИНН 3817010996",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242485 05/03/2012                                                                                                                                                                                                                                                         05/03/2012 - 06/10/2016                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"магазин ""Фаворит-1"" 
ул. Мечтателей,9 
магазин ""Синильга"" 
ул. Мечтателей,27А 
магазин ""Гном"" 
ул. Мечтателей,7 н.п.91
магазин ""Приморский""
пр. Мира, д.50                                                                                                                                                                                                        торговая площадь в торговом комплексе                                                                                                                                                                       пр. Мира,41а                                                                                                                                                                                                    
винно-водочный отдел магазина ""Людмила""
ул. Белградская,25, н.п. 72
винно-водочный отдел магазина ""Благовест""
ул. Булгакова,10а",,,,,
7,"ООО ""База отдыха ""Лесная""                                                                                                                              ИНН 3817029838", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174875 28/12/2006                                                                                                                                                                                           29/12/2006 - 28/12/2011                                                                                                                                                                                   продлена до 29/12/2012,"кафе при базе отдыха ""Лесная""                                                                                                                                                                         левобережная пляжная зона,3б",,,,,
8,"ООО ""ВВК""                                                                                                                                                                                                        ИНН 3817035020",МИ ФНС России №9 по Иркутской области , Лиц А 244998 06/10/2011                                                                                                                                                                                        06/10/2011 - 21/05/2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"отдел в магазине ""Север""
Усть-Илимский район, р.п. Железнодорожный, 
ул. Волкова, д.2а 
винно-водочный отдел в магазине ""Юпитер""
Усть-Илимский р-он, р.п. Железнодорожный, 
ул. Гагарина, д.5-1
в/в отдел в магазине ""Эльмира""
п. Тубинский ул. Таежная, д.16                                                                                                                                                                                  винно-водочный отдел магазина ""Багульник""                                                                                                                                                                   Усть-Илимский р-он, р.п. Железнодорожный,                                                                                                                                                                       ул. Молодежная,16
винно-водочный отдел магазина ""Меркурий""
Усть-Илимский р-он, р.п. Железнодорожный, 
ул. Гагарина
винно-водочный отдел магазина ""Вербушка"", р-н Усть-Илимский,
ДНТ Лесники ул. Школьная,1А
винно-водочный отдел магазина ""ЁЖ"",
р-н Усть-Илимский
ДНТ Лесники, ул. Мичурина,2
в/в отдел кафе ""Седьмое небо"" г. Усть-Илимск,
ул. Наймушина дом № 16, н.п. 118",,,,,
9,"ООО ""ВЕКТОР С""                                                                                                                                                                                              ИНН 3805711595",МИ ФНС России №9 по Иркутской области,Лиц 38 МЕ 006385 18/08/2011                                                                                                                                                                      18/08/2011 - 27/07/2012                                                                                                                                                                                                                                                                                                                                         ,"магазин                                                                                                                                                                                                            ул. Братская,50А",,,с 28.07.2012г.,,Комитетом экономики и труда администрации города Братска
