Рузаевский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,324,13 МЕ,"Самарский филиал ""ОАО Железнодорожная",7708639622,"м-н № 24 г.Рузаевка, пл. Привокзальная, 3",3,30/09/11,,,Дикарева Валентина Ивановна,
,,001793,"торговая компания"" торговый центр Рузаевский",5017746868403,"м-н №7 г. Рузаевка, ул. Переходная, 3",,30/09/13,,,Пустоваева Галина Викторовна,
,,," г.Рузаевка, ул. Эстакад 2а",,"м-н №2 г. Рузаевка, ул. К.Маркса, 45б",,"""-""-""-""-""",,,,
,,,"г. Самара, ул. Буянова, 13",,,,"""-""-""-""-""",,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-20"" г. Рузаевка, ул.Титова, 3",1,27/04/12,32-74-02,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,,
1,84,13 МЕ,"ОАО ТЗП ""Продтовары"" г.Рузаевка, ул.Рубцова,",1324011170,"м-н № 5 ""Татьяна"", г. Рузаевка, ул. Рубцова, 20 а",9,15/04/11,6-25-41,14/08/09,Логунова Любовь Николаевна,
,,001531,20 а,1021300927020,"м-н № 6 г. Рузаевка, ул. Станиславского, 6 а",,15/04/14,6-68-69,в.24.09.09,Полынкова Е.А.,
,,,,,"м-н № 13, г. Рузаевка, ул. Гагарина, 81 б",,"""-""-""-""-""",,,,
,,,,,"м-н № 16, г. Рузаевка, ул. Мира. 24 б",,"""-""-""-""-""",,,,
,,,,,"м-н № 19, г. Рузаевка, Школьный бульвар, 2 а",,"""-""-""-""-""",,,,
,,,,,"м-н № 21 ""Светлана"", г. Рузаевка, ул. Ленина, 49",,"""-""-""-""-""",,,,
,,,,,"м-н № 26, г. Рузаевка, ул. Юрасова, 15",,"""-""-""-""-""",,,,
,,,,,"м-н № 28, г. Рузаевка, ул. Менделеева, 3",,"""-""-""-""-""",,,,
,,,,,"м-н №3 с. Тат. Пишля, ул. Строительная, 25, Рузаевский",,"""-""-""-""-""",,,,
1,72,13 МЕ,"ООО ТПП ""Прогресс"", г. Рузаевка, ",1324011237,"м-н № 1, г. Рузаевка, ул. Беднодемьяновская, 16",1,16/04/12,6-39-79,14/08/09,Зотова Нина Николаевна,
,,001999,"ул. Б.Демьновская, 16",1021300927064,,,16/04/13,,в.24.09.09,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №8 г. Рузаевка, ул. Гагарина, 5",4,15/12/11,25-27-26,,,
,,001888," п. Б. Елховка,ул.Заводская.12",,"м-н ""Птица"" №12 г. Рузаевка, ул. Титова, 9",,15/04/14,36-22-93,,,
,,,,,"м-н ""Птица"" №37 г. Рузаевка, ул. К.Маркса, 16 г",,"""-""-""",,,,
,,,,,"м-н ""Птица №35"" г. Рузаевка, б-р Горшкова, 9",,,,,,
1,125,13 МЕ,"ООО ""777"" г. Рузаевка, ул. Титова, 7б",1324133186,"м-н ""555"" г. Рузаевка, б-р Горшкова, 5б",2,16/05/11,6-57-77,,Брянина Ирина Викторовна,
,,001576,,1061324009780,"м-н ""777"" г. Рузаевка, ул. Титова, 7б",,16/05/13,89271753836,,Лаушкина Мария Николаевна,
1,192,13 РМ,"ООО фирма ""Апшерон"" г. Рузаевка, ул.",1324133098,"м-н ""Север"" г. Рузаевка, б-р Горшкова, 7",2,29/06/12,2-23-01,п.10.09.08,Мусаев Гаджибала Гиббаба Оглы,
,,000083,"Пионерская, 93а ",1061324008866,"м-н ""Апшерон"" г. Рузаевка, ул. Пионерская, 93а",,30/05/13,,в.3.10.08,Коваленко Юлия Анатольевна,
1,122,13 РМ,"ООО ""СтройЭконом"" г. Саранск, ул. ",1328200500,"м-н г. Рузаевка, ул. Ленина, 39",1,15/05/12,30-09-21,20.02.07 пр.,,
,,000003,"Осипенко, 8",1041320000028,,,15/05/13,,02.03.07 воз,,
1,179,13 МЕ,"ООО ""Скарабей"" г. г. Рузаевка, ул. Маяковс-",1328905186,"м-н г. Рузаевка, ул. Маяковского, 99",1,15/06/11,56-92-98,,Столберов Сергей Николаевич,
