ИНН из файла,Тип найденного клиента из КС,Название из КС,ИНН из КС,КПП из КС,СЦ по продукту Контур-Экстерн,СЦ по РАР,Статус,Регион СЦ,Горе,,,,
0814171502,Есть в КС,"ООО ""СИМАРТЕНА""",0814171502,081601001,0444 ООО «Гольдберг-Софт»,нет,нет,77,не обработан,0814171502081601001,,,
2130067553,Есть в КС,ООО ТК АСТАРТА,2130067553,213001001,"0339 ООО ""Информационно-кадровый центр"" Эталон",нет,нет,,не обработан,2130067553213001001,,,
2310031475,Есть в КС,"ЗАО ""Тандер""",2310031475,231001001,"1 Ульяновский филиал ФГУП ""ЦентрИнформ""",нет,нет,,не обработан,2310031475231001001,,,
2310031475,Есть в КС,"ЗАО ""Тандер""",2310031475,344401001,"1 Ульяновский филиал ФГУП ""ЦентрИнформ""",нет,нет,,не обработан,2310031475344401001,,,
3311005688,Есть в КС,ЗАО «Фирма АТН»,3311005688,331101001,0270 ООО Бизнес-Эксперт,нет,нет,50,не обработан,3311005688331101001,,,
4003027390,Есть в КС,"ООО ""БризКом""",4003027390,402801001,"0534 ООО ""Центр сопровождения бизнеса""",нет,нет,,не обработан,4003027390402801001,,,
4028031990,Есть в КС,"ООО ""Кинопоказ страны""",4028031990,402801001,0268 ООО “Интернет Агент”,нет,нет,77,обработан,4028031990402801001,,,
4205230362,Есть в КС,"ООО ""Сеть супермаркетов ""Пионер",4205230362,772301001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,оплачен,77,обработан,4205230362772301001,,,
5001000242,Есть в КС,ФГУ ВНИИПО МЧС России,5001000242,500101001,"0906 ООО ""БК ОМП""",нет,нет,77,не обработан,5001000242500101001,,,
5001002747,Есть в КС,"Общество с ограниченной ответственностью ""Грипс""",5001002747,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001002747500101001,,,
5001003620,Есть в КС,"ООО ""Планета""",5001003620,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001003620500101001,,,
5001009220,Есть в КС,"ООО ""Доброта""",5001009220,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001009220500101001,,,
5001010804,Есть в КС,"ООО ""ЧИФ"" ",5001010804,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001010804500101001,,,
5001011163,Есть в КС,"ООО ""Тринадцатая линия""",5001011163,500101001,0814 ООО «Приоритет»,нет,нет,77,не обработан,5001011163500101001,,,
5001017038,Есть в КС,"ООО ""Палаццо""",5001017038,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001017038500101001,,,
5001020545,Есть в КС,ЗАО Фирма РИДО-2,5001020545,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001020545500101001,,,
5001025737,Есть в КС,"ООО ""Вреж""",5001025737,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001025737500101001,,,
5001026280,Есть в КС,"ООО ""Изюминка""",5001026280,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001026280500101001,,,
5001027156,Есть в КС,"ООО ""ОПТТОРГСЕРВИС""",5001027156,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001027156500101001,,,
5001027653,Есть в КС,Балашихинское РАЙПО,5001027653,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5001027653500101001,,,
5001028671,Есть в КС,ООО НОВСКОЕ БИСТРО,5001028671,500101001,"0906 ООО ""БК ОМП""","0906 ООО ""БК ОМП""",выставлен,77,не обработан,5001028671500101001,,,
5001050821,Есть в КС,"ООО ""Компания Комби""",5001050821,500101001,0542 СЦ «МособлКонтур»,нет,нет,50,обработан,5001050821500101001,,,
5001054424,Есть в КС,ООО «Легат»,5001054424,500101001,"0750 ООО ""АКАМ-ЛАЙТ""",нет,нет,77,не обработан,5001054424500101001,,,
5001055072,Есть в КС,"ООО ""Нинель""",5001055072,500101001,"0750 ООО ""АКАМ-ЛАЙТ""",нет,нет,77,обработан,5001055072500101001,,,
5001055717,Есть в КС,"ООО ""СВ-Сервис""",5001055717,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001055717500101001,,,
5001064246,Есть в КС,"ООО ""Элегия""",5001064246,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5001064246500101001,,,
5001067448,Есть в КС,ООО ФастФуд,5001067448,501201001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,обработан,5001067448501201001,,,
5001067776,Есть в КС,ООО «БироБ»,5001067776,500101001,0733 ООО «Новые Интернет Технологии»,нет,нет,77,не обработан,5001067776500101001,,,
5001077076,Есть в КС,"ООО ""Планета""",5001077076,500101001,"0906 ООО ""БК ОМП""",нет,нет,77,не обработан,5001077076500101001,,,
5001079080,Есть в КС,ООО «ВОЕНТОРГМАРКЕТ»,5001079080,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001079080500101001,,,
5001080720,Есть в КС,"Общество с ограниченной ответственностью ""ПЕХРА""",5001080720,500101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001080720500101001,,,
5001086218,Есть в КС,ООО «Торговый Дом Партнер»,5001086218,500101001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5001086218500101001,,,
5002000453,Есть в КС,"ЗАО ""Фабус""",5002000453,500201001,0221 ООО «КМЦ Баланс-Информ»,0221 ООО «КМЦ Баланс-Информ»,оплачен,50,не обработан,5002000453500201001,,,
5002000735,Есть в КС,Бронницкое  Потребительское  общество,5002000735,500201001,0221 ООО «КМЦ Баланс-Информ»,нет,нет,50,не обработан,5002000735500201001,,,
5002001880,Есть в КС,"ЗАО ""Фонд ветеранов спорта""",5002001880,500201001,0221 ООО «КМЦ Баланс-Информ»,нет,нет,50,не обработан,5002001880500201001,,,
5002002891,Есть в КС,ООО «Отдых-2»,5002002891,504001001,0221 ООО «КМЦ Баланс-Информ»,нет,нет,50,обработан,5002002891504001001,,,
5002062900,Есть в КС,ООО «Кнакер-Продукт»,5002062900,500201001,0221 ООО «КМЦ Баланс-Информ»,нет,нет,50,не обработан,5002062900500201001,,,
5002075219,Есть в КС,"ООО ""Бронничи"" Бронницкого ПО",5002075219,500201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5002075219500201001,,,
5002085320,Есть в КС,"ООО ""Бронничи""",5002085320,500201001,0221 ООО «КМЦ Баланс-Информ»,нет,нет,50,обработан,5002085320500201001,,,
5003001347,Есть в КС,"ООО ""КАРАТ""",5003001347,500301001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",выставлен,77,не обработан,5003001347500301001,,,
5003003760,Есть в КС,"ООО ""Торговый дом ""Все для дома",5003003760,500301001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",выставлен,77,обработан,5003003760500301001,,,
5003004002,Есть в КС,ФГБУ «Дом отдыха «Архангельское»,5003004002,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003004002500301001,,,
5003004370,Есть в КС,"ООО ""фирма""Валуево",5003004370,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003004370500301001,,,
5003004595,Есть в КС,Видновское городское потребительское общество,5003004595,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003004595500301001,,,
5003004877,Есть в КС,"ООО ""РУС-Отель""",5003004877,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003004877500301001,,,
5003006440,Есть в КС,"ООО ""Стикс""",5003006440,500301001,"0906 ООО ""БК ОМП""","0906 ООО ""БК ОМП""",выставлен,77,обработан,5003006440500301001,,,
5003007959,Есть в КС,"ТВ фирма ""Латали""",5003007959,500301001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",выставлен,77,обработан,5003007959500301001,,,
5003015491,Есть в КС,"ООО ""Торговый Дом Петр и К""",5003015491,775101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003015491775101001,,,
5003015974,Есть в КС,"ООО ""Семал и К""",5003015974,775101001,"0906 ООО ""БК ОМП""",нет,нет,77,обработан,5003015974775101001,,,
5003016270,Есть в КС,Ленинское райпо,5003016270,500301001,0547 ООО «Инет-Бухгалтерия»,нет,нет,77,обработан,5003016270500301001,,,
5003017001,Есть в КС,ООО ФИРМА КАРАВАН,5003017001,500301001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,выставлен,77,не обработан,5003017001500301001,,,
5003026895,Есть в КС,"Общество с ограниченной ответственностью ""ЕВТАП""",5003026895,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003026895500301001,,,
5003031790,Есть в КС,"ООО""МИР РАЗВЛЕЧЕНИЙ""",5003031790,500301001,"0811 ООО ""Контур-Эксперт""",нет,нет,77,обработан,5003031790500301001,,,
5003031969,Есть в КС,"ООО""Калипсо""",5003031969,500301001,"0811 ООО ""Контур-Эксперт""",нет,нет,77,обработан,5003031969500301001,,,
5003032151,Есть в КС,"ООО ""Фирма 707""",5003032151,500301001,0165 ЗАО «Расчетный Центр «Практик»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,выставлен,77,обработан,5003032151500301001,,,
5003034582,Есть в КС,ШАФРАН 2001  ООО,5003034582,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003034582500301001,,,
5003039541,Есть в КС,"ООО ""Серьга""",5003039541,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003039541500301001,,,
5003039728,Есть в КС,"Общество с ограниченной ответственностью ""Бревис""",5003039728,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003039728500301001,,,
5003039816,Есть в КС,"ООО ""Научно-методический центр профсоюза работников АПК""",5003039816,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003039816500301001,,,
5003048105,Есть в КС,"ООО ""ПОТЕНЦИАЛ""",5003048105,500301001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5003048105500301001,,,
5003050908,Есть в КС,"ООО ""ПИРАМИДА""",5003050908,500301001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5003050908500301001,,,
5003058128,Есть в КС,"ООО ""КИРСОН""",5003058128,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003058128500301001,,,
5003058826,Есть в КС,"Общество с ограниченной ответсвенностью""Мандарин""",5003058826,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003058826500301001,,,
5003058992,Есть в КС,"ПО ""Балит""",5003058992,500301001,84 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,не обработан,5003058992500301001,,,
5003059033,Есть в КС,"ООО ""Сфера""",5003059033,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003059033500301001,,,
5003060180,Есть в КС,"ООО ""Реноме""",5003060180,500301001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",оплачен,77,обработан,5003060180500301001,,,
5003060720,Есть в КС,"ООО ""Апаринки-СИТИ""",5003060720,500301001,"0210 ООО ""ОрионМегаПлюс""",нет,нет,77,обработан,5003060720500301001,,,
5003077480,Есть в КС,"Общество с ограниченной ответственностью ""Сервис Вэй """,5003077480,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003077480500301001,,,
5003077787,Есть в КС,"ООО ""Логистик Дистрибьюшен""",5003077787,500301001,0446 ООО Компания “Комфорт-софт”,нет,нет,77,обработан,5003077787500301001,,,
5003078170,Есть в КС,"ООО ""Аэро Фудс""",5003078170,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5003078170500301001,,,
5003078621,Есть в КС,"ООО ""Аэро Фудс Кафе""",5003078621,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5003078621500301001,,,
5003079174,Есть в КС,"ООО ""Ассоциация Ритейл Проектов"" ",5003079174,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003079174500301001,,,
5003084505,Есть в КС,"ООО ""Бразерс и Компания Регион""",5003084505,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003084505500301001,,,
5003084706,Есть в КС,ООО «Виллоп Регион»,5003084706,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5003084706500301001,,,
5003085957,Есть в КС,"ООО ""ПРОДУКТЫ""",5003085957,500301001,"0277 ООО ""Белый Бизнес""","0277 ООО ""Белый Бизнес""",оплачен,77,не обработан,5003085957500301001,,,
5003086502,Есть в КС,"ООО ""Гудвилл+""",5003086502,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5003086502500301001,,,
5003090065,Есть в КС,"Общество с ограниченной ответственностью ""ВИТА""",5003090065,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5003090065500301001,,,
5003090185,Есть в КС,"ООО ""Студия Вкуса""",5003090185,772501001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,выставлен,77,не обработан,5003090185772501001,,,
5003091950,Есть в КС,"ООО ""Вусал""",5003091950,500301001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5003091950500301001,,,
5003097864,Есть в КС,"ООО ""Гоар""",5003097864,500301001,"0210 ООО ""ОрионМегаПлюс""","0210 ООО ""ОрионМегаПлюс""",выставлен,77,не обработан,5003097864500301001,,,
5004000272,Есть в КС,Волоколамское Райпо,5004000272,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004000272500401001,,,
5004001692,Есть в КС,"ООО ""Меркурий""",5004001692,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004001692500401001,,,
5004002819,Есть в КС,"ЗАО ТФ ""Волоколамск""",5004002819,500401001,0374 ООО «Лидер-М»,0374 ООО «Лидер-М»,оплачен,50,обработан,5004002819500401001,,,
5004003330,Есть в КС,"ООО ""Дионис""",5004003330,500401001,0159 ООО «Рилл-Софт»,нет,нет,77,не обработан,5004003330500401001,,,
5004012366,Есть в КС,"ЗАО ""Волпродторг""",5004012366,500401001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5004012366500401001,,,
5004013680,Есть в КС,"ООО ""Сервис-АвтоГарант""",5004013680,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004013680500401001,,,
5004017477,Есть в КС,"ПО ""Кооператор""",5004017477,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004017477500401001,,,
5004018431,Есть в КС,"ООО ""Диалог-Центр""",5004018431,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004018431500401001,,,
5004018512,Есть в КС,"ООО ""Прайд""",5004018512,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004018512500401001,,,
