Чамзинский район,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,,,объектов,лицензииё,факс,новки и,
ции,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
1,119,13 МЕ,"ООО ""Садко-С"" г. Саранск, Алек-ское ш. 14",1328199068,"м-н ""Искра"" п. Комсомольский (рын.""Рождествен"")",2,15/05/12,2-16-22,,Шилов 
,,002050,,,"м-н ""Восточный"" п. Комсомольский, ул. Республиканская, скл. №5",,15/05/14,3-37-51,,
1,34,13 МЕ,"ООО ""Сергей"", Чамзинский район, п.Чамзинка",1322116957,"м-н ""Байкал"", п. Чамзинка, ул. Луговая, 31",24,28/02/11,2-20-73,,Кувыркин Петр Иванович
,,001475,"пер. Республиканский, 3а ",1021301578209,"м-н ""Привал"", п.Чамзинка, ул.Терешковой, 8",,28/02/14,,,
,,,,,"м-н ТПС, с. Отрадное, ул. Ленина, 80",,"""-""-""-""",,,
,,,,,"м-н ТПС, с. Медаево, ул. Молодежная, 22, Чамзинс",,"""-""-""-""",,,
,,,,,"м-н ""Продукты"" п. Чамзинка, ул. Большая, 6",,"""-""-""-""",,,
,,,,,"м-н ТПС, с. М. Маресьево, ул. Ленина, 3, Чамзинский",,,,,
,,,,,"м-н ТПС, с. Пянгилей, ул. Садовая, 26, Чамзин",,,,,
,,,,,"м-н ТПС, с. Мокшалей, ул. Ленинская, 47, Чамзинс",,,,,
,,,,,"м-н ТПС, с. М. Маресьево, ул. Советская, 6, Чамзинский",,,,,
,,,,,"м-н ТПС, с. Б. Ремезенки, ул. Молодежная, 1а, Чам",,,,,
,,,,,"м-н ТПС, с. Кульмино, Площадь, 20, Чамзинский район",,,,,
,,,,,"м-н ТПС, с. Альза, ул. Толстого, 39, Чамзинс",,,,,
,,,,,"магазин №2, п. Комсомольский, мкр., 2, 30",,,,,
,,,,,"кафе ""Мельница"", п. Чамзинка, Лесхоз, ул. Маркина, 17",,,,,
,,,,,"м-н ""Аленушка"" п. Комсомольский, ул. Республик, 3",,,,,
,,,,,"м-н ТПС, с. Знаменское, ул. Центральная, 11, Чамзинский ",,,,,
,,,,,"м-н ТПС, с. Мичурино, ул. Садовая, 54а, Чамзинс",,,,,
,,,,,"м-н ТПС, с. Кр. Поселок, ул. Центральная, 20, Чамз",,,,,
,,,,,"м-н ТПС, с. Наченалы, ул. Большая, 67, Чамзинский",,,,,
,,,,,"м-н ТПС, с. Медаево, ул. Молодежная, 21а, Чамзинский",,,,,
,,,,,"м-н ТПС, с. Мачказерово, ул. Ленина, 24, Чамз",,,,,
,,,,,"м-н ТПС №1 с. Пичеуры, ул. Калинина, 6, Чамз.",,,,,
,,,,,"м-н ТПС, с. Апраксино, ул. Центральная, 12, Чамз",,,,,
,,,,,"м-н ""Уют"" п. Чамзинка, пер. Республиканский, 3а",,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-10"" п. Чамзинка, микр.,  6-4",1,27/04/12,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,
1,418,13 МЕ,"ООО ""Мордовская водка"", г. Саранск,",1327156865,"м-н № 8 ф-л №1 п. Комсомольский, мкр., 2, 30",1,15/12/11,24-26-93,,
,,001896,"ул.Веселовского, 62а",,,,15/03/16,24-68-75,,
1,17,13 МЕ,"ООО ""ТеплоИнвест-С"" г. Саранск, ул.",1328904697,"м-н ""Триумф"" п. Чамзинка, ул. Почтовая, 8",2,15/02/12,23-21-76,,
,,001938,"Рузаевская, 36б",,"м-н п. Комсомольский, ул. Республиканская, 3",,28/02/13,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №6 п. Чамзинка, ул. Почтовая, 4",1,15/12/11,,,
,,001888," п. Б. Елховка,ул.Заводская.12 ",,,,15/04/14,,,
1,111,13 МЕ,"ООО ""БиК"" п. Чамзинка, ул. Терешковой, 18-13",1322120858,"м-н № 1 г. Саранск, ул. Сущинского, 4, корп.1",,29/05/09,2-14-02,,
,,000859,,,"м-н № 2 г. Саранск, ул. С.Разина, 48",,29/05/14,,,
