"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по РМО ""Усть-Удинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,Усть-Удинское районное потребительское общество 3842000504,МИ ФНС России № 2 по Иркутской области,А 179497 № 86 от 22.08.2007г. с 22.08.2007г. до 23.08.2012г.,"п. Усть-Уда,                      ул. Комсомольская,6 магазин № 6  ",,,,,,
,,,,"п. Усть-Уда,                           ул. 50 лет Октября,20 магазин № 5  ",,,,,,
,,,,"п. Усть-Уда,                      ул. 50 лет СССР,1 столовая  ",,,,,,
,,,,"п. Усть-Уда,                      ул. 50 лет СССР,30 магазин № 7  ",,,,,,
,,,,"п. Усть-Уда,                      ул. Кирова,13            магазин № 49  ",,,,,,
,,,,"п. Усть-Уда,                      ул. Народная,7           магазин № 44  ",,,,,,
,,,,"с. Новая Уда,                          магазин № 34",,,,,,
,,,,"с. Юголок,                            магазин № 14",,,,,,
,,,,д. Кижи                               магазин № 16,   ,,,,,
,,,,с. Балаганка                      магазин № 17,,,,,,
,,,,с. Игжей              магазин № 20,,,,,,
,,,,с. Светлолобово магазин № 11,,,,,,
,,,,д. Лабогай              магазин № 25,,,,,,
,,,,д. Усть-Малой                 магазин № 38,,,,,,
,,,,д. Михайловщина магазин №12 ,,,,,,
,,,,д. Податовская                 магазин № 26,,,,,,
,,,,д. Ясачная                         магазин № 28,,,,,,
,,,,с. Малышевка                  магазин № 30,,,,,,
2.,"Общество с ограниченной ответственностью ""Мария"" 3806004020",МИ ФНС России № 2 по Иркутской области,38 МЕ 003127 № 93 от 21.04.2010г. с 21.04.2010г.  до 13.08.2012г.,"с. Молька             ул. Амурская, магазин ""Кедр""",,,,,,
,,,,"с. Новая Уда, ул. Юбилейная, 2б магазин ""Кедр-2""",,,,,,
3.,"Общество с ограниченной ответственностью ""Престиж"" 3806003997",МИ ФНС России № 2 по Иркутской области,А 179490 № 92 от 28.12.2009г.   с 28.12.2009 до 13.08.2016г.,"п. Усть-Уда ул. Ленина, 16А магазин ""Престиж""",,,,,,
,,,,"п. Усть-Уда            ул. Свердлова 49 павильон ""Гора""",,,,,,
,,,,"п. Усть-Уда ул. Свердлова, 2А магазин ""Дежурный""",,,,,,
,,,,"п. Усть-Уда ул. Мира, 56                магазин ""Рубин""",,,,,,
,,,,"с. Юголок ул. Ангарская, 14 магазин ""Сапфир""",,,,,,
4.,"Общество с ограниченной ответственностью ""Деметра"" 3806004060",МИ ФНС России № 2 по Иркутской области,А 171495 № 76 от 25.08.2006г.     с 25.08.2006г.       до 27.08.2012г.,"п. Усть-Уда ул. Мира, 22""В"" магазин ""Деметра""",,,,,,
,,,,"п. Усть-Уда  ул. Постышева, 27А магазин ""Нептун""",,,,,,
,,,,"п. Усть-Уда ул. Зои Космодемьянской,2 магазин ""Багира""",,,,,,
5.,"Общество с ограниченной ответственностью ""ПМ БАЙКАЛ"" 3806004077",МИ ФНС России № 2 по Иркутской области,А 171496 № 77 от 29.08.2006г. с 29.08.2006г. до 31.08.2012г. ,"п. Усть-Уда ул. 50 лет Октября,22 магазин ""Кристал""",,,,,,
,,,,"с. Балаганка ул. Рабочая, 45               магазин ""Надежда""",,,,,,
6.,"Общество с ограниченной ответственностью ""Стимул-С"" 3806004119",МИ ФНС России № 2 по Иркутской области,А 171498 № 78 от 08.09.2006г.     с 08.09.2006г.      до 10.09.2012г.,"п. Усть-Уда ул. Ленина, 15      магазин ""Шанс""",,,,,,
7.,"Общество с ограниченной ответственностью ""Маяк""   3806004285",МИ ФНС России № 2 по Иркутской области,А 179487 № 90 от 13.11.2009г.       с 13.11.2011г.     до 10.11.2012г.,"п. Усть-Уда ул. 50 лет Октября,18               кафе ""Маяк""",,,,,,
,,,,"п. Усть-Уда ул. 50 лет Октября,18               магазин ""Маяк""",,,,,,
,,,,"п. Усть-Уда ул. Карла Маркса,9               магазин ""Маячок""",,,,,,
,,,,"п. Усть-Уда ул. 50 лет Октября,32г               магазин ""Маячок""",,,,,,
8,"Общество с ограниченной ответственностью ""Виктория""   3806003860",МИ ФНС России № 2 по Иркутской области,А 242962 № 96 от 22.02.2012г.     с 22.02.2012г.          до 31.12.2012г.,"п. Усть-Уда             ул. Мира, 59А   магазин ""Виктория""",,,,,,
,,,,"п. Усть-Уда             ул. 50 лет Октября,20-1, пом-2,  магазин ""Виктория""",,,,,,
