Лямбирский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,398,13 МЕ,"ООО ""Универсал-Мордовия"" г. Саранск,",1326196632,"магазин №7, с. Лямбирь, ул. Октябрьская, 2б",9,02/12/11,2-11-62,,Миронова Наталья Васильевна,
,,001875,"ул. Рабочая, 72",,"магазин ""Продукты"", с. Лямбирь, ул. Ленина, 13",,02/12/12,47-48-87,,Минеева Любовь Яковлевна,
,,,,,"кафе ""Кафе"" с. Лямбирь, ул. Ленина, 3а",,"""-""-""",,,,
,,,,,"м-н  с. Смольково, ул. Школьная, 9, Лямбирский р-н",,"""-""-""",,,,
,,,,,"м-н с. Первомайск, ул. Центральная, 1, Лямбирский",,"""-""-""",,,,
,,,,,"м-н с. Болотниково, ул. Центральная, 2, Лямбирский",,"""-""-""",,,,
,,,,,"м-н, с. Тат. Тавла, ул. Школьная, 2а, Лямбирский район",,"""-""-""",,,,
,,,,,"м-н с. Черемишево, ул. Молодежная,3, Лямбирский",,"""-""-""",,,,
,,,,,"м-н с. Мельцапино, ул. Подлесная, Лямбирский",,"""-""-""",,,,
1,17,13 МЕ,"ООО ""ТеплоИнвест-С"" г. Саранск, ул.",1328904697,"м-н с. Берсеневка, ул. Советская, 61а, Лямбирск.",2,15/02/12,23-21-76,,Воронин Александр Вячеславович,
,,001938,"Рузаевская, 36б",,"бар, с. Берсеневка, ул. Советская, 61а, Лямбирский район",,28/02/13,,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №3, г.Саранск, ул.Энгельса, 21",8,15/12/11,25-27-26,,Андин Иван Семенович,
,,001888," п. Б. Елховка,ул.Заводская.12",,"м-н ""Птица"" №5, г.Саранск, пр.60 лет Октября, 11а",,15/04/14,30-22-93,,Глынина Виктория Игоревна,
,,,Всего - 53  ,,"м-н ""Птица"" №7 г. Саранск, ул. Осипенко, 95а",,"""-""-""",25-27-82,,,
,,,,,"м-н ""Птица"" № 59 г. Саранск, ул. Коммунистическая, 62",,"""-""-""",,,,
,,,,,"м-н ""Птица"" № 11 г.Саранск, ул.Лихачева, 38а",,"""-""-""",,,,
,,,,,"м-н ""Птица"" №14 г.Саранск,пр.70 лет Октября, 65а",,"""-""-""",,,,
,,,,,"м-н ""Птица"" №16,г.Саранск, ул.Советская, 50а",,"""-""-""-""",25-27-97,,,
,,,,,"м-н ""Птица"" №31 г.Саранск, пр. 60лет Октября, 141",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №32, г.Саранск, ул.Васенко, 12",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №34, г.Саранск, ул.Коммунистич.10",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №38, г.Саранск,б-р Эрьзи,12",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №40, г.Саранск, ул.Л.Толстого, 3",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №41, г.Саранск, ул.Энергетическая, 13а, стр.1",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №44, г.Саранск, ул.Коваленко,36а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №61 г. Саранск, ул. Гожувская, 10а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №10 г. Саранск, ул. Пролетарская, 112",,,,,,
,,,,,"м-н ""Птица"" №42 г. Саранск, п. Ялга, ул. Пионерская, 39",,,,,,
,,,,,"м-н ""Птица"" №64, г. Саранск, ул. Севастопольская, 56, корп.2, стр. 2",,,,,,
,,,,,"магазин ""Птица"" № 63, г. Саранск, ул. Войнова, 32а",,,,,,
,,,,,"магазин ""Птица"" № 49, г. Саранск, ул. Солнечная, 19а",,,,,,
,,,,,"м-н ""Птица"" №39 с. Масловка, Лямбирский р-н",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №1 с. Б.Елховка, ул. Фабричная, Лямб. р-н",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №27 с. Михайловка, Лямбирский район",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №43 с. Александровка, ул. Долганова, 2, Лям.",,"""-""-""-""",,,,
