№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
1,"Закрытое акционерное общество ""МПАС"" Многоярусная подземная автостоянка",7717030315/ 1027739314570,"129226, г. Москва, ул. Сергея Эйзенштейна, д. 1","г. Москва, ул. Сергея Эйзенштейна, дл.1","Кафе ""Светофор""",ПРИУ 41823,14.05.2004,,14.05.2015,Действует
2,"Общество с ограниченной ответственностью ""КНЕФИ""",7701343320/ 1037701920739,"105082, г. Москва, Рубцовская наб., д.3, стр. 1","г. Москва, Рубцовская наб., д. 3, стр. 1",Кафе,ПРИУ 41901,21.05.2004,,21.05.2015,Действует
3,"Общество с ограниченной ответственностью ""Кофе Хаус.Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"127599, г. Москва, ул.Ижорская, д.8, стр.1","г. Москва, пер. Смоленский 2-й, д. 1/4",Кафе,ПРИУ 41846,21.05.2004,,21.05.2013,Действует
4,"Общество с ограниченной ответственностью ""ИТАЛЭКС"" ""ITALEX"" Company Limited",7736145167/ 1027739789660,"117312, г. Москва, ул. Вавилова, д.53, корп.1","г. Москва, проспект 60-летия Октября, д.20",Ресторан,ПРИУ 42015,05.06.2004,,05.06.2014,Действует
5,"Общество с ограниченной ответственностью ""ЗЕЛЕНЫЕ СТУПЕНЬКИ""",7716502773/ 1047796026630,"129336, г. Москва, Анадырский пр-д, д. 63","г. Москва, Анадырский пр-д, д. 63",Магазин,ПРИУ 42058,10.06.2004,,10.06.2015,Действует
6,"Общество с ограниченной ответственностью ""Форте - клаб""",7726189486/ 1037739316823,"113648, г. Москва, Северное Чертаново мкр., д. 5""Г""","113648, г. Москва, Северное Чертаново мкр., д. 5""Г""",Магазин,ПРЮВЮ 53,28.06.2004,25.06.2004,28.06.2017,Действует
7,"Общество с ограниченной ответственностью ""БИБИРЕВО - 84""",7715112322/ 1027739230562,"127549, г. Москва, Бибиревская ул., д. 7, корп. 1","127549, г. Москва, Бибиревская ул., д. 7, корп. 1",Магазин,ПРВСВ 60,01.07.2004,02.07.2004,01.07.2017,Действует
8,"Общество с ограниченной ответственностью ""РЕБЕРЕС""",7713229205/ 1027700180089,"125422, г. Москва, ул.Костякова, д.6/5","г. Москва, ул.Пречистенка, д.21/12, стр.5",Ресторан,ПРИУ 42281,06.07.2004,07.07.2004,06.07.2017,Действует
9,"Общество с ограниченной ответственностью ""М-КИИР""",7743062401/ 1027743006510,"125475, г. Москва, ул.Зеленоградская, д.17, корп.1","г. Москва, ул.Зеленоградская, д.17, корп.1",Магазин,ПРСЗС 73,16.07.2004,16.07.2004,16.07.2017,Действует
10,"Общество с ограниченной ответственностью ""Универсам Зебра""",7734200863/ 1037739407485,"123060, г. Москва, ул.Народного Ополчения, д.41, стр.1","г. Москва, ул. Народного Ополчения, д.41, стр.1",Магазин,ПРСЗС 80,17.07.2004,16.07.2004,17.07.2014,Действует
