"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Заларинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,,6,7,8,9,10
1,Заларинское ПОСПО              ИНН 3825000335 ,МИ МНС РФ по налогам и сборам №14  по Иркутской  области и по г.Саянску от14.01.1993г.,рег.№ 00082 А 242655                                 от 27.02.2009г. по 02.11.2012г.     взамен:  рег.№ 00047 А 214969                                 от 27.02.2009г. по 02.11.2012г.  ,"1. Магазин № 4 р.п. Залари, ул. Победы, 32;
2. Магазин  № 6 р.п. Залари, ул. Карла  Маркса, 56;
3. Магазин № 8 р.п. Залари, ул. Геологическая, 1-1;
4. Магазин № 20 р.п. Залари, ул. Победы, 52;
5. Магазин  «Заря» р.п. Залари, ул. Ленина, 114.

",,,,,,
2,"ООО ""ТД Окинский"" ИНН 3806009491",МИ МНС России  №2 по Ирк.обл. г. Зима от29.12.2003г. ,   А002276 рег.№ 08                                  от 26.05.2011г. по 05.03.2014г.         взамен:  А002271 рег.№ 17                                  от 25.08.2010г. по 05.03.2014г.  ,"1. с. Веренка, Заларинского района, ул. Молодежная, 15","1. магазин ""Рассвет""                                ",,,,,лицензия выдана Администрацией Зиминского районного муниципального образования 
3,Тыретский СРК       ИНН 3825000462 ,МИ МНС РФ по Ирк.обл.№14 от 22.12.1992г.,А 242641 рег. № 00066                            от 17.06.2011г. До 16.06.2013г.               взамен: А 214986 рег. № 63                            от 29.04.2011г. До 16.06.2013г. ,"1. п.Тыреть,ул.8 марта                                          2. п.Тыреть,ул.Советская,16                                      3. с.Веренка,  ул.Победы,20                                   4. участок Николаевский, ул.Береговая,10                      5. с.Ханжиново, ул. Советская,11                                                  6. с. Семеновское, ул. 40 лет Победы, 61                  7. д. Тыреть 2-ая, ул. Трактовая, 40                             8. уч. Мейеровка, ул. Заречная, 23 а                            9. п.Тыреть, ул.Советская,16    ","1. магазин ""Ремцех""                                                        2. магазин ""Продмаг""                                                 3. магазин ТПС                                                           4. магазин ТПС                                                         5. магазин ТПС                                                          6. магазин ТПС                                                                  7. магазин                                                                                   8. магазин                                                                                               9. магазин                             ",,,30.06.12г.,,
4,"ООО""Весна""  ИНН 3814010772 ",МИ ФНС № 14 по Иркутской области и  УОБАО от 26.04.2006г.,А 242643 рег. № 00067                                 от 17.11.2011г.  По 25.06.2011г.                             Взамен: 38 МЕ 000041                                         рег.№ 00009                                          от 25.06.2011г. по 25.06.2012г. ,"1. п.Залари,ул.Мызгина,24б                                  2. п.Залари,улЛенина,50                                      3. п.Залари,ул.Лазо, 4-27                                                    4. п.Тыреть,м-он Солерудник, Универсам","1. магазин""Петрович""                                               2. магазин""Петрович""                                             3. магазин""Петрович""                                                4. магазин""Петрович""                             ",,,26.06.12г.,,
5,"ООО""Глория"" ИНН 3825002276 ",МИ ФНС РФ № 14 по Ирк.обл. и УОБАО от 18.01.1995г. ,38 МЕ 000022 рег.№00042                 от 15.10.2008г. по 29.06.2011г.  Лицензия продлена:                                              с 30.06.2011г. по 29.06.2012г.  ,"1. п.Залари,ул.Лазо,1А                                                2. п.Залари,ул.Рокоссовского,12А                             3. п.Тыреть,м-он Солерудник,                             здание Универсама                                               4.п. Залари, ул. Вишневая, 16","1. магазин""Айкуша""                                                                         2. магазин""Сона""                                                                                          3. магазин""У дяди Вано""                                                                                      4. магазин ""Вард""                                                     ",,,30.06.12г.,,
6,"ООО""НиАл"""" ИНН 3814010860 ",МИ ФНС РФ № 14 по Ирк.обл.и УОБАО от 26.05.2006г.,А 242642 рег.№ 00004                               от 6.07.2006г. до 5.07.2011г.     Лицензия продлена:                                с 5.07.2011г. по 5.07.2012г.                                        ,"1. п.Залари,ул.Степная,1                                                   2. п.Залари,ул.Ленина,83 ТЦ                           3. п.Тыреть,ул.Шеина,7","1.магазин ""Продукты""                                              2. павильон ""Продукты""                                                 3. магазин ""Березка""                            ",,,6.07.12г.,,
7,"ООО""Жасмин"" ИНН 3814010807 ",МИ ФНС РФ №14 по Ирк.обл. и УОБАО от 10.05.2006г.,А 214987 рег.№ 00064                                   от 12.05.2011г. до 25.07.2011г.   Лицензия продлена:                               с 26.07.2011г. По 25.07.2012г.                          ,"1. п.Тыреть,м-он Солерудник,9 А                     2. п.Тыреть,ул.Октябрьская,25                                 3. р.п. Тыреть,м-он Солерудник,9 А ","1. магазин ""Кристина""                                               2. магазин ""Элен""                                                                  3. кафе ""Саша""                                 ",,,26.07.12г.,,
8,"ООО""Анна""           ИНН 3814011085 ",МИ ФНС РФ №14 по Ирк.обл. и УОБАО от 18.07.2006г.,А 242649 рег.№ 00073                               от 25.01.2012г. до 20.08.2012г.  Взамен: 38 МЕ 000039 № 00007                                                с 21.08.2011г. по 20.08.2012г.  ,"1. п.Залари,ул.Ленина,31                                         ","1. магазин ""Анюта""                                                            ",,,,,
9,Заларинский районный союз потребительских обществ (РПС) ИНН 3825001177                  ,МИ МНС РФ № 14 по Ирк. обл. от 01.10.2007г.,А 242654 рег.№ 00081                            от 27.07.2012г. По 26.11.2012г. Взамен: А 242644 рег.№ 00070                            от 15.12.2011г. По 26.11.2012г. ,"1. Магазин  «Кулинария», Иркутская область, Заларинский район, р.п. Залари,                                               ул. Ленина, 64;
2. Магазин  ТПС, Иркутская область, Заларинский район,  с. Бабагай, ул. Школьная,1;
3. Магазин  ТПС, Иркутская область, Заларинский район,  с. Мойган, ул. Центральная, 33;
4. Магазин  ТПС, по адресу: Иркутская область, Заларинский район,                                                   с. Черемшанка, ул. 40 лет Победы, 53;
5. Магазин  ТПС, Иркутская область, Заларинский район,  д.  Сорты,                                            ул. Трактовая, 22;
6. Отдел в магазине «Алла» ИП Распутина С.Л., Иркутская область, Заларинский район,  с. Холмогой, ул. Юбилейная, 1Б;
7. Столовая «Березка», Иркутская область, Заларинский район, р.п. Залари, ул. Ленина,                   д. 64.
",,,,,,
