                  Государственный реестр лицензий  за август 2012 г. по Хабаровскому краю,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Полное и сокращенное нименование организации с указанием ее организационно-правовой формы,ИНН организации,КПП организации, Адрес место нахождения) организации,Адрес электронной почты организации,"Место нахождения (адрес) обособленного подразделения организации, осуществляющего лицензируемый вид деятельности","КПП обособленного подразделения организации, осуществляющего лицензируемый вид деятельности ",Код субъекта РФ по месту нахождения организации,"Код субъекта РФ  по месту нахождения обособленного подразделения , осуществляющего лицензируемый вид деятельности",Вид лицензируемой деятельности организации,Вид продукции,Номер  ранее выданной лицензиилицензии,"Наименованите лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,"Номер лицензии, соответствующий номеру записи в реестре",Сведения о действии лицензии,Дата изменения  сведений о действии лицензии,Основание изменения сведений о действии лицензии,
,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
"ООО ""Надежда""",2706026413,270601001,"Амурский р-н, п.г.т. Эльбан, ул. Школьная д.7",,"п.г.т. Эльбан, ул. Школьная д.7",270601001,27,27,розн. продажа АП,АП,ХБ 001313,МСХ,31.07.2012,31.07.2013,590,действующая лицензия,14.08.2012,утеря бланка лицензии,
"ООО ""БУК""",2704016890,270401001,"Советско-Гаванский р-н, р.п. Заветы Ильича, ул. Станюковича д.15",,"р.п. Заветы Ильича, ул. Станюковича д.15",270401001,27,27,розн. продажа АП,АП,ХБ 001285,МСХ,14.08.2012,14.08.2013,2207,продление,14.08.2012,личное заявление организации,
"ООО ""Престиж""",2720031052,272001001,"Хабаровский р-н, с. Некрасовка, ул. Бойко-Павлова д.6б",tpinegina898@mail.ru,"с. Некрасовка, ул. Школьная д.19",272001001,27,27,розн. продажа АП,АП,ХБ 001256,МСХ,14.08.2012,14.08.2013,1410,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Вест""",2720020029,272001001,"Хабаровский р-н, с. Малышево, ул. Первомайская д.21",,"с. Малышево, ул. Первомайская д.21",272001001,27,27,розн. продажа АП,АП,ХБ 001241,МСХ,12.07.2012,12.07.2013,580,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Заозерное""",2720031077,272001001,"Хабаровский р-н, с. Заозерное, ул. Петра Черкасова д.9а",,"с. Заозерное, ул. Петра Черкасова д.9а",272001001,27,27,розн. продажа АП,АП,ХБ 001242,МСХ,17.07.2012,17.07.2013,1391,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Евгения""",2713014458,271301001,"Р-он им. Лазо, с. Кругликово, ул. Вокзальная д.7",,"с. Кругликово, ул. Вокзальная д.7",271301001,27,27,розн. продажа АП,АП,ХБ 001286,МСХ,8/14/2012,8/14/2015,836,продление,14.08.2012,личное заявление организации,
"ООО ""Созвездие""",2709014134,270901001,"Ванинский р-н, п.г.т. Октябрьский, ул. Дорожная д.10",tinenza@mail.vanino.ru,"п.г.т. Октябрьский, ул. Дорожная д.10",270901001,27,27,розн. продажа АП,АП,ХБ 001151,МСХ,6/19/2012,19.06.2015,2580,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Фарида""",2720030549,272001001,"Хабаровский р-н, с. Анастасьевка, ул.Бойко-Павлова д.42",,"с. Анастасьевка, ул.Бойко-Павлова д.42",272001001,27,27,розн. продажа АП,АП,ХБ 001287,МСХ,8/14/2012,8/14/2013,405,продление,14.08.2012,личное заявление организации,
"ООО ""Факел""",2706027880,270601001,"Амурский р-н, п.г.т. Эльбан,2-ой мкр. Д.22",,"п.г.т. Эльбан,2-ой мкр. Д.22",270601001,27,27,розн. продажа АП,АП,ХБ 001288,МСХ,8/14/2012,8/14/2013,825,продление,14.08.2012,личное заявление организации,
"ООО ""Лаванда""",2727005834,270301001,"г. Комсомольск-на-Амуре, ул. Вагонная д.14",,"г. Комсомольск-на-Амуре, ул. Вагонная д.14",270301001,27,27,розн. продажа АП,АП,ХБ 001289,МСХ,14.09.2012,9/14/2013,1393,продление,14.08.2012,личное заявление организации,
"ООО ""Торговый дом ""Гермес""",2705094241,270501001,"г. Николаевск-на-Амуре, ул. Горького д.95",t.dom.germes@mail.ru,"г. Николаевск-на-Амуре, ул. Горького д.95",270501001,27,27,розн. продажа АП,АП,ХБ 001290,МСХ,8/14/2012,8/14/2013,2607,получение впервые,14.08.2012,личное заявление организации,
"ООО ""ДИОКС""",2724107714,272401001,"г. Хабаровск, ул.Краснодарская д.35, 30",nadegda1275@mail.ru,"г. Хабаровск, ул. Большой Аэродром, в р-не ДОС 40",272401001,27,27,розн. продажа АП,АП,ХБ 001291,МСХ,25.09.2012,9/25/2017,1436,продление,14.08.2012,личное заявление организации,
"ООО ""Милана""",2705093914,270501001,"г. Николаевск-на-Амуре, ул. Луначарского д.138-188",,"г. Николаевск-на-Амуре, пер. Заводской д.8",270501001,27,27,розн. продажа АП,АП,ХБ 001292,МСХ,14.08.2012,8/14/2014,2608,продление,14.08.2012,личное заявление организации,
"ОАО ""Гостиничный комплекс ""Славянка""",7702706914,770201001,"г. Москва, пл. Суворовская д.2",,"г. Хабаровск, ул. Георгиевская д.29",272443001,77,27,розн. продажа АП,АП,ХБ 001293,МСХ,14.08.2012,8/14/2014,2609,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Золотой дельфин""",2710001894,271001001,"Верхнебуреинский р-н, п.г.т. Чегдомын, ул. 60 лет Октября д.2д",menedg74@mail.ru,"п.г.т. Чегдомын, ул. 60 лет Октября д.2д",271001001,27,27,розн. продажа АП,АП,ХБ 001294,МСХ ,14.08.2012,14.08.2012,2610,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Кубера""",2720032803,272001001,"Хабаровский р-н, с. Черная Речка, пер. Центральный д.53",," с. Черная Речка, ул. Южная д.1",272001001,27,27,розн. продажа АП,АП,ХБ 000424,МСХ,12.07.2011,12.07.2013,782,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Ассорти плюс""",2704021522,270401001,"Советско-Гаванский р-н, р.п. Майский, ул. Камчатская д.9",,"р.п. Майский, ул. Камчатская д.9",270401001,27,27,розн. продажа АП,АП,ХБ 001295 ,МСХ,14.08.2012,14.08.2013,2611,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Лера""",2703066915,270301001,"г. Комсомольск-на-Амуре, ул. Орехова д.53",,"г. Комсомольск-на-Амуре, ул. Орехова д.53",270301001,27,27,розн. продажа АП,АП,ХБ  001296  ,МСХ,14.08.2012,14.08.2013,2612,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Компания Серебряный шар""",2721113847,272101001,"г. Хабаровск, ул.Ленинградская д.28",,"г. Хабаровск, ул.Ленинградская д.28",272101001,27,27,розн. продажа АП,АП,ХБ 001297,МСХ,14.08.2012,14.08.2015,2613,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Лукрум""",2723126009,272301001,"г. Хабаровск, ул. Королева д.9",igshvets@mail.ru,"г. Хабаровск, ул. Краснореченская д.76",272301001,27,27,розн. продажа АП,АП,ХБ 000929,МСХ,13.03.2012,13.03.2013,2333,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Продукты""",2703057170,270301001,"г. Комсомольск-на-Амуре, пр-т Ленина д.2",,"г. Комсомольск-на-Амуре, пр-т Ленина д.2",270301001,27,27,розн. продажа АП,АП,ХБ 001298,МСХ,14.08.2012,14.08.2013,2614,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Подземстрой""",2721921072,272101001,"г. Хабаровск, ул. Волочаевская д.123",,"г. Хабаровск, Амурский б-р д.37",272101001,27,27,розн. продажа АП,АП,ХБ  001299,МСХ,28.08.2012,28.08.2017,1417,продление,14.08.2012,личное заявление организации,
"ООО ""Абрис""",2703025482,270301001,"г. Комсомольск-на-Амуре, мкр. Дружба, д.7",abris-farm@mail.ru,"г. Комсомольск-на-Амуре, пр-т Первостроителей д.15-2",270301001,27,27,розн. продажа АП,АП,ХБ 001158,МСХ,6/19/2012,6/19/2015,1313,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Каро""",2720046972,272001001,"Хабаровский р-н, с. Бычиха, ул. Новая д.13, пом. 1 (1-8)",," с. Бычиха, ул. Новая д.13, пом. 1 (1-8)",272001001,27,27,розн. продажа АП,АП,ХБ 001300,МСХ,14.08.2012,8/14/2013,2615,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Виктория""",2713013888,271301001,"Р-н им. Лазо, п. Сита, пер. Базарный д.5",,"п. Сита, пер. Базарный д.5: п. Дурмин, ул. Октябоьская д.12а",271301001,27,27,розн. продажа АП,АП,ХБ 001301,МСХ,8/14/2012,8/14/2017,2616,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Бизнесцентр""",2703017072,270301001,"г. Комсомольск-на-Амуре, ул. Дзержинского д.3",bc.@etk-com.ru,"г. Комсомольск-на-Амуре, ул. Дзержинского д.3",270301001,27,27,розн. продажа АП,АП,ХБ 001302,МСХ,14.08.2012,8/14/2013,905,продление,14.08.2012,личное заявление организации,
"ООО ""Алюр""",2721069958,272101001,"г. Хабаровск, Амурский б-р д.10",,"г. Хабаровск, Амурский б-р д.10",272101001,27,27,розн. продажа АП,АП,ХБ 001303,МСХ,13.09.2012,13.09.2013,921,продление,14.08.2012,личное заявление организации,
"ОАО ""Железнодорожная торговая компания""",7708639622,770801001,"г. Москва, ул. Новорязановскя д.12",ZHTK_Serbienkolv@com.dvgd.ru,"г. Хабаровск, Амурский б-р д.63; пер. Ленинградский д.13;ул. Школьная д.16",272402001,77,27,розн. продажа АП,АП,ХБ 001304,МСХ,11.09.2012,11.09.2015,1433,продление,14.08.2012,личное заявление организации,
"ООО ""Лика""",2713016938,271301001,"Р-н им. Лазо, р.п. Хор, ул. Кирова д.18",,"Р-н им. Лазо, р.п. Хор, ул. Кирова д.18",271301001,27,27,розн. продажа АП,АП,ХБ 001305,МСХ,14.08.2012,14.08.2013,2414,продление,14.08.2012,личное заявление организации,
"ООО ""Динара""",2724147107,272401001,"г. Хабаровск, Гаражный проезд д.7",regina.buhenko@mail.ru,"г. Хабаровск, ул. Тихоокеанская д.43",272401001,27,27,розн. продажа АП,АП,ХБ 001306,МСХ,14.08.2012,14.08.2017,2407,продление,14.08.2012,личное заявление организации,
"ООО ""Новый ЭВР""",2723077305,272301001,"г. Хабаровск, ул. Суворова д.51",,"г. Хабаровск, ул. Эстафетная д.38",272301001,27,27,розн. продажа АП,АП,ХБ 000121,МСХ,14.06.2011,6/14/2014,310,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Мир пива""",2721191891,272101001,"г. Хабаровск, ул. Шеронова д.115-18",,"г. Хабаровск, ш. Восточное д.41",272101001,27,27,розн. продажа АП,АП,ХБ 001307,МСХ,14.08.2012,8/14/2013,2617,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Ронис""",2720026750,272301001,"г. Хабаровск, ул. Шеронова д.7",,"г. Хабаровск, ул. Станционная д.19",272301001,27,27,розн. продажа АП,АП,ХБ 000902,МСХ,14.02.2012,2/14/2017,1194,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Турмалин""",2723139294,272301001,"г. Хабаровск, ул. Индустриальная д.14",fedulova-O@samberi.com,"г. Хабароаск, ул. Воронежская д.31",272301001,27,27,розн. продажа АП,АП,ХБ 001308,МСХ,14.08.2012,14.08.2015,2618,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Новоторг-ДВ""",2703066055,270301001,"г. Комсомольск-на-Амуре, пр-т Интернациональный д.30, пом. 1002",bmw@novotorg.ru,"г. Комсомольск-на-Амуре, ул. Осоавиахима д.11",270301001,27,27,розн. продажа АП,АП,ХБ 001245,МСХ,10.07.2012,7/10/2017,2595,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Бриг""",2721193867,272101001,"г. Хабаровск, ул. Фрунзе д.121-161",brig_khv@mail.ru,"г. Хабаровск, ул. Индустриальная д.3а",272101001,27,27,розн. продажа АП,АП,ХБ 001309,МСХ,14.08.2012,14.08.2014,2619,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Черная жемчужина""",2722106120,272201001,"г. Хабаровск, ул. Рабочий городок д.4б-1",chernayagemchugina_2011@mail.ru,"г. Хабаровск, ул. Рабочий городок д.4б-1",272201001,27,27,розн. продажа АП,АП,ХБ 001310,МСХ,14.08.2012,14.08.2013,2620,получение впервые,14.08.2012,личное заявление организации,
"ООО ""Позитив""",2722102012,272201001,"г. Хабаровск, ул. Серышева д.56",vinokurovat@rambler.ru,"г. Хабаровск, ул. Выборгская д.97",272201001,27,27,розн. продажа АП,АП,ХБ 001311,МСХ,14.08.2012,14.08.2013,2412,продление,14.08.2012,личное заявление организации,
"ООО ""Мария""",2725101137,272501001,"г. Хабаровск, ул. Тихоокеанская д.178-206",,"г. Хабаровск, ул. Тихоокеанская д.170",272501001,27,27,розн. продажа АП,АП,ХБ 001045,МСХ,28.04.2012,28.04.2017,2343,внесение доп. объекта,14.08.2012,личное заявление организации,
"ООО ""Даль Фуд""",2704021018,270401001,"г. Советская Гавань, ул. Ленина д.14-2",,"г. Советская Гавань, ул. Ленина д.14-2; ул. 15 погибших партизан д.42",270401001,27,27,розн. продажа АП,АП,ХБ 001312,МСХ,14.08.2012,14.08.2013,2406,продление,14.08.2012,личное заявление организации,
"ООО ""Торговая компания Микс Маркет""",2703057124,270301001,"г. Комсомольск-на-Амуре, ул. Орловская д.19, 34",redbred@bk.ru,"г. Комсомольск-на-Амуре, ул. Комсомольская д.71-7",270301001,27,27,розн. продажа АП,АП,ХБ 001314,МСХ,19.06.2012,19.06.2014,2582,изменение наименования организации,14.08.2012,личное заявление организации,
"ООО ""ВС-Торг""",2706020933,270601001,"г. Амурск, пр-т Комсомольский д.55",,"г. Амурск,  пр-т Комсомольский д.55; пр-т Строителей д.62",270601001,27,27,розн. продажа АП,АП,ХБ 001823,Минпищепром,16.12.2008,16.12.2013,1890,приостановка действия лиц.,21.08.2012,нарушения лицензионных требований,
"ООО ""Амрита""",2703034920,270301001,"г. Комсомольск-на-Амуре, ул. Почтовая д.13",,"г. Комсомольск-на-Амуре, ул. Почтовая д.13",270301001,27,27,розн. продажа АП,АП,ХБ 001093,МСХ,16.06.2012,16.06.2013,1996,возобновление действия лиц.,31.08.2012,устранены нарушения лицензионных требований,
"ООО ""Аленушка""",2711006807,271101001,"г. Вяземский, ул. Орджоникидзе д.85",,"г. Вяземский, ул. Орджоникидзе д.85",271101001,27,27,розн. продажа АП,АП,ХБ 0013,МСХ,2/14/2012,2/14/2013,90,исключение объекта,8/31/2012,личное заявление организации,
