"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по  МО города Усолье-Сибирское",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,"Общество с ограниченной ответственностью «Кедр»
ИНН 3819015598
","МИ ФНС № 8 по Иркутской области и УОБАО Юр.  адрес: г.Усолье-Сибирское ул. Луначарского, 37-49
","Сер. А 201152 рег. № 1 от 13.03.2006 г. с 14.03.2006 г. по 13.03.2011 г. 
переоформлена 26.08.2008 г.
Сер. А 221858 рег. № 100 с 26.08.2008 г. по 13.03.2011 г.
переоформлена 18.09.2009 г.
Сер. А 221892 рег. № 137 с 18.09.2009 г. по 13.03.2011 г.                                                                                                                                                                                                                                                         продлена 09.03.2011 г.                                                                                                                                                                                                                                                                                                     Сер. А 221942 рег. № 137 от 18.09.2009 г. с 14.03.2011 г. по 13.03.2012 г.                                                                    ","1. пр. Кр. партизан, 20-83,  магазин «Кедр».
2. ул. Интернациональная, 83, магазин «Кедр».
3. Усольский р-он, п. Тельма, ул. Горького, 9, магазин «Кедр».
",,,14.03.2012г.,,
2,"Общество с ограниченной ответственностью
«Арктика»
ИНН 3819013343
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г.Усолье-Сибирское
пр.Кр.партизан, 29«Б»
","Сер. А 171958 рег. № 03 от 05.04.2006 г. с 06.04.2006 г. по 05.04.2011 г.
","пр. Кр. партизан, 29«Б» - супермаркет «Арктика»",,,28.03.2011 г.,,
3,"Общество с ограниченной ответственностью 
«Марло»
ИНН 3819015580

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Республики, 15-5
","Сер. А 171959 рег. № 04 от 25.04.2006 г. 
с 26.04.2006 г. по 25.04.2011 г. 
продлена 12.04.2011 г.
с 26.04.2011 г. по 25.04.2012 г.
","1. пр. Комсомольский, 81 - магазин «25 часов».
2.  ул. К.Либкнехта, 59 – маг. «Продукты».
",,,26.04.2012г.,,
4,"Общество с ограниченной ответственностью «Камелия»
ИНН 3801080500
","ИНФС г. Ангарска по Иркутской обл. Юр. адрес:
г. Ангарск , кв-л 125-й, строение 1/13, офис 6
","Сер. А 171978 от 11.05.2006 г. рег. № 06 
с 11.05.2006 г. по 10.05.2011 г.
переоформлена 18.08.2009 г.              
Сер. А 221891 рег. № 136 с 18.08.2009 г. по 10.05.2011 г.
переоформлена 15.12.2010 г.              
Сер. А 221933 рег. № 178 с 15.12.2010 г. по 10.05.2011 г.
","1. ул. Ленина, 83, вино-водочный отдел в ТЦ «Восход».
2. пр. Комсомольский, 81, вино-водочный отдел в ТЦ «Торговый ряд».
3. пр. Кр. партизан, 16, вино-водочный отдел в ТЦ «Снежинка». 
",,,12.05.2011 г.,,
5,"Общество с ограниченной ответственностью 
«Березка» 
ИНН 3819015502
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес: г. Усолье-Сибирское, ул. Чайковского, 35
","Сер. А 171965 рег. № 07 от 15.05.2006 г. с 15.05.2006 г. по 14.05.2011 г.
продлена 11.05.2011 г.
с 15.05.2011 г. по 14.05.2012 г.
","ул. Менделеева, 12 – кафетерий «Березка»",,,15.05.2012г.,,
6,"Общество с ограниченной ответственностью «Фортуна»
ИНН 3801078692
","ИФНС по г. Ангарску Иркутской области Юр. адрес: г. Ангарск, мкр. 22-й, 13-70
","Сер. А 221766 рег. № 08 от 13.06.2006 г. с 13.06.2006 г. по 12.06.2011 г.
продлена 01.06.2011 г.
с 13.06.2011 г. по 12.06.2013 г.
","1. ул. К.Цеткин, 5 – кафе «Фортуна».
2. пр. Космонавтов, 24 - магазин «Вино-водка».
",,,,,
7,"Общество с ограниченной ответственностью 
«Рита»
ИНН 3819016898
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:            г. Усолье-Сибирское, ул. Трактовая, 1
","Сер. А 221768 рег. № 9 от 13.06.2009 г. с 13.06.2006 г. по 12.06.2011 г.
переоформлена 13.01.2007 г.              
Сер. А 221807 рег. № 49 с 13.06.2006 г. по 12.06.2011 г.
переоформлена 11.10.2010 г.              
Сер. А 221925 рег. № 169 с 11.10.2010 г. по 12.06.2011 г.
продлена 03.06.2011 г.
с 13.06.2011 г. по 12.06.2012 г.
переоформлена  27.02.2012 г.
Сер. А 221983 рег. № 219
с 27.02.2012 г. по 12.06.2012 г.
","ул. Орджоникидзе, 31 - вино-водочный отдел в ТЦ «Элегант»,

",,,13.06.2012г.,,
8,"Общество с ограниченной ответственностью «Пассаж»
ИНН 3819015809
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, ул. Луначарского, 19 «б», 85
","Сер. А 221767 рег. № 10 от 13.06.2006 г. с 13.06.2006 г. по 12.06.2011 г.
переоформлена 01.03.2007 г.
Сер. А 221819 рег. № 61 с 13.06.2006 г. по 12.06.2011 г.
продлена 24.05.2011 г.
с 13.06.2011 г. по 12.06.2012 г.
",Ленинский пр-т ост-ка «Хлебозавод» - магазин «Пассаж»,"19.09.2011 г.
на 1 месяц",20.10.2011г.,13.06.2012г.,,
9,"Общество с ограниченной ответственностью
ООО «Компания «ПродОптСервис»
ИНН 3819015076
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Молотовая, 78
","Сер А 221769 рег. № 11 от 20.06.2006 г. с 20.06.2006 г. по 19.06.2011 г.
переоформлена 07.03.2007 г.
Сер. А 221822 рег. № 64 с 07.03.2007 г. по 19.06.2011 г.
переоформлена 18.02.2009 г. 
Сер. А 221873 рег. № 119 с 18.02.2009 г. по 19.06.2011 г.
переоформлена 06.03.2009 г.
Сер. А 221875 рег. № 121 с 06.03.2009 г. по 19.06.2011 г. 
","ул. Молотовая, 78, магазин «Нива».
вино-водочный отдел
",,,21.06.2011 г.,,
