"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Эхирит-Булагатский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"Общество с ограниченной ответственностью ""Спектр"",  8506007492",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176285 от 28.10.11г. До 10.01.12г.,"кафе ""Метелица"" -Иркутская область, Эхирит-Булагатский район, 68 км автотрассы Иркутск-Качуг",,,11.01.2012 г.,,,
2,"Общество с ограниченной ответственностью ""Ангарская розничная сеть"", ИНН 3801085001", ИФНС России  по городу Ангарску Иркутской области,.А 176600 от 27.05.2011г. до 20.12.2011г.,"павильон № 60 ТЦ ""Ордынский""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Буденного, № 8; специализированный отдел в  кафе ""Сафари""ИП Брагиной С.А.-Эхирит-Булагатский район,  п. Усть-Ордынский, ул. Балтахинова, № 23 ""а"": специализированный отдел в магазине ИП Коваленковой Н.М. - Эхирит-Булагатский район, с. Харат, ул. Ленина, № 3..",,,21.12.2011 г. ,,Администрация Ангарского МО,
3,"Общество с ограниченной ответственностью ""Сандра"",  8506009524",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176311 от 26.07.2012г. до 20.12.2012г. вместо А 176289 от 27.01.2012 до 20.12.2012 (переоформление),"магазин - Эхирит-Булагатский район, п. Усть-Ордынский, пер. Коммунальный, 7 А;                   магазин - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Мира, 30 А;                                  магазин ""Ветеран"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул.Ербанова, 2;                           магазин - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Каландарашвили, 14 В.",,,,,,
4,"Общество с ограниченной ответственностью ""Мидас"",  8506010960",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 244951 от 12.02.2009г. до 13.04.12г.  ,"магазин ""Микс"" - Эхирит-Булагатский район, с.Гаханы, ул. Горького, № 23; магазин ""Ромашка""- с.Гаханы, ул. Горького, № 18; магазин ""Хлеб""- с. Гаханы, ул. Октябрьская, № 1",,,25.01.2012г. ,,,
5,"Общество с ограниченной ответственностью ""Оптима"",  3849018250",Межрайоннная ИФНС № 16 по Иркутской области,А 176290 от 30.01.2012 г.до 25.01.2015 г.,"магазин ""Хлеб"" - Иркутская область, Эхирит-Булагатский район, с. Гаханы",,,,,,
6,"Общество с ограниченной ответственностью ""Спектр"",  8506007492",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176291 от 31.01.2012г. до 30.01.13г. ,"кафе ""Метелица"" -Иркутская область, Эхирит-Булагатский район, 68 км автотрассы Иркутск-Качуг",,,,,,
7,"Общество с ограниченной ответственностью ""Арго"",  8506004525",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176282 от 22.09.2011г. До 02.02.2012г.,"магазин ""Арго""- Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, 27",,,02.02.2012г. ,,,
8,"Усть-Ордынское поселковое потребительское общество,   8506004861       ",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176032 от 21.02.2011г до 20.02.2012г.,"магазин № 2-669001,Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Быкова, № 2; магазин № 3- п. Усть-Ордынский, ул. Ленина, № 13; магазин № 5- п. Усть-Ордынский, ул. Балтахинова, № 20 ""в""; торговый павильон- Эхирит-Булагатский район, с. Зады, ул. Молодежная, № 15-2; торговый павильон-669518, Эхирит-Булагатский район, с. Большая Кура, ул. Центральная, №42; торговый павильон- 669520, Эхирит-Булагатский район, с. Ишины, ул. Центральная, № 10; торговый павильон- 669518, Эхирит-Булагатский район, с. Олой, ул. Молодежная, № 31; торговый павильон- 669518, Эхирит-Булагатский район, с. Зун -Булук, ул. Школьная, № 10; торговый павильон- 669518, Эхирит-Булагатский район, с. Барун- Булук, ул. Верхняя, № 5; торговый павильон- 669520, Эхирит-Булагатский район, с. Тотохон, ул. Северная, № 1; торговый павильон- 669518, Эхирит-Булагатский район, с. Гушиты, ул. Клубная, № 2; торговый павильон- 669518, Эхирит-Булагатский район, с. Верхняя Идыга, ул. Молодежная, № 9-2.",,,21.02.2012г.,,,
9,"Общество с ограниченной ответственностью ""Забанова"",  8506010368",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176292 от 21.02.2012 г. до 25.08.2012 г. вместо А 176281,"магазин ""Новый""- Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. 50 лет Октября № 42""б""",,,,,,
