"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,ООО,Св-во сер.38 №000195408,А 245027,г.Железногорск-Илимский,,,,,,
,"""Радуга""",выдано МИ ФНС России №11 по,с 30.12.2010 г.,"6""а"" квартал, д.9, магазин ""Радуга"";",,,,,,
,ИНН 3834010682,Ирк. обл. и УО БАО от 22.10.05 г.,по 30.12.2013 г.,,,,,,,
2,ООО СОЦ ,Св-во сер.38 №000194298,А 245122,"г.Железногорск-Илимский,",,,,,,
,"""КОНТАКТ""",выдано ИМНС России по,с 04.05.2012 г.,"ул.Иващенко, д.11, магазин ""Новинка""",,,,,,
,ИНН 3834001864,Нижнеилимскому р-ну от 15.12.2002 г.,по 04.05.2013 г.,,,,,,,
3,ООО,Св-во сер.38 №002398900,А 245174,"г.Железногорск-Илимский,",,,,,,
,"""Метро""",выдано МИ ФНС России №11 по,с 07 06.2011 г.,"8 квартал, д.19, бар",,,с 07.06.2012 г.,,,
,ИНН 3834011446,Ирк. обл. и УО БАО от 06.03.06 г.,по 07.06.2012 г.,,,,,,,
4,ООО,Св-во сер 38 №002399313,А 245210,"г.Железногорск-Илимский, 6 кв-л, д.5, магазин ""Алиса"";",,,,,,
,"""Сеть магазинов Прок""",выдано МИ ФНС России №11 по,с 30.07.2012 г.,"1 квартал, д.86, гастроном ""Новый""; ул.Янгеля, д.18""а"",",,,,,,
,ИНН 3834010604,Ирк. обл. и УО БАО от 23.05.06 г.,по 06.06.2016 г.,"салон-магазин; 7 квартал, д.14, магазин ""Эконом"";",,,,,,
,,,переоф. А 245191," 1 квартал, д.50, отдел в прод. магазине № 9",,,,,,
5,ООО,Св-во сер.38 №000195370,А 245200,"г.Железногорск-Илимский, 10 квартал, д.1, мини-маркет",,,,,,
,"""Олимп""",выдано МИ ФНС России №11 по,с 28.05.2012 г,"""Северный""; 6 квартал, д.7, маг.""Визит""; 7 квартал, д.9,",,,с 26.06.2012 г.,,,
,ИНН 3834010611,Ирк. обл. и УО БАО от 11.10.05 г.,по 26.06.2012 г.,"отдел в супермаркете ""Подсолнух""; 8 квартал, д.6,",,,,,,
,,,переоф. А 245143,"пом.78, магазин ""Янта""",,,,,,
6,ООО,Св-во сер.38 №000195410,А 245145,г.Железногорск-Илимский,,,,,,
,"""Талыш""",выдано МИ ФНС России №11 по,с 03.7.2011 г.,"6 квартал, д.22, магазин ""Талыш""; 1 квартал, д.84, ",,,,,,
,ИНН 3834010675,Ирк. обл. и УО БАО от 22.10.05 г.,по 03.07.2012 г.,шашлычная,,,,,,
7,ООО,Св-во сер.38 №002398810,А 245051,г.Железногорск-Илимский,,,,,,
,"""Владимир""",выдано МИ ФНС России №11 по,с 18.07.2011 г.,"6 ""а"" квартал, д.3, магазин ""Ручеек"";",,,,,,
,ИНН 3834011492,Ирк. обл. и УО БАО от 16.03.06 г.,по 18.07.2012 г.,"п.Коршуновский, ул.Ленина, д.6, кв.2, магазин.",,,,,,
8,ООО,Св-во сер.38 №002398556,А 245173,г.Железногорск-Илимский,,,,,,
,"""АРАКС""",выдано МИ ФНС России №11 по,с 19.07.2011 г.,"2 квартал, д.39, ресторан ""Руслан""",,,19.07.2012 г.,,,
,ИНН 3834011100,Ирк. обл. и УО БАО от 17.01.06 г.,по 19.07.2012 г.,,,,,,,
9,ООО,Св-во сер.38 №002398894,А 245057,г.Железногорск-Илимский,,,,,,
,"""Деметра""",выдано МИ ФНС России №11 по,с 25.07.2011 г.,"8 квартал, д.26, магазин ""Деметра""",,,с 28.06.2012 г.,,,
,ИНН 3834011439,Ирк. обл. и УО БАО от 5.03.06 г.,по 25.07.2012 г.,,,,,,,
10,ООО,Св-во сер.38 №002399517,А 245196,г.Железногорск-Илимский,,,,,,
,"""Марина""",выдано МИ ФНС России №11 по,с 26.04.2012 г.,"2 квартал, д.14, магазин ""Баргузин"";  3 квартал, д.29,",,,,,,
,ИНН 3834012009,Ирк. обл. и УО БАО от 23.06.06 г.,по 27.07.2012 г.,"№ 34, отдел в продовольственном магазине ""Кристина""",,,,,,
,,,переоф. А 245147,,,,,,,
11,ООО,Св-во сер.38 №002398567,А 245204,"г.Железногорск-Илимский,",,,,,,
,"""Дионис""",выдано МИ ФНС России №11 по,с 06.0.2012 г.,"3 квартал, район жилого дома № 31, салон-магазин",,,,,,
,ИНН 3834011118,Ирк. обл. и УО БАО от 18.01 06 г.,по 28.07.2013 г.,"прод. товаров ""Дионис-2"";  ул.Иващенко, д.26""а"",",,,,,,
,,,переоф. А 245187,"магазин ""Дионис-3""",,,,,,
12,ООО,Св-во сер.38 №002399686,А 245066,г.Железногорск-Илимский,,,,,,
,"""Саяны""",выдано МИ ФНС России №11 по,с 24.08.2011 г.,"7 квартал, д.19, магазин ""Винея""",,,,,,
,ИНН 3834012136,Ирк. обл. и УО БАО от 27.07.06 г.,по 24.08.2012 г.,,,,,,,
13,ООО,Св-во сер.38 №002399216,А 245193,г.Железногорск-Илимский,,,,,,
,"""Стимул""",выдано МИ ФНС России №11 по ,с 16.04.2012 г.,"1 квартал, д.6""а"", магазин ""Стимул - 1"".",с 01.03.2012 г.,с 23.04.2012 г.,,,,
,ИНН 3834011710,Ирк. обл. и УО БАО от 04.05.2006 г.,по 01.11.2012 г.,,по 01.05.2012 г.,,,,,
,,,переоф. А 245183,,,,,,,
14,ООО,Св-во сер.38 №002399292,А 245206,"г.Железногорск-Илимский, 1 квартал, д.41, магазин",,,,,,
,"""Зобков""",выдано  МИ ФНС России №11 по,с 18.07.2012 г.,"""Универсал""; 8 квартал, общ.№ 4, магазин ""Продукты"";",,,,,,
,ИНН 3834011774,Ирк. обл. и УО БАО от 17.05.06 г.,по 25.12.2013 г.,"м/р 13, ул.Микрорайонная, д.2, магазин ""Попутный"";",,,,,,
,,,переоф. А 245128,,,,,,,
15,ООО,Св-во сер.38 №002398808,А 245184,г.Железногорск-Илимский,,,,,,
,"""Оникс""",выдано МИ ФНС России №11 по,с 16.11.2011 г.,"1 квартал, д.88, отдел в магазине ""Оникс""; м/р 13,",,,с 08.06.2012 г.,,,
,ИНН 3834011460,Ирк. обл. и УО БАО от 14.03.2006 г.,08.06.2012 г.,"ул.Металлургов, д.4, отдел в магазине ""Хуторок""",,,,,,
16,ООО,Св-во сер. 38 №000194455,А 245095,"г.Железногорск-Илимский,",,,,,,
,"""СИБИРЬ""",выдано МИ ФНС России №11 по,с 18.10.2007 г.,"1 квартал, д.33, отдел в магазине ""Русь""",,,,,,
,ИНН 3834011319,Ирк. обл. и УО БАО от 22.01.06 г.,по 18.10.2012 г.,,,,,,,
17,ООО,Св-во сер.38 №002423612,А 245154,"г.Железногорск-Илимский, 7 квартал. д.20,",,,,,,
,"""Энэй""",выдано МИ ФНС России №11 по,с 22.07.2010 г.,"бар в кафе-баре ""Анастасия""",,,,,,
,ИНН 3834013066,Ирк. обл. и УО БАО от 16.08.07 г.,по 14.12.2012 г.,,,,,,,
