"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
1,2,3,4,5,6,7,8,9,10
1,ООО «ФудМастер» ИНН 3811097912,"664012, г. Иркутск, улица Байкальская, 107",А 232981 № 34 от 20.07.2007 г. 5 лет с 20.07.2007 г. до 20.07.2012,"г. Ангарск, микрорайон 12 «а», дом 1, кинотеатр «Родина», 3 этаж, бар",,,7/20/2012,,
2,ООО «Империал» ИНН 380109001," 665813, г. Ангарск, улица Ворошилова, 29, общежитие 9",А 232990 № 45 от 07.09.2007 г. 5 лет с 07.09.2007 г. до 07.09.2012,"г. Ангарск, улица Ворошилова, 29, общежитие 9, магазин «Продукты», отдел «Вино-водка» ",,,,,
3,ООО «Ангарская горка»               ИНН 3801052221," 665824, г. Ангарск, а/я 5091, микрорайон 15-43-7",01.10.2007 г. продлено действие лицензии до 08.10.2012 г. А 232572 № 86 от 08.10.2004 г. 3 года ,"г. Ангарск, 12 километр Савватеевского тракта, база отдыха «Ангарская горка», кафе",,,,,
4,ООО «Торговая компания «Галс» ИНН 3801087792," 665808, г. Ангарск, микрорайон 29, дом 7",А 167170 № 56 от 25.10.2007 г. 5 лет с 25.10.2007 г. до 25.10.2012,"г. Ангарск, микрорайон 29, дом 7 «а», бар «Инвино»",,,,,
5,ООО «Биос»          ИНН 3801051676," 665832, г. Ангарск, микрорайон 6, дом 13/13а-134",А 232664 № 32 от 05.04.2005 г. 3 года с 05.04.2005 г.         29.02.2008 г. срок действия лицензии продлен до 05.04.2013 г.,"г. Ангарск, микрорайон 6, дом 13/13а, магазин «Биос» ",,,,,
6,ООО «Эльф»           ИНН 3801091742," 665826, г. Ангарск, микрорайон 12, дом 20, помещение 1 «а»",А 167209 № 13 от 27.03.2008 г. 5 лет с 27.03.2008 г. до 27.03.2013,"г. Ангарск, микрорайон 12, дом 20, помещение 1 «а», магазин «Гренада»",,,,,
7,ООО «38 Регион Байкал»            ИНН 3801095955," 665835, г. Ангарск, микрорайон 29, дом 30",А 167227 № 31 от 16.07.2008 г. 5 лет с 16.07.2008 г. до 16.07.2013,"г. Ангарск, микрорайон 29, дом 30, комплекс отдыха  «Зодиак»: 1) ресторан; 2) бильярдная: бар; 3) стрип-зал: бар; 4) боулинг: бар; 5) диско-зал: бар; 6) «зеленый»: бар",,,,,
8,ООО «ТАЛЕКС» ИНН 3801097984," 665821, г. Ангарск, квартал 100, дом 3, помещение 9",А 167244 № 47 от 29.09.2008 г. 5 лет с 29.09.2008 г. до 29.09.2013,"г. Ангарск, квартал 100, дом 3, помещение 9, магазин «Сотый» ",,,,,
9,ООО «Финита» ИНН 3801056610 ," 665825, г. Ангарск, улица Чайковского, магазин «Универмаг»",лицензия продлена 28.10.2008 г. сроком до 28.10.2013            А 232453 № 59 от 28.10.2003 ,"г. Ангарск, улица Чайковского, магазин «Универмаг», отдел «Продукты»",,,,,
10,ЗАО «Сандал» ИНН 3801047503," 665806, г. Ангарск, квартал 120, дом 27, строение 27/6",А 167253 № 59 от 10.11.2008 г. срок действия до 19.09.2013 ,"г. Ангарск, квартал 106, дом 4, кафе «Араусана» ",,,,,
11,ООО «Созвездие» ИНН 3801096420," 665824, г. Ангарск, квартал 207/210, дом 10, помещение 81",А 167257 № 63 от 14.11.2008 г. 5 лет с 14.11.2008 г. до 14.11.2013,"1) г. Ангарск, квартал 177, дом 15, помещение 121, магазин «Созвездие» 2) г. Ангарск, квартал 207/210, дом 10, помещение 81, магазин «Продукты» 3) Ангарский район, с. Савватеевка, улица Школьная, 45, магазин «Диана» ",,,,,
12,ООО «Домострой» ИНН 3801097920," 665826, г. Ангарск, микрорайон 14, дом 1, офис 204",А 167270 № 79 от 29.12.2008 г. 5 лет с 29.12.2008 г. до 29.12.2013,"г. Ангарск, улица Декабристов, 21, магазин «Вояж», отдел «Вино-водка» ",,,,,
13,ООО «ЛМ»          ИНН 3801098473," 665852, г. Ангарск, микрорайон Китой, на пересечении улиц 1-Комсомольская и Коммунистическая",А 167271 № 80 от 30.12.2008 г. 5 лет с 30.12.2008 до 30.12.2013,"г. Ангарск, микрорайон Китой, на пересечении улиц 1-Комсомольская и Коммунистическая, павильон Продукты"" ",,,,,
14,ООО «ЛеТо»        ИНН 3801090160," 665816, г. Ангарск, квартал 177, дом 7",А 167275 № 3 от 05.02.2009 г. 5 лет    с 02.08.2007 до 02.08.2012,"1) квартал 177, дом 7, магазин «Галант», отдел «Вино-водка»  2) микрорайон 22, на пересечении улица Коминтерна и улица Социалистическая, павильон № 22 (запрет более 15 %)",,,,,
15,ООО «АЛКОГРАД» ИНН 3801096772," 665830, г. Ангарск, квартал 125, строение 3, ТЦ «Торгсервис», зал 1, павильон 14",А 167290 № 23 от 27.04.2009 г. 5 лет с 27.04.2009 до 27.04.2014,"1) квартал 125, строение 3, ТЦ «Торгсервис», зал 1, павильон 14, отдел «Вино-водка»                                                                                   2) квартал 125, строение 3, ТЦ «Торгсервис», зал 1, павильон 36, отдел «Вино-водка»",,,,,
16,ООО «Алана» ИНН 3801072482," 665825, г. Ангарск, квартал 85, дом 91, помещение 4",А 167294 № 28 от 07.05.2009 г. 5 лет с 07.05.2009 до 07.05.2014,"Квартал 85, дом 91, помещение 3, магазин «Минимаркет»",,,,,
17,ООО «Рембыттехника» ИНН 3801065541 ," 665830, г. Ангарск, улица Горького, 2 «в»",19.05.2009 г. продлен срок действия лицензии на 5 лет до  19.05.2014 г.            А 167281 № 11 от 10.03.2009 5 лет с 19.05.2004 г.,"1) г. Ангарск, улица Горького, 2 «в», магазин «Продукты» 2) г. Ангарск, микрорайон 6, дом 12, магазин «Продукты» ",,,,,
18,ООО «Фирма «Круг»               ИНН 380105830," 665816, г. Ангарск, улица Саянская, 3а-22",28.05.2009 г. продлен срок действия лицензии на 5 лет до 28.05.2014    А 232527 № 41 от 28.05.2004 г. 5 лет,"1) г. Ангарск, улица Энгельса, бар «Театральный» в ДК «Современник» 2) г. Ангарск, улица Энгельса, бар «Солнышко» в ДК «Современник» 3) г. Ангарск, улица Энгельса, бар «КТЗ» в ДК «Современник»",,,,,
19,ООО «Апельсин» ИНН 3801102874," 665831, г. Ангарск, квартал 123, строение 10",А 167296 № 31 от 28.05.2009 г. 5 лет с 28.05.2009 г. до 28.05.2014,"г. Ангарск, квартал 123, строение 10, гипермаркет «Апельсин»",,,,,
20,ООО «Маяк» ,"664081, г. Иркутск, улица Лыткина, 66, офис 6",зарегистрирована в Реестре на территории АМО № 68 от 21.06.2012 АН00545Пр18 от 04.05.2012 38 МЕ 003983 с 28.11.2008 г. по 27.11.2013 ,"1) г. Ангарск, микрорайон 8, дом 10, помещение 124, супермаркет «Слата» 2) г. Ангарск, микрорайон 33, дом 15, магазин ",,,,,Администрацией г. Иркутска
21,ООО «НЕДР» ИНН 3801101180," 665813, г. Ангарск, улица Файзулина, 5 «а» - 5",А 167302 № 39 от 23.06.2009 г. 5 лет с 23.06.2009 г. до 23.06.2014,"г. Ангарск, улица Иркутская, 20, магазин «Недр», отдел «Вино-водка»",,,,,
22,ООО «ПродЭконом» ИНН 3801102828," 665834, г. Ангарск, микрорайон 15-21, пом. 49",А 167305 № 42 от 29.06.2009 г. 5 лет с 29.06.2009 г. до 29.06.2014,"г. Ангарск, микрорайон 15, дом 21, универсам «Эконом-7» ",,,,,
23,ООО «Торговый дом «СибРосс» ИНН 3801058872," 665816, г. Ангарск, квартал 177-16 ",Продлен срок действия лицензии 16.07.2009 г. на 5 лет  до 16.07.2014  А 232554 № 67 от 16.07.2004 г. 5 лет,"1) г. Ангарск, квартал 177-16, отдел «Продукты» в магазине «Силуэт» 2) г. Ангарск, квартал 212/219, магазин «Любимый»  ",,,,,
24,ООО «Орфей» ИНН 3801100517," 665813, г. Ангарск, квартал 106, дом 1, кв. 20",А 176782 № 60 от 20.06.2012 5 лет с 31.07.2009  до 31.07.2014 (взамен: А 167313 № 52 от 31.07.2009)  ,"1) г. Ангарск, квартал 95, улица Горького, кафе «Звезда Востока» 2) г. Ангарск, улица Восточная, 14, магазин «Русь» 3) г. Ангарск, микрорайон 7, строение 8А, закусочная ""Шалаш""",,,,,
25,ООО «Сиб-Ойл-Сервис»             ИНН 3801047824," 665830, г. Ангарск, квартал 78, д. 3",10.08.2009 г. продлен срок действия лицензии на 5 лет до 10.08.2014 г. А 232557 № 70 от 10.08.2004 г.,"Ангарский район, 1860 км. автодороги Новосибирск-Иркутск, строение 3, закусочная «Сибирский трактир» (запрет более 15 %)",,,,,
26,ООО «Сибирская торговая компания»           ИНН 3801101831," 665813, г. Ангарск, квартал 84, дом 14, офис 1",А 167319 № 59 от 26.08.2009 г. 5 лет с 26.08.2009 г. до 26.08.2014,"г. Ангарск, квартал 86, дом 14,  магазин «У парка» ",,,,,
