тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о выдаче,ООО,КомТрейдЧита,"Читинская область, г. Чита, мкр. Северный, 64",,7536081815,753601001,бар в игровом зале,г. Чита,г. Чита,"мкр. Северный, 64, корпус 9",791,,02-Jul-07,02-Jul-07,01-Jul-12,75 МЕ,000881,В,000900,,Прекращена,,,
о выдаче,ООО,Бизнес,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Заводская, д.9",1067524002215,7524012863,752401001,отдел в магазине,Читинский район,пгт. Атамановка,ул. Заводская 9,400,,01-Jul-11,01-Jul-11,01-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Либра,"Забайкальский край, г. Чита,  ул. Инструментальная, 4",1057536122907,7536065517,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Инструментальная, 4",318,,08-Jun-11,01-Jul-11,01-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,Пирамида Шерри,"Забайкальский край, г. Чита, ул. Столярова, д. 19",1067536020980,7536068839,753601001,"ресторан ""Сакура"" в гипермаркете ""Макси""",г. Чита,г. Чита,"Центральный район, ул. Шилова, 100, стр.2",0369,,16-May-12,02-Jul-11,02-Jul-12,75ме,002978,,,,Прекращена,,83022310389,Любин Андрей Владимирович
о переоформлении,ООО,Элис +,"Забайкальский край, г.Чита, ул. Ленина, 54",1047550016876,7536055935,753601001,отдел в магазине,Читинский район,"оз.Арахлей,","мкр-н Восточный, 71/а/03",332,,29-May-12,02-Jul-11,02-Jul-12,75ме,002994,,,,Прекращена,,,Семенова Ольга Георгиевна
о продлении,ООО,Приятель,"Забайкальский край, Читинский район, трасса Чита-Романовка, 27 км.",1067524006043,7524013218,752401001,отдел в закусочной,Читинский район,,"трасса Чита-Романовка, 27-28 км.",368,,23-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Кушнаренко,"Забайкальский край, г. Чита, ул. Богомягкова, 73-б",1057536116956,7536065080,753601001,отдел в магазине,г. Чита,г. Чита,"ул. I Первомайская, 5",339,,14-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ПК,Кедр,"Забайкальский край, г.Чита, ул.Амурская, 40 а , строение 2, помещение 2",,7536011159,753601001,"павильон ""Мираж""",г. Чита,г. Чита,"ул. Богомягкова, 97-а",371,,22-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Восточно-сибирская торговая компания,"Забайкальский край, г.Чита, ул. Курнатовского, 25",1027501159949,7535012304,753501001,магазин,г. Чита,г. Чита,"ул. Курнатовского, 25 ",0324,,09-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлен ии,ООО,Лира,"Забайкальский край, г. Петровск-Забайкальский,  ул. Локомотивная, 15",1067538004357,7531004158,753101001,"магазин ""Даурия""",г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Лесная, д. 2",390,,30-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Пирамида,"Забайкальский край, г. Чита, ул. Энтузиастов, д. 54",1027501152645,7537002703,753701001,павильон,г. Чита,г. Чита,"ул. Энергетиков, 1",317,,07-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,Золотой Телец,"Читинская область, г. Чита, ул. Амурская, д.103 А",1047550004358,7536054392,753601001,"организация общественного питания (кафе ""Хай Ха"")",г. Чита,г. Чита,"Центральный район, ул. Амурская, д. 103-А, пом. 1",792,,04-Dec-09,03-Jul-07,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Мега,"Забайкальский край, Агинский район, пгт. Агинское, ул. Юннатская, д. 8, кв.2",1068080021107,8001012821,752901001,"отдел в магазине ""Мега маркет""",Агинский район,пгт. Агинское,"ул. Базара Ринчино, д. 7",0407,,03-Jul-11,03-Jul-11,03-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Радуга,"Забайкальский край, Дульдургинский район, с. Таптанай, ул. Калинина, 85",,8002003107,800101001,магазин,Дульдургинский район,с. Таптанай,"ул. Калинина, 8",Г 963856,,03-Jul-06,03-Jul-06,03-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Восточный,"Забайкальский край, г. Чита, ул. Кирова, 4",1027501153591,7534001469,753401001,"магазин ""Восточный""",г. Чита,г. Чита,"ул. Кирова, д.4",348,,17-Jun-11,04-Jul-11,04-Jul-12,75ме,002287,вв,001158,,Прекращена,,,
о продлении,ООО,"Гастроном ""Крымский""","Забайкальский край, г. Чита,  ул.Крымская, д. 8",1057536113414,7536064619,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Крымская, 8, помещение 2",398,,01-Jul-11,04-Jul-11,04-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Софья,"Читинская область, Могочинский район, п. Амазар, ул. Вокзальная, 8",,7512004850,751201001,"магазин ""Софья""",Могочинский район,п. Амазар,"Железнодорожный район, ул. Вокзальная, 8",793,,06-Jul-07,06-Jul-07,05-Jul-12,75 МЕ,000886,В,000922,,Прекращена,,,
о продлении,ООО,Водолей,"Забайкальский край, Читинский район, с.Угдан, ул. Набережная, д. 23-б",1067524006516,7524013465,752401001,отдел в павильоне,Читинский район,с. Угдан,"ул. Набережная, д. 23-б",406,,04-Jul-11,05-Jul-11,05-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Закар,"Забайкальский край, г. Чита, ул. Новобульварная, д. 98",1027501150401,7534000320,753401001,магазин,г. Чита,г. Чита,"ул. Новобульварная, 98",340,,15-Jun-11,05-Jul-11,05-Jul-12,,,,,,прекращена,,,
