Табл. А.4.1. Описание запроса 5: общее описание*,,,,Табл. А.5.1.m. Описание ответа на запрос n.m: общее описание***,,
,,"Взаимодействие с  ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области""",,,,
№,Наименование поля,"Поле для заполнения
Потребителем данных*","Краткая инструкция
по заполнению",Наименование поля,"Поле для заполнения
Поставщиком данных***","Краткая инструкция
 по заполнению"
1.  ,Наименование запроса,"Сведения из санитарно-эпидемиологического заключения о соответствии зданий, строений, сооружений, помещений, оборудования и иного имущества, установленным требованиям","Скопируйте из таблицы
А.3. Перечень запросов.",Наименование запроса,"Сведения из санитарно-эпидемиологического заключения о соответствии зданий, строений, сооружений, помещений, оборудования и иного имущества, установленным требованиям","Скопируйте из таблицы
А.3. Перечень запросов."
2.  ,"Наименование органа (организации), направляющей запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства, -,"Наименование органа (организации), направляющей ответ на запрос о предоставлении документов и (или) информации","ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области""", -
3.  ,"Наименование органа (организации), в адрес которой направляется запрос о предоставлении документов и (или) информации","ФБУЗ ""Центр гигиены и эпидемиологии в Тамбовской области""", -,"Наименование органа (организации), в адрес которой направляется ответ на запрос о предоставлении документов и (или) информации",Управление по развитию промышленности и предпринимательства, -
4.  ,"Полное наименование государственной или муниципальной услуги, для предоставления которой необходимо предоставление документа и (или) информации",Выдача лицензий на розничную продажу алкогольной продукции, -,,,
5.,"Указание на положения нормативного правового акта, в котором установлено требование о предоставлении необходимого для предоставления услуги документа и (или) информации, и указание на реквизиты данного нормативного правового акта"," ст.19
 Федерального закона ""О государственном регулировании производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции и об ограничении потребления (распития) алкогольной продукции"" от 22.11.1995 № 171-ФЗ (в редакции от 21.07.2011)", -,,,
6.,Наименование запрашиваемого документа (совокупности сведений),Заключение специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,"Скопируйте из таблицы
А.3. Перечень запросов.",Наименование направляемого документа (совокупности сведений),Заключение специально уполномоченных органов о соответствии торговых и складских помещений организации санитарно-эпидемиологическим требованиям,"Скопируйте из таблицы
А.3. Перечень запросов."
7.,"Способы удостоверения лица, направившего запрос, и неизменности запроса",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе.","Способы удостоверения лица, направившего ответ на запрос, и неизменности ответа",ЭЦП,"Таким способом, например, может являться ЭЦП, логин-пароль в системе СМЭВ, собственноручная подпись на бумажном документе."
