№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
1,2,3,4,5,7,8,9,10,11,12,13,14
1,"Общество с ограниченной ответственностью ""5 Звёзд""",1.1076E+12,7604187940,"г.Ярославль, ул. Калинина, д. 1/165, кв. 78","1. г.Ярославль, пос. Творогово, 16-я линия",с 24.01.2011 г. по 24.01.2013 г.,"76202711/Л0011,",,,,,
,"(ООО ""5 Звёзд"")",,,,магазин,,"24.01.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Большие Полянки, д. 23, корп. 2",,,,,,,
,,,,,магазин,,,,,,,
2,"Общество с ограниченной ответственностью ""АБВ""",1.0876E+12,7604142868,"Российская Федерация, г.Ярославль, проезд Ушакова, д.1, кв.10.","1. г.Ярославль, пл. Подвойского, район Московского ж/д вокзала",с 17.12.2008 г. по 17.12.2013 г.,"76202708/Л0409,",,Предыдущее переоформление 16.11.2011 г.,,,
,"(ООО ""АБВ"")",,,,магазин,,"17.12.2008 г., ",,-2,,,
3,"Общество с ограниченной ответственностью Компания ""АВАНГАРД-КИНО 2""",1.0476E+12,7604065719,"Россия, 150062, г.Ярославль, пр. Машиностроителей, д.9","1. г.Ярославль,пр. Машиностроителей, д.9",с 23.09.2008 г. по 23.09.2013 г.,"76202708/Л0255,",,,,,
,"(ООО Компания ""Авангард-Кино 2"")",,,,кафе,,"23.09.2008 г., ",,,,,
4,"Общество с ограниченной ответственностью ""Августин""",1.0676E+12,7604091620,"г.Ярославль, ул.Свободы, д.22","1. г. Ярославль, ул.Свободы, д.22",с 07.07.2012 г. по 07.07.2013 г.,"76202712/Л0320,",,,,,
,"(ООО ""Августин"")",,,,бар,,"06.07.2012 г., ",,,,,
5,"Общество с ограниченной ответственностью ""Авеню""",1.0676E+12,7604095015,"г. Ярославль, ул. Б. Октябрьская, д.37/1","1. г. Ярославль, ул. Большая Октябрьская, д.37/1",с 27.08.2012 г. по 27.08.2017 г.,"76202712/Л0411,",,,,,
,"(ООО ""Авеню"")",,,,кафе,,"27.08.2012 г., ",,,,,
6,"Закрытое акционерное общество ""Авиатор""",1.09761E+12,7610084727,"Российская Федерация, Ярославская область, город Рыбинск, пр-кт Ленина, дом 148.","1. Ярославская область, г. Рыбинск, просп. Ленина, д.148",с 27.02.2012 г. по 27.02.2014 г.,"76202712/Л0086,",,,,,
,"(ЗАО ""Авиатор"")",,,,ресторан,,"27.02.2012 г., ",,,,,
7,"Общество с ограниченной ответственностью ""Авоська-два""",1.02774E+12,7724232030,"г. Москва, ул. Борисовские пруды, д. 14, корп. 4","1. Ярославская область, г. Переславль-Залесский, ул. Октябрьская, д. 35",с 01.03.2010 г. по 01.03.2015 г.,"76202710/Л0059,",,,,,
,"(ООО ""Авоська-два"")",,,,универсам,,"01.03.2010 г., ",,,,,
,,,,,"2. Ярославская область, г. Переславль-Залесский, ул. Менделеева, д. 25",,,,,,,
,,,,,универсам,,,,,,,
8,"Общество с ограниченной ответственностью ""Автодизель""",1.0776E+12,7604112133,"150035, Россия, г. Ярославль, ул. Доронина, д. 27 ""а"", кв. 2","1. г. Ярославль, ул. Ньютона, у дома 65",с 31.10.2007 г. по 31.10.2012 г.,"76202707/Л0100,",,,,,
,"(ООО ""Автодизель"")",,,,кафе,,"31.10.2007 г., ",,,,,
9,"Открытое акционерное общество ""Автодизель"" (Ярославский моторный завод)",1.0276E+12,7601000640,"Россия, г.Ярославль, проспект Октября, д.75","1. Ярославская область,Тутаевский район, Пансионат ""Лесное""",с 09.11.2011 г. по 09.11.2012 г.,"76202711/Л0665,",,,,,
,"(ОАО ""Автодизель"" (ЯМЗ))",,,,столовая,,"09.11.2011 г., ",,,,,
10,"Общество с ограниченной ответственностью ""Автодом""",1.06761E+12,7612036655,"Ярославская область, г.Углич, ул.Победы, д.17а","1. Ярославская область, г.Углич, ул.Победы, д.17а",с 20.09.2011 г. по 20.09.2014 г.,"76202711/Л0562,",,Предыдущее переоформление 28.04.2012 г.,,,
,"(ООО ""Автодом"")",,,,магазин,,"20.09.2011 г., ",,(4) -код 4,,,
,,,,,"2. Ярославская область, г.Углич, Ярославское шоссе, д.2",,,,,,,
,,,,,магазин,,,,,,,
11,"Общество с ограниченной ответственностью ""Автоторговый центр ОТ ЯРНИКОЙЛА""",1.0276E+12,7607021766,"Россия, г.Ярославль, Московский проспект, д.117","1. г.Ярославль, Московский просп., д. 117",с 10.11.2011 г. по 10.11.2013 г.,"76202711/Л0667,",,,,,
,"(ООО ""Автоторговый центр ОТ ЯРНИКОЙЛА"")",,,,кафе,,"10.11.2011 г., ",,,,,
12,"Общество с ограниченной ответственностью ""АГАТ 2002""",1.0276E+12,7607023442,"Россия, г.Ярославль, ул.Гоголя, д.11","1. г.Ярославль, ул.Гоголя, д.11",с 27.09.2008 г. по 27.09.2013 г.,"76202708/Л0261,",,,,,
,"(ООО ""Агат 2002"")",,,,магазин,,"26.09.2008 г., ",,,,,
,,,,,"2. г.Ярославль, Суздальское ш., д.16, корп.3",,,,,,,
,,,,,магазин,,,,,,,
13,"Общество с ограниченной ответственностью ""Агат-1""",1.0276E+12,7616005016,"Ярославская обл.. г.Гаврилов-Ям, проезд Машиностроителей","1. Гаврилов-Ям, ул. Строителей, д.4",с 31.07.2003 г. по 31.07.2028 г.,"76042703/Л0012,",,,,,
,"(ООО ""Агат-1"")",,,,не определено,,"31.07.2003 г., ",,,,,
,,,,,"2. Гаврилов-Ям, пр.Машиностроителей.",,,,,,,
,,,,,не определено,,,,,,,
14,"Общество с ограниченной ответственностью ""АГАТ-20""",1.0276E+12,7607004873,"г.Ярославль, ул. Ньютона, д.38","1. г.Ярославль, ул. Победы, д.5а",с 12.12.2011 г. по 12.12.2013 г.,"76202711/Л0721,",,,,,
,"(ООО ""АГАТ-20"")",,,,кафе,,"12.12.2011 г., ",,,,,
15,"Общество с ограниченной ответственностью ""Агдам""",1.0676E+12,7602052457,"Российская Федерация, г.Ярославль, ул. Белинского, напротив дома 40","1. г.Ярославль, ул. Белинского, напротив д.40",с 13.01.2012 г. по 13.01.2013 г.,"76202712/Л0004,",,Предыдущее переоформление 22.02.2012 г.,,,
,"(ООО ""Агдам"")",,,,кафе,,"13.01.2012 г., ",,-2,,,
16,"Общество с ограниченной ответственностью ""Агора""",1.07761E+12,7608013937,"Российская Федерация, Ярославская область, г.Переславль-Залесский, ул. Ростовская, д.27, офис 117.","1. Ярославская область, г.Переславль-Залесский, ул. Ростовская, д.27",с 28.12.2011 г. по 28.12.2012 г.,"76202711/Л0788,",,,,,
,"(ООО ""Агора"")",,,,кафе,,"28.12.2011 г., ",,,,,
17,"Общество с ограниченной ответственностью ""Агроаспект""",1.0277E+12,7715277300,"Россия, г.Москва, Алтуфьевское шоссе, д.60.","1. Ярославская область, г.Тутаев, ул.Моторостроителей, д.83б",с 07.03.2008 г. по 07.03.2013 г.,"76202708/Л0052,",,Предыдущее переоформление 07.07.2010 г.,,,
,"(ООО ""Агроаспект"")",,,,магазин,,"07.03.2008 г., ",,(4) - код 8,,,
,,,,,"2. Ярославская область, г.Ростов, 1 МКР, д.11а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, ул.Волгоградская, д.51",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. г.Ярославль,ул.Панина,д.41",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, г.Тутаев, пр.50-летия Победы, д.6",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. г.Ярославль, ул.Труфанова, д.23",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. г.Ярославль,ул.Панина,д.12б",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. г.Ярославль, пр. Фрунзе, д. 45",,,,,,,
,,,,,магазин,,,,,,,
18,"Общество с ограниченной ответственностью ""Агроснаб""",1.0576E+12,7604078034,"Россия, 150030 г.Ярославль, Суздальское шоссе,д.16,кв.2/2","1. г.Ярославль, Депутатский переулок, д.2",с 23.01.2008 г. по 23.01.2013 г.,"76202708/Л0012,",,,,,
,"(ООО ""Агроснаб"")",,,,кафе,,"23.01.2008 г., ",,,,,
19,"Общество с ограниченной ответственностью ""АЙВЕНГО""",1.0676E+12,7603033249,"Россия,150029, г.Ярославль, ул.Клубная, д.3","1. г.Ярославль, ул.Клубная, д.3",с 03.12.2008 г. по 03.12.2013 г.,"76202708/Л0370,",,,,,
,"(ООО ""Айвенго"")",,,,кафе,,"03.12.2008 г., ",,,,,
20,"Общество с ограниченной ответственностью ""Айсберг""",1.0576E+12,7627029107,"Российская Федерация, Ярославская область, Ярославский район, п. Красный Бор, строение № 6","1. Ярославская область, Ярославский район, в районе п. Красный Бор, строение 6",с 27.09.2011 г. по 27.09.2013 г.,"76202711/Л0574,",,,,,
,"(ООО ""Айсберг"")",,,,бар,,"27.09.2011 г., ",,,,,
21,"Общество с ограниченной ответственностью ""АИСиТ""",1.0276E+12,7602008151,"Россия, г.Ярославль, пр-т Ленина, д. 11/74","1. г.Ярославль, пр.Ленина, д.11/74",с 18.11.2008 г. по 18.11.2013 г.,"76202708/Л0330,",,Предыдущее переоформление 14.09.2012 г.,,,
,"(ООО ""АИСиТ"")",,,,магазин,,"18.11.2008 г., ",,-2,,,
,,,,,"2. г.Ярославль, ул. Старое Долматово,д.20",,,,,,,
,,,,,магазин,,,,,,,
22,"Общество с ограниченной ответственностью ""Академия вкуса""",1.0776E+12,7604101364,"Российская Федерация, г.Ярославль, ул.Республиканская, д.3.","1. г.Ярославль, ул.Республиканская, д.3а",с 19.01.2012 г. по 19.01.2014 г.,"76202712/Л0013,",,,,,
,"(ООО ""Академия вкуса"")",,,,кафе,,"19.01.2012 г., ",,,,,
23,"Общество с ограниченной ответственностью ""Академия питания""",1.0576E+12,7604081020,"г.Ярославль, ул. Революционная, д.5","1. г.Ярославль, ул. Свободы, д.87а",с 13.07.2011 г. по 13.07.2014 г.,"76202711/Л0390,",,,,,
,"(ООО ""Академия питания"")",,,,кафе,,"13.07.2011 г., ",,,,,
24,"Общество с ограниченной ответственностью ""Академия""",1.0676E+12,7604088466,"Ярославская область, г.Ярославль, ул.Писемского, д.33","1. г. Ярославль, ул.Писемского, д.33",с 14.07.2011 г. по 14.07.2014 г.,"76202711/Л0397,",,,,,
,"(ООО ""Академия"")",,,,магазин,,"14.07.2011 г., ",,,,,
25,"Общество с ограниченной ответственностью ""Акцепт""",1.0576E+12,7609018430,"Ярославская область, г.Ростов, ул. Карла Маркса, д. 26","1. Ярославская область, г. Ростов, ул. Карла Маркса, д.26",с 29.06.2012 г. по 29.06.2013 г.,"76202712/Л0295,",,,,,
,"(ООО ""Акцепт"")",,,,кафе,,"29.06.2012 г., ",,,,,
26,"Общество с ограниченной ответственностью ""Алёнка 2006""",1.06761E+12,7610071968,"Россия, Ярославская обл., г.Рыбинск, ул.Моторостроителей, д.20, кв.89","1. Ярославская область, г.Рыбинск, ул. Свободы, д. 29",с 21.03.2012 г. по 21.03.2013 г.,"76202712/Л0117,",,,,,
,"(ООО ""Алёнка 2006"")",,,,кафе,,"21.03.2012 г., ",,,,,
27,"Общество с ограниченной ответственностью ""АЛЗО""",1.06761E+12,7619004123,"Россия, Ярославская область, г.Мышкин, ул. К.Либкнехта, 47","1. Ярославская область, г.Мышкин, ул. Карла Либкнехта, д.47",с 03.10.2011 г. по 03.10.2016 г.,"76202711/Л0584,",,Предыдущее переоформление 06.09.2012 г.,,,
,"(ООО ""АЛЗО"")",,,,ресторан,,"03.10.2011 г., ",,(4) код 5,,,
,,,,,"2. Ярославская область, г.Мышкин, ул. Угличская, д.11",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, г.Мышкин, ул. Угличская, д.16/2",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, г.Мышкин, ул.Угличская, д.14",,,,,,,
,,,,,столовая,,,,,,,
28,"Общество с ограниченной ответственностью ""Алина и К""",1.0276E+12,7605012004,"г.Ярославль, ул.Маяковского, д.82","1. г.Ярославль, ул.Маяковского, д.82",с 19.05.2012 г. по 19.05.2013 г.,"76202712/Л0221,",,,,,
,"(ООО ""Алина и К"")",,,,магазин,,"18.05.2012 г., ",,,,,
,,,,,"2. г.Ярославль, ул.1-ая Смоленская, д.11",,,,,,,
,,,,,магазин,,,,,,,
29,"Общество с ограниченной ответственностью ""Алина""",1.07761E+12,7612038250,"Российская Федерация, Ярославская область, город Углич, микрорайон Солнечный, дом 7, квартира 63","1. Ярославская область, г.Углич, ул.Луначарского, д.12а",с 13.04.2012 г. по 13.04.2013 г.,"76202712/Л0162,",,,,,
,"(ООО ""Алина"")",,,,магазин,,"13.04.2012 г., ",,,,,
30,"Общество с ограниченной ответственностью ""Алиса""",1.0276E+12,7612000070,"Российская Федерация, Ярославская область, город Углич, Ленинское шоссе, д.25/3","1. Ярославская область, г.Углич, Ленинское шоссе, д.25/3",с 06.10.2011 г. по 06.10.2016 г.,"76202711/Л0594,",,,,,
,"(ООО ""Алиса"")",,,,магазин,,"06.10.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Углич, Ленинское шоссе, д.25/3",,,,,,,
,,,,,кафе,,,,,,,
31,"Общество с ограниченной ответственностью ""АЛКОМ-С""",1.06761E+12,7609019360,"Ярославская область, Ростовский район, пос. Семибратово, улица Красноборская, д. 5, кв.6.","1. Ярославская область, Ростовский район, Рп Семибратово, ул. Ломоносова, д.22",с 30.01.2012 г. по 30.01.2015 г.,"76202712/Л0028,",,Предыдущее переоформление 17.02.2012 г.,,,
,"(ООО ""АЛКОМ-С"")",,,,бар,,"30.01.2012 г., ",,(4) - код 5,,,
,,,,,"2. Ярославская область, Ростовский район, Рп Семибратово, ул. Ломоносова, д. 22",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, Ростовский район, Рп Семибратово, ул. Строителей, д. 11в",,,,,,,
,,,,,павильон (отдел),,,,,,,
32,"Общество с ограниченной ответственностью ""Алмаз""",1.0576E+12,7611015596,"Ярославская область, г.Тутаев, ул. Моторостроителей, д.83а","1. Ярославская область, г.Тутаев, ул. Моторостроителей, д.51",с 08.07.2011 г. по 08.07.2016 г.,"76202711/Л0365,",,,,,
,"(ООО ""Алмаз"")",,,,магазин (отдел),,"08.07.2011 г., ",,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"2. Ярославская область, г.Тутаев, ул. Моторостроителей, д.83а",,,,,,,
,,,,,магазин (отдел),,,,,,,
33,"Общество с ограниченной ответственностью ""Алмаз""",1.06761E+12,7616007528,"Ярославская область, г.Гаврилов-Ям, ул.Молодежная, д.5","1. Ярославская область, г.Гаврилов-Ям, ул. Молодежная, д.5",с 04.07.2012 г. по 04.07.2014 г.,"76202712/Л0305,",,,,,
,"(ООО ""Алмаз"")",,,,магазин (отдел),,"02.07.2012 г., ",,,,,
34,"Общество с ограниченной ответственностью ""Альбина""",1.0876E+12,7604135719,"150023, Россия, г. Ярославль, ул. Нефтяников, д. 3, корп. 1, кв. 45","1. г. Ярославль, ул. Рыкачева, у д. 7",с 01.12.2008 г. по 01.12.2013 г.,"76202708/Л0359,",,,,,
,"(ООО ""Альбина"")",,,,магазин,,"01.12.2008 г., ",,,,,
35,"Общество с ограниченной ответственностью ""Альта Монтэ""",1.0478E+12,7719538658,"Российская Федерация, г.Москва, ул.9-я Парковая, д.59, корп.3.","1. Ярославская область, г.Переславль-Залесский, ул.50 лет Комсомола, д.16б- бар,",с 08.09.2011 г. по 08.09.2013 г.,"76202711/Л0551,",Продлена 07.09.2012 г.,,,,
,"(ООО ""Альта Монтэ"")",,,,кафе,,"08.09.2011 г., ",,,,,
36,"Общество с ограниченной ответственностью ""Альянс""",1.06763E+12,7621007001,"Россия, Ярославская область, Некрасовский район, с. Вятское, ул.Крестьянская, д.15","1. Ярославская область, Некрасовский район, с.Вятское, ул.Давыдковская, д.1",с 17.10.2011 г. по 17.10.2014 г.,"76202711/Л0615,",,,,,
,"(ООО ""Альянс"")",,,,магазин,,"14.10.2011 г., ",,,,,
,,,,,"2. Ярославская область, Некрасовский район, с.Вятское, ул.Давыдковская, д.1",,,,,,,
,,,,,закусочная,,,,,,,
37,"Общество с ограниченной ответственностью ""АльянсИнвестиций""",1.11761E+12,7612044328,"Российская Федерация, Ярославская область, г.Углич, пл.Успенская, д.8","1. Ярославская область, г.Углич, пл.Успенская, д.8",с 24.08.2012 г. по 24.08.2013 г.,"76202712/Л0407,",,,,,
,"(ООО ""АльянсИнвестиций"")",,,,ресторан,,"24.08.2012 г., ",,,,,
,,,,,"2. Ярославская область, г.Углич, пл.Успенская, д.8",,,,,,,
,,,,,бар,,,,,,,
38,"Общество с ограниченной ответственностью фирма ""Амбар""",1.0276E+12,7610046182,"Ярославская область, г.Рыбинск, ул.Крестовая/Луначарского, д. 103/8","1. Ярославская область, г.Рыбинск, ул. Крестовая, д.103/ул.Луначарского, д.8",с 06.02.2012 г. по 06.02.2015 г.,"76202712/Л0044,",,,,,
,"(ООО фирма ""Амбар"")",,,,кафе,,"06.02.2012 г., ",,,,,
39,"Общество с ограниченной ответственностью ""АМБЕР""",1.0276E+12,7607022255,"г.Ярославль, ул. Доронина, д. 6","1. г.Ярославль, ул.Доронина, д.6",с 13.08.2008 г. по 13.08.2013 г.,"76202708/Л0217,",,Предыдущее переоформление 03.10.2011 г.,,,
,"(ООО ""Амбер"")",,,,кафе,,"13.08.2008 г., ",,(4) - код 5,,,
,,,,,"2. г.Ярославль, Суздальское шоссе, у дома 34",,,,,,,
,,,,,мини-магазин,,,,,,,
,,,,,"3. г.Ярославль, Суздальское шоссе, остановка ""Ул.Гоголя""",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"4. г.Ярославль, ул. Калинина, д.31",,,,,,,
,,,,,кафе,,,,,,,
40,"Общество с ограниченной ответственностью ""АМЕГА""",1.0944E+12,4401101405,"г.Кострома, ш.Кинешемское,д.4/1","1. г. Ярославль, ул.Калинина,д.17",с 01.01.2010 г. по 01.01.2015 г.,"76202709/Л0282,",,Предыдущее переоформление 11.01.2012 г.,,,
,"(ООО ""АМЕГА"")",,,,магазин,,"30.12.2009 г., ",,"(5) - код 1, 3, 4",,,
41,"Общество с ограниченной ответственностью ""АМИГОС""",1.06761E+12,7606056533,"Российская Федерация, г.Ярославль, проспект Ленина, д.8 ""б""","1. г.Ярославль, просп. Ленина, д.8 б",с 06.09.2012 г. по 06.09.2013 г.,"76202712/Л0420,",,,,,
,"(ООО ""АМИГОС"")",,,,кафе,,"06.09.2012 г., ",,,,,
42,"Общество с ограниченной ответственностью ""АМО-Сервис""",1.0276E+12,7604056665,"Россия, г.Ярославль, улица Республиканская, дом 84, корпус 3, квартира 3.","1. г. Ярославль, ул. Угличская,д. 31",с 13.09.2008 г. по 13.09.2013 г.,"76202708/Л0243,",,Предыдущее переоформление 22.06.2010 г.,,,
,"(ООО ""АМО-Сервис"")",,,,магазин,,"12.09.2008 г., ",,-2,,,
43,"Общество с ограниченной ответственностью ""АМУР""",1.1176E+12,7604204955,"г.Ярославль, ул. Республиканская, дом 48. ","1. г.Ярославль, ул. Большая Федоровская, д.76в.",с 27.07.2012 г. по 27.07.2013 г.,"76202712/Л0366,",,Предыдущее переоформление 24.09.2012 г.,,,
,"(ООО ""АМУР"")",,,,кафе,,"27.07.2012 г., ",,(4) код 3,,,
,,,,,"2. г.Ярославль, ул.Республиканская, д.48",,,,,,,
,,,,,кафе,,,,,,,
44,"Общество с ограниченной ответственностью ""Анастасия""",1.0276E+12,7627016186,"Ярославская область, Ярославский район, пос.Туношна-городок 26, д.17, кв.27.","1. г.Ярославль, ул.Щепкина, д.8а",с 26.05.2011 г. по 26.05.2016 г.,"76202711/Л0209,",,,,,
,"(ООО ""Анастасия"")",,,,кафе,,"26.05.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Нефтяников, у д. 29",,,,,,,
,,,,,магазин,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"3. г.Ярославль, ул. 8 Марта, напротив д.2",,,,,,,
