Ардатовский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орг-ий,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
,цион-,,,,,объектов,лицензииё,факс,новки и,
,ный,,,ИНН,,,,,возобнов-,
,№,,,ОГРН,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
1,41,13 МЕ,"ООО ""Выбор"" п. Тургенево, ул. Шмидта, 14а",1301063341,"м-н ""Виктория"" с. Баево, ул. Кудашкина, 42а, Ард",1,28/01/10,2-14-00,,Слугин Андрей Васильевич
,,001149,Ардатовский район,,,,28/01/15,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-2"", г.Ардатов, Мик. 1-42",1,27/04/12,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н Птица"" 19 г. Ардатов, ул. Ленинская, 96а",1,15/12/11,,,
,,001888," п. Б. Елховка, ул. Заводская, 12",,,,15/04/14,,,
1,50,13 МЕ,"ООО ""Пищевик"" г. Ардатов, ул. Ленинская,118",1301062884,"кафе ""Центральное"" г. Ардатов, ул. Ленинская, 97",3,28/01/10,3-21-90,,Людмила Борисовна
,,001159,,,"кафе ""Молодежная"" г. Ардатов, пер. Толстого",,28/01/15,3-11-90,,
,,,,,"кафе г.Ардатов, ул. Дючкова (тер. Рынка)",,,89179978879,,
1,172,13 РМ,Чукальское потребительское общество,1301062468,"""Продмаг № 1"", г. Ардатов, ул. Луначарского, 16",41,20/06/12,3-23-03,,Николай Ильич
,,000064,"Ардатовский район, ст. Ардатов, ул. Ленинская, ",1021300549357,"""Продмаг № 6"", г. Ардатов, ул. Полевая, б/н",,20/06/14,,,
,,,118,,"магазин ТПС, п. Октябрьский, ул. Юбилейная, 12, Ардатовский район",,,89271811949,,Лихачев Юрий Германович
,,,,,"магазин ТПС, с. Манадыши-1, ул. Центральная, 25а, Ардатовский район",,,,,
,,,,,"магазин ТПС, с. Манадыши-2, ул. Ленина, 51а, Ардатовский район",,,,,
,,,,,"магазин ТПС, с. Малое Кузьмино, ул. Речная, 3, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Большое Кузьмино, ул. Газовиков, 48, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Солдатское, ул. Центральная, 48, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Жаренки, ул. Ленина, 22, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Кельвядни, ул. Центральная, 82, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Сп.Мурзы, ул. Набережная, 51, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Каласево, ул. Центральная, 2, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Красные Поляны, ул. Ленинская, 18, Ардатовский район",,"""-""-""-""",,,
,,,,,"закусочная, п. ст. Ардатов, ул. Центральная, 11, Ардатовский район",,,,,
,,,,,"магазин ТПС, с. Баево, ул. Нефедова, 84а, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Баево, ул. Советская, 17б, Ардатовский район",,,,,
,,,,,"магазин ТПС, с. Пиксяси, ул. Молодежная, 29, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ""Продукты"", с. Кученяево, ул. Полевая, 1, Ардатовский район",,"""-""-""-""",,,
,,,,,"павильон, с. Кученяево, ул. Володарского, 116а, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Андреевка, ул. Центральная, 72, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Низовка, ул. Центральная, 2, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Луньга, ул. Центральная, 41а, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Л.Майдан, ул. Первое Мая, 54, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Полое, ул. Церковная, 1б, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Смольково, ул. Центральная, 40, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Сосновое, ул. Луговая, 23, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, п.Тургенево, ул. Садовая, 1, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, п.Тургенево, ул. Воробьевка, 19, Ардатовский район",,,,,
,,,,,"магазин ТПС, п. Тургенево, ул. Ленинская, 67, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Безводное, ул. Центральная, 2,  Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Старое Ардатово, ул. Центральная, 11, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Урусово, ул. Ленина, 64а, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Жабино, ул. Верхняя, 127, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Силино, ул. Садовая, 4, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Куракино, ул. Центральная, 71, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС №1, с. Редкодубье, ул. Ленинская, 57/6, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС №2, с. Редкодубье, ул. Октябрьская, 28, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС № 3, с. Редкодубье, ул. Киржеманова, Ардатовский район",,,,,
,,,,,"магазин ТПС, с. Б. Поляны, ул. Ленинская, 37, Ардатовский район",,"""-""-""-""",,,
,,,,,"магазин ТПС, с. Канаклейка, ул. Нижняя, 3, Ардатовский район",,,,,
1,93,13 МЕ,"ООО ""Ника"" г. Ардатов, ул. Ленинская, 116",1301063662,"м-н ""Венец"" г. Ардатов, ул. Ленинская, 116",7,27/04/12,3-14-66,,Кан Вероника Гоптоновна
,,002020,,1061322023993,"м-н ""Хозяюшка"" г. Ардатов, ул. Полевая, 140а",,15/06/16,89271745273,,
,,,,,"м-н ""Хозяюшка-2"" г. Ардатов, ул. Рабочая, 33 а",,,3-36-24,,
,,,,,"м-н ""Хозяюшка-3"" г. Ардатов, пер. Л.Толстого, 2-6",,,,,
,,,,,"м-н г. Ардатов, ул. Юбилейная, 49а",,,,,
,,,,,"м-н ""Хозяюшка-5"", п. Тургенево, ул. Советская, 28а, Ардат",,,,,
,,,,,"магазин ""Хозяюшка-6"", г. Ардатов, мкр. 1, 29",,,,,
1,265,13 МЕ,"ООО ""Радуга-М"" г. Ардатов, ул. Ленинская, 120",1301063630,"м-н ""Садовое кольцо"", г. Ардатов, ул. Рабочая, 2/1;",4,21/07/11,3-12-15,,Максин Михаил Александрович
,,001729,,1061322023344,"м-н ""Радуга"", г. Ардатов, пер. Л. Толстого, 2/5;",,15/07/16,3-10-69,,
,,,,,"м-н п. Октябрьский, ул. Придорожная, 2а, Ардатовский",,,3-14-70,,
,,,,,"магазин ""Радуга"", г. Ардатов, ул. Полевая, 49",,,,,
1,41,13 МЕ,"ООО ""Кибо"" п. Тургенево, ул. Молодежная, 2б,",1301062718,"м-н п. Тургенево, ул. Молодежная, 2б, Ардатовский",1,28/01/10,2-12-58,,Слугин Андрей Васильевич
,,001148,Ардатовский р-н ,,,,28/01/15,89276412511,,
1,114,13 МЕ,"ООО ""Гермес"" г. Ардатов, пер. Толстого, 29",1301063655,"м-н ""Центральный"" г. Ардатов, ул. Ленинская, 118",3,17/05/10,3-14-61,,Богоявленский Игорь Андреевич
,,001231,,,"м-н ""У Ксюши"" г. Ардатов, ул. Пожарского, 31а",,28/01/15,,,
,,,,,"м-н ""Южный"" г. Ардатов, мкр.2, 1а",,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Татьяна"" п. Лесозавод, 14, Ардатовский р-н",15,29/06/12,,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"м-н с. Турдаково, ул. Школьная, 19, Ардатовский р-н",,15/03/13,,,
,,,,,"м-н ""Катюша"" с. Баево, ул. Советская, 121, Ард.",,,,,
,,,,,"м-н ""Олак"" с. Низовка, ул. Одере, 8, Ардатовский",,,29-36-53,,
,,,,,"м-н ""Вастома"" г. Ардатов, ул. Эрзи, 6а",,,,,
,,,,,"м-н ""МариАнна"" с. Калачева, ул. Нижняя, 25а, Ардат",,,,,
,,,,,"м-н ""МариАнна"" с. Кечушево, ул. Фрунзе, 1а, Ардат",,,,,
,,,,,"м-н ""Экспресс"" п. ст. Ардатов, ул. Центральная, 13, Ардатовск",,,,,
,,,,,"м-н ""МариАнна 3"" с. Кученяево, ул. Полевая, 5, Ардатовс",,,,,
,,,,,"м-н ""Такт"" с. Урусово, ул. Ленина, 62а, Ардатовский",,,,,
,,,,,"м-н ""МариАнн-4"" ст. Ардатов, ул. Центральная, 14, Ардатовский",,,,,
,,,,,"м-н ""Низовка"", с. Низовка, ул. Школьная, 37, Ардатовский район",,,,,
,,,,,"магазин ""Ольга"", г. Ардатов, мкр., 1, 29",,,,,
,,,,,"магазин ""Дружба"", г. Ардатов, мкр., 2, 16",,,,,
,,,,,"магазин ""Продукты"", с. Каласево, ул. Нижняя, 70, Ардатовский район",,,,,
,,,,,"магазин ""Марианна 5"", с. Чукалы, ул. Советская, 52, Ардатовский район",,,,,
1,3,13 МЕ,"МП магазин ""Татьяна"" с. Урусово, Ардатовс- ",1301062644,"м-н с. Урусово, ул. Ленина, 93, Ардатовский р-н",1,30/01/08,2-35-32,,Уряднова Татьяна Яковлевна
,,000426,кий р-н,,,,30/01/13,,,
1,236,13 МЕ,"ООО ""Встреча"" п. Тургенево, ул. Молодеж-",1301064105,"кафе п. Тургенево, ул. Молодежная, 20, Ардатовс",2,30/09/09,2-11-46,,Навозникова Валентина Петровна
,,000995,"ная, 20, Ардатовский р-н",,"м-н п. Тургенево, ул. Заводская, 38, Ардатовский",,30/09/12,89272750463,,
