"Государственный сводный реестр
выданных, приостановленных и аннулированных лицензий
на производство и оборот этилового спирта, алкогольной
и спиртосодержащей продукции в муниципальном образовании город Губкинский,
 по состоянию на 01.09.2012
",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Полное и сокращенное наименование организации с указанием ее организационно-правовой формы,ИНН организации,КПП организации,"Адрес 
(место нахождения) организации","Адрес электронной почты 
организации","Место нахождения (адрес) обособленного подразделения организации, осуществляющего лицензируемый вид деятельности ","КПП обособленного подразделения организации, осуществляющего лицензируемый вид деятельности","Код субъекта Российской Федерации
 по месту нахождения организации","Код субъекта Российской Федерации
 по месту нахождения обособленного
подразделения организации, осуществляющего лицензируемый вид деятельности",Вид лицензируемой деятельности организации,Вид продукции,Номер ранее выданной лицензии,"Наименование лицензирующего органа, выдавшего лицензию",Дата выдачи лицензии,Дата окончания действия лицензии,"Номер лицензии, соответсвующей номеру записи 
в реестре ","Сведения
 о действии лицензии","Дата изменения сведений 
о действии лицензии","Основание изменения сведений 
о действиии лицензии",,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,
"Закрытое акционерное общество 
""Кирилл""
(ЗАО ""Кирилл"")",8911001483,891301001,"г. Губкинский, 
мкр. 11, д. 56",kiril@pursatcom.ru,"магазин ""Продукты"" 
ТЦ ""Континент"" (г. Губкинский, мкр. 11, д. 56)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,2/24/2008,2/23/2013,Г 128549,Переоформление лицензии,5/17/2011,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 16.05.2011 № 8",,,,
,,,,,"кафе ""Пивоварня у Остапа"" 
ТЦ ""Континент"" (г. Губкинский, мкр. 11, д. 56)",,,,,,,,,,,,,,,,,
,,,,,"кафе ""Анталия"" (г. Губкинский, мкр. 2, д. 13)",,,,,,,,,,,,,,,,,
,,,,,"пивной бар ""Наша раша"" 
(г. Губкинский, ПКиО)",,,,,,,,,,,,,,,,,
,,,,,"кафе ""Кавказская пленница"" 
(г. Губкинский, ПКиО)",,,,,,,,,,,,,,,,,
,,,,,"кафе ""Казачий дозор"" 
(г. Губкинский, ПКиО)",,,,,,,,,,,,,,,,,
,,,,,"кафе ""Арарат"" (г. Губкинский, ПКиО)",,,,,,,,,,,,,,,,,
,,,,,"бар ""Боулинг Центр"" (г. Губкинский, ПКиО, д. 9)",,,,,,,,,,,,,,,,,
,,,,,"кафе ""Оскар"" (г. Губкинский, ПКиО, д. 17)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Бахус""
(ООО ""Бахус"")",8913007000,891301001,"г. Губкинский, 
мкр. 5, д. 5, кв.1",vavilon89@bk.ru ,"магазин ""Бахус"" (г. Губкинский, мкр. 9, д. 13)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128 393,Администрация муниципального образования город Губкинский,7/11/2011,7/10/2016,Г 128553,,,,,,,
,,,,,"магазин ""Бахус+"" (г. Губкинский, мкр. 7, д.5)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Бахус"" ТД ""Ямал-Пурпе"" (г. Губкинский, мкр. 4, д. 32)",,,,,,,,,,,,,,,,,
