Зубово-Полянский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,375,13 МЕ,"ООО ""Сарова"", З. Полянский р-н, ",1308079894,"м-н, п. Лесной, ул. Центральная, 7 а",2,30/11/11,3-06-09,,Романов Валерий Михайлович,
,,001851,"п. Озерный, ул. Центр-ная, 14в ",1021900661360,"м-н, п. Озерный, ул. Центральная, 14 в",,30/11/12,8909233859,,Романов Дмитрий Валерьевич,
1,248,13 МЕ,"ООО ""Констант"", п. Зубова Поляна,",1308079407,"м-н ""Гермес"", п. З.Поляна, ул. Советская, 18 а;",28,13/11/10,2-22-04,,,
,,001384,"ул. Советская, 28 ",1021300657949,"м-н ""Гелиос"", п.З.Поляна, ул. Коммунистическая, 7;",,28/01/15,2-35-85,,,
,,,,,"м-н ""Кольцо"", п. Зубова Поляна, ул. Н. Прибоя, 88 б;",,"""-""-""-""",2-18-73,,,
,,,,,"м-н ""Мир продуктов"", п. З. Поляна, ул. Советская, 21 а;",,"""-""-""-""",2-15-06,,,
,,,,,"м-н ""Надежда"", п. Зубова Поляна, ул. Герцена, 23 а;",,"""-""-""-""",2-03-64,,,
,,,,,"м-н ""Светлячок"", п. Зубова Поляна, ул. Советская, 66 а;",,"""-""-""-""",89271756379,,Шейкина Елена Николаевна,
,,,,,"м-н ""Глория"", п. Зубова Поляна, ул. Калинина, 10;",,"""-""-""-""",,,,
,,,,,"м-н ""Тракторный"" п. Тракторный, З.Полянский район",,,,,,
,,,,,"магазин ""Харчевня"" п. З.Поляна, ул. Советская, 70б;",,"""-""-""-""",,,,
,,,,,"магазин п. Ясная поляна, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин ""Торфяной"" п. З.Поляна, ул. Кирова, 32;",,"""-""-""-""",,,,
,,,,,"магазин ""Отдых"" п. З.Поляна, ул. Пролетарская, 7;",,"""-""-""-""",,,,
,,,,,"магазин ""Ласточка"" п. Явас, ул. Чернореченская, 31, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин ""Мария"" п. Явас, ул. Тактаева, 12, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин ""Девчата"" п. Потьма, ул. Красноармейская, 10б, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин  ""У Морзкиной"" п. Потьма, ул. Школьная, 15, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин  п. Парца, ул. Центральная, 7, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин  п. Ударный, ул. Центральная, 4б, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин п. Ударный, ул. Железнодорожная, 1а, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин ""Роза"" п. Леплей, ул. Советская, 9, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин ""Хозяюшка"" п. Молочница, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин  п. Сосновка, ул. Вокзальная, 1, З.Полянский район;",,"""-""-""-""",,,,
,,,,,"магазин  ""Продукты""  п. Явас, ул. Чернореченская, 21, З.Пол ",,"""-""-""-""",,,,
,,,,,"м-н ""Народный"" п. З.Поляна, ул. Советская, 31",,,,,,
,,,,,"м-н ""Продукты"" п. З.Поляна, ул. Ленинская, 21б",,,,,,
,,,,,"м-н п. Сосновка, ул. Центральная, 7а, З.Полянский район",,,,,,
,,,,,"м-н ""Дубрава"", п. Явас, ул. Комсомольская, 19б, З.Полянский",,,,,,
,,,,,"м-н ""Пчелка"", п. З.Поляна, ул. Волкова, 40",,,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-3"", п.З.Поляна, ул. Пролетарская, 8",9,23/12/11,,,,
,,002026,"ул. Московская, 1 ",,"м-н ""Нива-26"", п.Явас.ул.Тактаева, 9, З. Полянский",,23/12/16,,,,
,,,,,"м-н ""Нива-34"", п. Сосновка, ул. Центральная, 10, З.Полянский р-н",,,,,,
,,,,,"м-н ""Нива-32"", п. Молочница, ул. Центральная, 1, З.Полянский р-н",,,,,,
,,,,,"м-н ""Нива-31"", п.Ударный, ул. Центральная, 3, З.Полянский р-н",,,,,,
