Табл. А.2. Оптимизация услуги*,,,,,
,,,,,
№,"Наименование ""входного"" документа услуги",Каким образом будет оптимизирован порядок получения документа?,Содержание оптимизации,"Ведомство, ответственное за предоставление документа",Соответствующие пункты планов внесения изменений в правовые акты**
,"Перечислите все документы, необходимые для получения услуги (включая документы, не подлежащие получению по каналам МВ; включая те документы, которые планируется включить в число необходимых для получения услуги и которые планируется исключить из их числа).
","Введите код:
1. Оптимизация не планируется.
2. Документ будет получаться по каналам МВ, если не был предоставлен заявителем самостоятельно.
3. Документ будет получаться по каналам МВ взамен документа, не предоставленного заявителем самостоятельно.
4. Документ будет исключён из перечня необходимых для предоставления услуги.
5.Документ заменит исключённый документ и будет предоставляться заявителем.
6. Документ заменит исключённый документ и будет получаться по каналам МВ. ","Заполните поле в том случае, если вы выбрали вариант ответа, отличный от 1. 
Коротко опишите, почему было принято соответствующее решение, какие именно изменения в составе сведений планируется и т.д.","Заполните поле в том случае, если документ планируется получать в по каналам МВ (варианты ответов 2, 3, 6 в предыдущем поле).",Укажите номера пунктов Планов внесения изменений в правовые акты Потребителя и Поставщика данных (таблицы Б.1. и Б.2).
1,Заявление  о выдаче лицензии,1,,,
2,Копия учредительных документов,4,,,
3,Копия документа о государственной регистрации организации юидического лица,3,,ФНС России,
4,Копия документа о постановке организации на учет в налоговый орган,3,,ФНС России,
5,Копия документа об оплате государственной пошлины за предоставление лицензии,2,,Федеральное казначейство,
6.1,"справку банка, подтверждающую зачисление на расчетный счет денег в оплату уставного капитала, подписанную руководителем и главным бухгалтером банка, а также копии первичных платежных документов",1,,,
6.2,"копию документа, подтверждающего право собственности акционера (участника) на имущество, с приложением отчета об оценке объектов оценки и акта приема-передачи имущества",1,,,
6.3,"копию протокола заседания органа управления организации, в котором зафиксировано соответствующее решение об изменении уставного капитала (уставного фонда), с приложением баланса организации, на основании которого принято решение о капитализации, и баланса на последнюю отчетную дату, отражающего увеличение уставного капитала (уставного фонда)",1,,,
7.1,свидетельство о государственной регистрации права собственности,3,,Росреестр,
7.2,"документ, подтверждающий возникновение права собственности на торговые и складские помещения до момента вступления в силу Федерльного закона ""О Государственной регистрации прав на недвижимое имущество и сделок с ним"". К таким документам относятся заключенные в соответствии с законодательством РФ договор об отчуждении жилого помещения (купли-продажи, мены, дарения);              ",3,,,
7.3,договор о закреплении имущества на праве хозяйственного ведения или оперативного управления;   ,3,,Росреестр,
7.4,договор аренды на срок один год и более;  ,3,,Росреестр,
8,Заключения специально уполномоченных государственных органов о соответствии стационарных торговых объектов и складских помещений заявителя санитарно-эпидемиологическим требованиям,3,,Роспотребнадзор,
