№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ООО ""Кубай""",6714025629,1056735004710,"214503, Российская Федерация, Смоленская область, Смоленский район, д. Хохлово, ул. Мира, д. 16","214503, Смоленская область, Смоленский район, с.п. Хохловское, ул. Мира д. 16 (магазин), без ограничений",№ 1279              Б 005186,14 декабря 2009,по 23 августа 2011,до 24 августа 2012,,,,,,,
2,"ООО ""РАССВЕТ""",6714026950,1066714005819,"214530, Российская Федерация, Смоленская область, Смоленский район, п. Печерск, ул. Минская, 3","214530, Смоленская область, Смоленский район, ул. Минская, д.3 (магазин), без ограничений.",№ 1098               Б 005866,10 июля 2006,по 10 июля 2011,до 11 июля 2014,,,,,,,
3,"ООО ""Семья"" ",6714026982,1066714006094,"214522, Российская Федерация, Смоленская область, Смоленский район, п. Авторемзавод, микрорайон Нижний поселок, д. 10","214522, Смоленская область, Смоленский район, п. Авторемзавод, микрорайон Нижний поселок, д. 10 (магазин), без ограничений.",№ 1009              Б 005248 ,22 октября 2010,по 30 июня 2011,до 01 июля 2012,,,,,,,
,,,,,"214000, Российская Федерация, Смоленская область, Смоленский район, д. Чикулино, д. 3 (магазин)",,30 июня 2006,по 30 июня 2011,,Исключение объекта,,,,,,
4,"ООО ""ГАР""",6714026870,1066714005511,"214532, Российская Федерация, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная","214523, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная (магазин), без ограничений.",№ 2031               Б 004983,07 июля 2011,до 07 июля 2016,,,,,,,,
,,,,"214506, Российская Федерация, Смоленская область, Смоленский район, дер. Сметанино, ул. Ветеранов","214506, Российская Федерация, Смоленская область, Смоленский район, дер. Сметанитно, ул. Ветеранов (магазин)",№ 911                 Б 005665,26 июня 2006,по 26 июня 2011,,,,,,,,
5,"ООО ""Смолинтурсервис""",67140269299,1066714005775,"214550, Российская Федерация, Смоленская область, Смоленский район, мотель ""Феникс""","214550, Смоленская область, Смоленский район, мотель ""Феникс"" (ресторан), без ограничений.",№ 1014               Б 005790,30 июня 2006,по 30 июня 2011,до 01 июля 2012,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, мотель ""Феникс"" (бар), без ограничений.",,,,,,,,,,,
6,"ООО ""Приоритет - Б.А.Н.К.""",6714024512,1046729302344,"214518, Российская Федерация, Смоленская область, Смоленский район, с. Пригорское, ул. Мира, 5, 78","214025, Смоленская область, г. .Смоленск, ул. Н. Неман, д. 27 (магазин), без ограничений.",№ 1173               Б 005377                         (Г 301928),22 Февраля 2011,по 19 июля 2011,до 20 июля 2016,,,,,,,
