"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усольскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"ООО ""Универсал"" ИНН 3840000185",МИ ФНС РФ № 8  по Иркутской области и УОБАО,А 224145 рег.№3                     от 30.06.06                  по 30.06.2011 Продлена с заменой бланка                                                А 224266                                         рег. 3                   от 01.07.2011                                    по 30.06.2012 ,"Усольский район,                                                 п. Новомальтинск, квартал 4-4а        1. магазин   ",,,7/1/2012,,,
2,ООО «Ива»              ИНН 3819017010,МИ ФНС № 8 по Иркутской области и УОБАО,А 224148                       от 03.07.06                  по 03.07.2011  Продлена с заменой бланка                                        А 224269                                                                        рег. № 6                                от 04.07.2011                                                по 03.07.2012,"Усольский район, п. Раздолье ул. Китойская,20-2                                                                1. магазин  «Продукты»",,,04.07.2012,,,
3,"ООО ""Адамант+"" ИНН 3819016619",МИ ФНС №8 по Иркутской области и УОБАО,А 224261       рег.11                  от 26.05.2011     по 25.05.2012,"Усольский р-н, р.п. Тельма, ул. Крупской,22                     1. магазин;                           ул. Крупской,22Б                  2. отдел в магазине ""Продукты"";                        ул. Крупской,22                      3. бар в кафе ""Берлога""",,,с 26.05.2012,,,
4,"ООО ""Пельменная"" ИНН 3819016584",МИ ФНС № 8 по Иркутской области УОБАО,А 224260 рег.№10              от 20.05.2011      по 19.05.2012,"Усольский р-н, р.п. Тельма, ул. Крупской,41                     1. кафе ""Пельменная""",,,с 20.05.2012,,,
5,"ООО ""Ермак""                                      ИНН 3821013742",МИФНС № 1 по Иркутской области и УОБАО,А 224268                               рег. № 16                               от 01.07.2011                                  по 30.06.2013,"Усольский район, д. Старая Ясачная, ул. Набережная,1   1. отдел в маназине ""Ермак""",,,,,,
6,"ООО ""Талисман"" ИНН 3819016873",МИ ФНС №8 по Иркутской области и УОБАО,А 224271          рег. №18             от 15.07.2011     по 14.07.2012,"Усольский р-н,                    р.п. Тельма, ул. Ленина,27    1. отдел в магазине;               2. кафе",,,7/15/2012,,,
7,ООО «Рябинушка» ИНН 3819013632,МИ ФНС № 8 по Иркутской области и УОБАО,А 224316 рег. 30 от 27.07.2012 по 22.10.2012 взамен А 224186                               рег. № 11                                от 22.10.2007                                по 22.10.2012 Переофлрмлена                                А 224201                               рег. № 10                от 05.09.08               по 22.10.2012,"с. Биликтуй, ул. Советская,45«а»                                               2. магазин смешанные товары «Коробейник» ",,,,,,
8,ООО «Приор»         ИНН 3840006243,МИ ФНС № 8 по Иркутской области  и УОБАО,А 224138                               рег. № 29                                 от 28.12.2005                                по 28.12.2010 Продлена                     по 28.12.2012,"п. Тельма ул. Крупской,7а                     1.  маг. «Владислав»",,,,,,
9,ООО «Паллада»                                                              ИНН 3819013618,МИ ФНС № 8 по Иркутской области  и УОБАО,А 224193          рег. №3                   от 18.02.08                 по 20.02.2012 ПереоформленаА 224267             от 28.06.2011     по 20.02.2012,"п. Средний ул. Трактовая,14             1. отдел вино-водка расположенный в ТЦ «Светлана» ",,,с 21.02.2012,,,
