,,
№ п/п,Населённый пункт/район,Кол-во торг. точек
,,
1,ГОРОДА РЕСПУБЛИКАНСКОГО ПОДЧИНЕНИЯ,1
2,Абакан,699
3,Саяногорск,255
4,Черногорск,300
5,пгт. Черёмушки,19
6,пгт.Майна,8
7,пгт. Пригорск,1
8,пгт.Жемчужный,18
9,пгт. Коммунар,8
10,АЛТАЙСКИЙ РАЙОН,126
11, Белый Яр,18
12, Алтайский район. Прочие населённые пункты,1
13,АСКИЗСКИЙ РАЙОН,261
14,пгт. Аскиз,9
15, Аскизский район. Прочие населённые пункты,5
16,БЕЙСКИЙ РАЙОН,142
17, Бея,13
18, Бейский район. Прочие населённые пункты,2
19,БОГРАДСКИЙ РАЙОН,93
20, Боград,23
21, Боградский район. Прочие населённые пункты,2
22,ОРДЖОНИКИДЗЕВСКИЙ РАЙОН,88
23,пгт. Копьёво,20
24,ТАШТЫПСКИЙ РАЙОН,93
25, Таштып,23
26, Абаза,120
27, Таштыпский район. Прочие населённые пункты,1
28,УСТЬ-АБАКАНСКИЙ РАЙОН,202
29,пгт. Усть-Абакан,43
30, Сорск,44
31,ШИРИНСКИЙ РАЙОН,203
32,пгт. Шира,40
33,пгт. Туим,6
,Итого,2887
