№ дела,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции, Серия лицензии,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования действия лицензии,Статус лицензии,Дата изменения статуса,Регистрационный номер лицензии,Руководитель организации,Контактный телефон,К-во лицензиатов,К-во объектов,в т.ч. объектов общественного питания,Дата государственной регистрации ЮЛ,ОГРН,Плановая проверка (когда),количество объетов,Внеплановая проверка,количество объектов,,,,,,,,,,,,
"Сведения о выданных, переоформленных, приостановленных, возобновленных и аннулированных в судебном порядке лицензиях на розничную продажу алкогольной продукции, а также о лицензиях, действие которых прекращено по истечении срока действия таких лицензий, и в случае ликвидации организации или в случае принятия лицензирующего органом решения о досрочном преращении действия такой лицензии на основании заявления организации на 10.10.2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    915,"ООО ""Корунд"" ",6801002554,680101001,"Тамбовская область, Бондарский район, с. Бондари, ул. Первомайская, д.7",korund-bondari@mail.ru,"1. Бондари,ул.Первомайская,7а, магазин ТПС №7",,68 ,68 ,Розничная продажа алкогольной продукции,Алкогольная,68 МЕ                        ,004500,Управление по развитию промышленности и предпринимательства Тамбовской области,01.04.2012,01.04.2014,,,,,действующая,,4411 от 08.09.2012,Борзова Таисия Васильевна,"(47534)21436,  89606631537",1,1,,10/19/2002,1026801115164,01.02.2007,,,,,,,,,,,,,,,
,,,,,,"2. с. Бондари, ул.Ленинградская, д.35-а,магазин ТПС №3",,,68 ,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3.с.Бондари,ул.Ленинградская,35,   павильон,""Поле чудес""",,,68 ,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,," 4.с.Бондари,ул.Советская,27-а,магазин ""Анюта""   ",,,68 ,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"5.с. Вердеревщено, ул. Центральная, 144/1, магазин ""Надежда""; ",,,68 ,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"6.с. Граждановка, ул. Центральная, 50; павильон",,,68,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"7.с.Бондари, ул. Карачанская, 21 а",,,68,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
153,"ООО ""Три медведя""",6801002963,680101001,"Тамбовская область, Бондарский район, с. Бондари, ул. 2-ая Комсомольская, 19",,"1. Бондарский район, с. Митрополье, ул. Центральная, 189 а - магазин ""Юлия""",,68,68,Розничная продажа алкогольной продукции,,68МЕ  ,004767,Управление по развитию промышленности и предпринимательства Тамбовской области,07.07.2012,07.07.2013,,,,,действующая,,4541 от 06.07.2012,Мещеряков                           Николай             Николаевич,"(47534)2-43-97,  89204736541-ЕМ, 89202333339-НН",1,1,,11/5/2002,1026801115582,25.09.2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,"ООО ""Союз""",                                 6801003639,680101001,"Тамбовская область, Бондарский р-н, с. Бондари, ул. Советская,2",,"1.с.Керша,ул.Советская,2,магазин    ",,68,68,розничная продажа алкогольной продукции,, 68 МЕ ,004759,Управление по развитию промышленности и предпринимательства Тамбовской области,12.07.2012,12.07.2013,,,,,действующая,,4534 от 04.07.2012,Уткина                           Ирина                              Александровна,(47534)                                     2-21-96                         8-915-663-23-85,1,1,,6/8/2006,1066828015506,26.09.2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
