"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, лицензий, действие которых приостановлено, и аннулированных лицензий на территории Сегежского муниципального района Республики Карелия",,,,,,,,
на 1января 2012 года,,Лицензирующий орган: Администрация Сегежского муниципального района,,,,,,
№,"Лицензия (Л),
копия (К)",,Срок действия лицензии,,Продление лицензии,,,
,," ОФПР, название, место нахождения, телефон, 
ФИО руководителя",начало ,конец,на срок по ,,,
1,2,3,4,5,6,,,
65,Л,"ООО,Волна,Сегежа,Речная,7а,Агеев Г.Ю.,426-92",31/07/07,01/08/12,,,,
66,Л,"ООО,Лотос,Сегежа,Спиридонова,37-32,Васильев В.С.,742-67 ",27/07/07,26/07/12,,,,
67,Л,"ООО,Тиана,пгт.Надвоицы,Строителей,30-51,Ильина А.М.,38-923",30/10/07,29/10/12,,,,
68,К,"ООО,Тиана,пгт.Надвоицы,Строителей,30-51,Ильина А.М.,38-923",30/10/07,29/10/12,,,,
69,Л,"ООО,Норд,п.Валдай, Строительная,1,Олевярская Л.В.,32-540",18/12/07,18/12/12,,,,
74,Л,"ООО,Кристалл,пгт.Надвоицы,Строителей,14-65,Байрамов Р.Х.,921-221-00-16",17/07/08,15/07/13,,,,
75,Л,"ООО,Диана,пгт.Надвоицы,50 лет Октября,39-43,Дзюба Н.Н.,921-015-01-96",23/12/08,23/12/13,,,,
76,К,"ООО,Диана,пгт.Надвоицы,50 лет Октября,39-43,Дзюба Н.Н.,921-015-01-96",23/12/08,23/12/13,,,,
78,Л,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,31/03/14,,,,
79,К,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,31/03/14,,,,
80,К,"ООО,Универсал,Сегежа,Партизанская,1,Качанова Л.Е.4-31-06",31/03/09,31/03/14,,,,
81,Л,"ООО,Велена,Сегежа,Лесокультурная,4,Преминина Е.В.7-46-74",14/08/09,14/08/14,,,,
82,Л,"ООО,Н-комплекс,Петрозаводск,Заводская,4,Комарова О.С.,921-224-50-99",29/12/09,29/12/14,,,,
85,Л,"ООО,СМК,Сегежа,Антикайнена,3,Киселёв В.М.,7-21-20",15/04/11,15/04/12,,,,
86,Л,"ООО,Комфорт-сервис,Спиридонова,8,Муратова Ж.Б.,7-49-01  ",24/06/11,24/06/12,,,,
87,Л,"ООО,Дуэт,п.г.т.Надвоицы,Металлургов, 7-31,Ряхина Л.В.,5-91-98",25/07/11,25/07/12,,,,
5,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2,корп.7, Литер А, А.Е. Нор-Аревян,324-15-66",27/03/07,27/03/12,,,,
6,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2,корп.7, Литер А, А.Е. Нор-Аревян,324-15-66",27/03/07,27/03/12,,,,
7,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2,корп.7, Литер А, А.Е. Нор-Аревян,324-15-66",27/03/07,27/03/12,,,,
8,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2,корп.7, Литер А, А.Е. Нор-Аревян,324-15-66",27/03/07,27/03/12,,,,
9,К,"ЗАО,Дикси-Петербург,филиал Петрозаводск,Санкт-Петербург,Митрофаньевское шосе,2,корп.7, Литер А, А.Е. Нор-Аревян,324-15-66",27/03/07,27/03/12,,,,
14,К,"ООО,Продуктовый рай,Петрозаводск,Архипова,30,78-90-50,Беленков Б.И.",30/12/08,30/12/13,,,,
15,К,"ООО,Продуктовый рай,Петрозаводск,Архипова,30,78-90-50,Беленков Б.И.",30/12/08,30/12/13,,,,
16,К,"ООО,Продуктовый рай,Петрозаводск,Архипова,30,78-90-50,Беленков Б.И.",30/12/08,30/12/13,,,,
17,К,"ООО,ТД Интерторг,Ленинградская обл.,Тосненский район,г.Никольское,Комсомольская,14пом.6,Абдуллаев М.А.о.9218009517",14/08/09,14/08/14,,,,
18,К,"ООО,НДХ,Петрозаводск,пр.Первомайский,1,70-43-48,Петровский О.В.",06/02/07,06/02/12,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,                         ,,,,,,
