тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ООО,Сказка,"Борзинский р-он, п.Шерловая Гора, ул.Ленина 8",,7529000413,752901001,магазин,Борзинский район,п. Шерловая Гора,ул.Ленина 8,762160,09-Jul-03,09-Jul-03,09-Jul-13,,,,,,
о выдаче,ООО,Уголек,"Борзинский р-он, п.Шерловая-1, ул.50 лет Октября, 22",,7529001054,752201001,магазин,Борзинский район,п. Шерловая-1,ул.Дзержинского 4,Г076244,11-Jun-04,11-Jun-04,11-Jun-14,,76244,,,,
о выдаче,ООО,Чита-Алкоголь,"Забайкальский край, г. Чита, Центральный район, ул. Хабаровская, 5",1037550007472,7536050567,753601001,магазин,г. Чита,г. Чита,"ул.Железобетонная, 6 б, помещение 2",0308,30-Oct-06,09-Aug-12,09-Aug-13,75МЕ,003220,,,,
о выдаче,ООО,Агаевы,"Читинская область, Приаргунский район, п. Молодежный, ул. Целинная, 8",,7518006325,751801001,"отдел в магазине ""Центр""",Приаргунский район,п. Молодежный,"ул. Целинная, 8",851,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000983,В,001030,,
о выдаче,ООО,РИМ,"Читинская область, Читинский район, пгт. Атамановка, Ул. Гагарина, 8-а",,7524014229,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Гагарина, 8-а",850,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000892,В,001029,,
о выдаче,ООО,Владимир,"Читинская область, г. Чита, ул. Комсомольская, 10",,7536073885,753601001,"отдел в магазине ""Центр""",г. Чита,г. Чита,"ул. Комсомольская, 10",852,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000984,В,001031,,
о выдаче,ООО,"Торговый Дом ""Виолина""","г. Чита, ул. Выстовочная, 2",,7536005797,753601001,"кафе ""Виолина""",г. Чита,г. Чита,"ул. Выставочная, 2",853,08-Oct-07,08-Oct-07,07-Oct-12,75МЕ,000985,В,001032,,
о выдаче,ООО,Парк-Отель,"Читинская область, г. Чита, ул. Магистральная, 78",,7536083812,753601001,организация общественного питания,г. Чита,г. Чита,"Железнодорожный район, ул. Магистральная, 78",856,09-Oct-07,09-Oct-07,08-Oct-12,75МЕ,000989,В,001038,,
о переоформлении,ООО,Карат,"Забайкальский край, г. Чита, ул. Пограничная,17",,7536073902,753601001,организация общественного питания,г. Чита,г. Чита,"Центральный район, ул. Чкалова, 149 (не осуществляют)",855,09-Oct-07,09-Oct-07,08-Oct-12,75МЕ,000988,В,001037,,
о выдаче,ООО,Лаура,"Читиснкая область, г.Чита, ул.Крымская,5",,7536070242,753601001,бар с посадочными местами,г. Чита,г. Чита," ул.Крымская,5",857,25-Oct-07,25-Oct-07,24-Oct-12,75МЕ,000993,В,001044,,
о переоформлении,ООО,Абсолют,"Читинская область, г. Чита, ул. Недорезова, 32",,7536081981,753601001,"отдел в ТЦ ""Парад""",г. Чита,г. Чита,"Центральный район, ул. Ленина, 43, помещение 9",858,29-Oct-07,29-Oct-07,28-Oct-12,75МЕ,000995,ВВ,000231,,
о переоформлении,ООО,Андрей,"Читинская область, Акшинский район, с. Могойтуй, ул. Школьная, д.6",1077515000045,7501002805,750101001,отдел в магазине,Акшинский район,с. Акша,"ул. Карла Маркса, д.25",0278,31-Oct-07,31-Oct-07,30-Oct-12,75МЕ,003167,,,,
о выдаче,ООО,Алькор,"Читинская область, г. Чита, ул. Строителей, 23",,7537000223,753701001,магазин,г. Чита,г. Чита,"Черновский район, ул. Строителей, 23",860,31-Oct-07,31-Oct-07,30-Oct-12,75МЕ,000998,В,001048,,
о переоформлении,ООО,Вест,"Забайкальский край, п.г.т.Агинское, ул. Ленина, 180 а",1078080001482,8001014466,800101001,магазин,Агинский район,пгт. Агинское,ул. Ленина 180-А магазин «Вест»,178,22-Nov-07,22-Nov-07,21-Nov-12,,,,,,
о выдаче,ООО,Нордик,"Читинская область, г. Чита, ул. Чкалова, 93",,7536001320,753401001,"бар в кафе ""Трактир""",г. Чита,г. Чита,"Центральный район, ул. Чкалова, 93",861,23-Nov-07,23-Nov-07,23-Nov-12,75МЕ,001000,В,001058,,
о переоформлении,ООО,Ангара,"Забайкальский край, г. Чита, ул. Шилова, 100, строение 2",1077536011717,7536085785,753601001,"бар в кафе ""Шоколадница""",г. Чита,г. Чита,"ул. Ленинградская, 36, пом. 20",160,27-Nov-07,27-Nov-07,26-Nov-12,,,,,,
о переоформлении,ООО,Старс-Инвест,"Забайкальский край, г. Чита, ул. Новозаводская, 38",1077536004061,7536078844,753601001,"отдел в магазине ""Продукты""",г. Чита,г. Чита,"Ингодинский район, ул. Новозаводская, 38",0586,27-Nov-07,27-Nov-07,26-Nov-12,75МЕ,002538,,,,
о выдаче,ООО,Байкал,"Читинская область, Шилкинский район, п. Первомайский, ул. Пролетарская, 3",,7527007981,752701001,отдел в магазине,Шилкинский район,п. Первомайский,"ул. Пролетарская, 3",864,27-Nov-07,27-Nov-07,26-Nov-12,75МЕ,001003,В,001061,,
о выдаче,ООО,Удача,"Читинская область, г. Чита, ул. Июньская, 4",,7536083266,753601001,магазин,г. Чита,г. Чита,"Ингодинский район, 1 мкр. Д. 4, пом.16",866,28-Nov-07,28-Nov-07,27-Nov-12,75МЕ,001007,В,001065,,
