"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ольхонскому районному МО ",,,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,,
,,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,,4,5,6,7,8,9,10,
1,Хужирское сельское потребительское общество ИНН 3836000087,МРИ ФНС №12 по Иркутской обл.И УОБАО,,А21875 №10 от 29.08.2006 по 29.08.2011 продлена А214937 №58 от 29.08.11 по 30.08.13. переоформлена на          А 214945 №65                от 20.07.2012.               с 20.07.2012 г.             по 30.08.2013г.,"1. п.Хужир ул.Байальская 38 магазин ""Гастроном""",,,,,,
2,ООО «Наратэй»                      ИНН 3836002976,МРИ ФНС №12 Иркутской обл,,А 214916№42                        от 12.07.2010                               с 13.07.2010г.                        по 13.07.2015г.,"Б.Камыши-1Куркутский залив Малого море,             Ресторан  «Баатар»",,,,,,
3,ООО «Орса»                            ИНН 3836002790,МРИ МНС №12 по Иркутской обл.и УОАБО,,А 214864 № 1от 26.06.06г.с 27.06.2006г.по 27.06.2011г. Продлена на А 214928 №48 от 28.06.2011 с 28.06.2011 по 28.06.2016,1.с.Еланцы ул.Батагаева52 магазин «Северный»                      2. м.Куркут магазин «Куркут»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,ООО «Торговый Дом «Бугульдейка»»                      ИНН 3836003610,МРИ МНС №12 по Иркутской обл. и УОАБО,,А 214865 №2                      от 27.06.06г.                         с 28.06.06г.по 28.06.11г. Продлена  А 214929 №48 от 29.06.2011 с 29.06.2011по 29.06.2012,с.Бугульдейка                 пер Больничный №4 Магазин «Спутник»,,,6/30/2012,,,
,,,,,,,,41090,,,
,,,,,,,,41090,,,
,,,,,,,,41090,,,
,,,,,,,,41090,,,
5,ООО « Алтан»                         ИНН 3836003345,МРИ ФНС  №12 поИркутской обл.и УОАБО,,А 214904 №6                        от 22.12.2008                        с 22.12.2008г                        по 22.12.2013.,1.с.Еланцы ул.Батагаева 19 маг. «Алтан»                        2. с.Сахюрта ул.Центральная 4           маг. «Алтан»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,Еланцинское сельское потребительское общество  ИНН 3836002510,МРИ ФНС №12 по Иркутской обл и УОАБО  ,,А 214876 №55             от 13.10.2006.               с 13.10.2006 г.             по 13.10.2011г. Продлена А214938 №59 от 13.10.2011 с 14.10.2011 по 14.10.2012,1.с Еланцы ул Советская 14                                                 2. с.Еланцы ул.Ленина13 3.с.Черноруд ул.50 лет Победы 11                   4.с.Куреть ул.Копыловой 5. д.Косая-Степь ул.Верховая 28 6.д.Таловка ул.Молодежная,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,ООО «Кундой»                            ИНН 3836003881, МРИ ФНС №12 по Ирк. Области и УОБАО,,А 214880№ 14                    от 28.02.07.                           с 28.02.2007. по 28.02.2012.,"с.Алагуйул.Центральная №4 магазин, отдел по продажи алк. продукции",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,ООО «Мираж»                            ИНН  3836004194,МРИ ФНС №12 по Иркутской обл и УОБАО,,А 214884 № 17                      от 15.06.2007                           с 15.06.2007г.                           по 08.05.2012г.       (переоформление),"с.Сахюртаул.Центральная№26,                                1.магазин «Саяны»,         2. магазин «У причала»",,,5/9/2012,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9,ООО «Нива»                                    ИНН 3836004250,  МРИ ФНС №12 по Иркутской обл и УОБАО,,А 214887 № 19                   от 02.07.2007                        с 02.07.2007 по 02.07.2012,д.Тонта                    магазин «Нютаг» ,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
10,ООО «Чара»                             ИНН 3836003680,МРИ ФНС №12 по Иркутской обл. и УОБАО,,А214887 №20                    от 14.07.2007                        с 14.07.2007 по 14.07.2012,м.Хужир-Нугэ бар базы отдыха «Чара»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11,ООО «Бриз»                               ИНН 3836003112,МРИ ФНС №12 по Иркутской области,,А 214888  №21                        от 01.08.2007                        с 01.08.2007г                         по 01.08.2012,д.Курма                           Бар базы отдыха «Ольтрек»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
12,ООО «Тогот»                           ИНН 3836002895,МРИ ФНС №12 по Иркутской обл. и УОАБО,,А 214889 №22                    от 16.10.07                            с 16.10.07                                 по 16.10.2012,"м.Гуроо-Ушоон Мухорский залив, ресторан базы отдыха «Тогот»",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
13,ООО «Гранд Байкал»             ИНН 3808079832,Инспекция МНС России по Правобережному округу г.Иркутска,,А 214891 №23                    от 02.11.07                             с 02.11.2007по 02.11.2012,м.Калтыгей бар базы отдыха «Зама»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
14,ООО «Хара-Хужир»              ИНН 3836003384,МРИ ФНС №12 по Иркутской обл. и УОАБО,,А 214892 №24                   от 02.11.2007                        с 02.11.2007.                       по 02.11.2012.,1.с.Еланцы ул.Советская 5 кафе «Эжыдээ» 2. с.Еланцы ул.Советская 5 магазин «Эжыдээ»         3. м.Куркут   кафе «Чайка»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15,ООО «Фрегат»                         ИНН 3836004324,МРИ ФНС №12 по Иркутской области и УОБАО,,А 214893 №25                     от 19.06.08                            с 19.06.08                               по 19.06.13 переоформлена на          А 214922 №45 от 07.02.2011 с 07.02.2011 по 19.06.2013,"1. п.Хужир ул.Байкальская 55-1  магазин «Баргузин»                                                                                                                    2. д.Харанцы ул.Лесная 1 магазин ""Удача""",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16,ООО «Сарма»                           ИНН 3836000633,МРИ ФНС №12  по  Иркутской обл.и УОБАО,,А 214894 №26                    от 23.06.08.                               с 23.06.08                                 по 23.06.13,м.Хужир-Нугэ              Бар базы отдыха «Алтан»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
17,ООО «Аверон»                             ИНН 3808068510,Инспекцией МНС России по Правобережному округу г.Иркутск,,А 214896 №27                    от 25.06.08.                           с 25.06.08 по 25.06.13,м. Халы                  магазин базы отдыха «Хадарта»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
18,ООО «Ленокс»                          ИНН 3836004349,МРИ ФНС №12 по Иркутской области и УОБАО,,А 214897 №28                    от 30.06.08                            с 30.06.08 по 30.06.13,с.Онгурен ул.Школьная 12 «А» магазин «Ленокс»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
19,ООО «Звезда Байкала»                 ИНН 3836003063,Инспекцией ФНС по Правобережному округу г.Иркутска,,А 214899 №29                   от 25.07.08.                          с 25.07.08. по 25.07.13,м.Улюрба                      кафе базы отдыха «Звезда»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
20,ЗАО «Фрегат»                         ИНН 3836003137,Инспекцией ФНС по Свердловскому округу г.Иркутска,,А 214899 №30                    от 29.07.08.                            с 29.07.08 по 29.07.13. переоформлена на  А 214939 №60 от 28.12.2011 с 28.12.2011 по 29.07.2013,м.Бурлюк бар базы отдыха «Фрегат»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21,ООО «Сакура»                         ИНН 3808016991,Инспекцией ФНС по Право-бережному округу г.Иркутска,,А 214900 №31                   от 04.08.2008г.                     с 04.08.2008                       по 04.08.2013,м.Хужир-Нугэ            кафе базы отдыха «Малое море»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
22,ООО «Серебряный источник» ИНН 3810052330,Инспекцией ФНС по Ленинскому округу г.Иркутска       ,,А 214902 №32                     от 20.08.08                            с 20.08.08.    по 20.08.13.,м.Курма бар базы отдыха «Серебряный источник»,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
23,ООО «Эдем»                            ИНН 3836004846,МРИ ФНС №12 по Иркутской обл.,,А 214903 №33                    от 27.08.08                            с 27.08.08.по 27.08.13.,"с.Еланцы ул.Пронькина 18, магазин «Эдем»",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
