41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,"ПО ""Тимирязевец""",7014029620,53091971,Томский район,"с. Тимирязевское, ул. Новая, 11 в",Томский район,"с. Барабинка, ул. Советская, 25 (магазин).",ТОМ,005649АЛ07,70МЕ,2272,5/23/2012,5/23/2013,
Общество с ограниченной ответственностью,"ООО ""Династия""",7014017208,44240001,Томский район,"с. Кафтанчиково, ул.Коммунистическая,92",Томский район,"с. Кафтанчиково, ул. Коммунистическая. 92 (магазин)",ТОМ,005732АЛ02,70МЕ,2373,5/23/2012,5/23/2013,
Потребительское общество,Турунтаевское потребительское общество,7014001159,34046315,Томский район,"с.Турунтаево, ул.Октябрьская, 1",Томский район,,ТОМ,005765АЛ00,70МЕ,2411,5/23/2012,5/23/2013,
Государственное учреждение,"ОГАУ ""Центр делового сотрудничества и отдыха ""Томь""",7014024928,49383426,Томский район,с.Калтай,Томский район,,ТОМ,005469АЛ00,70МЕ,2051,5/23/2012,5/23/2013,
Общество с ограниченной ответственностью,"ООО ""Студенческий""",7017000509,20893075,г. Томск,"ул. Усова,17",Томский район,"с. Корнилово, пер. Водяной, 1а",ТОМ,003022АЛ02,70МЕ,480,5/23/2012,5/23/2013,
Общество с ограниченной ответственностью,"ООО ""Велес-97""",7018042572,46632857,г. Томск,"пер. Буяновский, 6 - 1",Томский район,"д. Воронино, ул. Центральная, 74",ТОМ,003073АЛ01,70МЕ,1003,8/2/2012,7/10/2013,
Потребительское общество,"ПО ""Томский пищекомбинат""",7014036810,46627454,Томский район,"с.Наумовка, ул. Пролетарская, 40",Томский район,"с. Наумовка, ул. Пролетарская, д.40",ТОМ,003119АЛ03,70МЕ,1010,9/6/2012,7/11/2013,
Общество с ограниченной ответственностью,"ООО ""Паллада""",7014026971,493919986,Томский район,"п. Зональная Станция, ул. 40 лет Победы, 2",Томский район,,ТОМ,003120АЛ00,70МЕ,1408,7/27/2012,7/27/2013,
Общество с ограниченной ответственностью,"ООО ""Ирида""",7017112040,73747853,г.Томск,"ул. Алтайская, 90-116",Томский район,"с. Богашево, ул. Советская, 2",ТОМ,003140АЛ01,70МЕ,1025,7/27/2012,7/27/2013,
Общество с ограниченной ответственностью,"ООО ""Удача""",7017111752,73746285,Томский район,"п. Зональная Станция, ул. 40 лет Победы, 1",Томский район,,ТОМ,005009АЛ00,70МЕ,1045,7/27/2012,7/27/2013,
Общество с ограниченной ответственностью,"ООО ""Санаторий ""Синий Утес""",7014041634,288387756,Томский район,"п. Синий Утес,дом отдыха ""Синий Утес""",Томский район,,ТОМ,003200АЛ00,70МЕ,1056,7/27/2012,7/27/2013,
Общество с ограниченной ответственностью,"ООО ""У лесхоза""",7014003124,36281546,Томский район,"с.Корнилово, ул.Кедровая, д.7",Томский район,,ТОМ,003283АЛ00,70МЕ,1092,7/27/2012,7/27/2013,
Общество с ограниченной ответственностью,"ООО ""Служба бортового питания""",7014043790,76655726,Томский район,п. Аэропорт,Томский район,,ТОМ,003537АЛ00,70МЕ,1211,11/1/2011,11/1/2012,
Общество с ограниченной ответственностью,"ООО ""Вера-Л""",7014031675,53103548,Томский район,"п.Зональная Станция,ул.Молодежная,29-1",Томский район,,ТОМ,005149АЛ00,70МЕ,1309,11/1/2011,11/1/2012,
Общество с ограниченной ответственностью,"ООО ""Выбор""",7014045117,,Томский район,"с. Богашево, ул. Народная, 3",Томский район,,ТОМ,005291АЛ00,70МЕ,1507,1/18/2008,1/18/2013,
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",Томский район,"д. Мазалово, ул. Г.Николаевой, 2",ТОМ,003906АЛ17,70МЕ,1816,2/15/2008,2/15/2013,
Общество с ограниченной ответственностью,"ООО ""Сидоров""",7014045269,,Томский район,"с. Октябрьское, мкр. Солнечный, д. 7, кв. 2",Томский район,,ТОМ,005277АЛ00,70МЕ,1492,3/5/2008,3/5/2013,
Общество с ограниченной ответственностью,"ООО ""Премьера""",7014044723,,Томский район,"с. Богашево, ул. Советская, 1",Томский район,"634570 с. Белоусово, ул. Мира, 8 (магазин)",ТОМ,005670АЛ01,70МЕ,2296,3/5/2008,3/5/2013,
Общество с ограниченной ответственностью,"ООО""Нива+""",7014045519,,Томский район,"п. Зональная станция,ул. 40 лет победы,1Б/1",Томский район,,ТОМ,005789АЛ00,70МЕ,2436,7/16/2009,3/5/2013,
