                                                      Атяшевский район,,,,,,,,,,
К-во,Ре,Серия,"Наименование организации,",,Адреса,Ко-тво,Срок,№ ,Дата,Ф.И.О.
орга,ги,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя
низа,ст,,,,,объектов,лицензии,факс,новки и,
ции,ра,,,ИНН,,,,,возобнов-,
,ци,,,ОГРН,,,,,ления,
,он,,,,,,,,лицензии,
,№,,,,,,,,,
1,280,13 МЕ,"Атяшевское райпо, п. Атяшево, ул.Горюнова. 10",1303017238,"Филиал ""Атяшевский"" Атяшевского райпо,",18,16/11/09,2-14-33,,Казаев Николай Михайлович
,,001044,Всего - 60,,"м-н ТПС с. Атяшево, ул. Советская, 6",,16/11/13,2-22-98,,
,,,,,"м-н №3 с. Батушево, ул. Ленина, 1а, Атяшевский р-н",,,2-16-23,,
,,,,,"м-н ТПС, с. Капасово, ул. Центральная, 73, Атяшевский район",,,,,
,,,,,"м-н ТПС с. Алашеевка, ул. Новая, 5, Атяшевский район",,,,,
,,,,,"м-н ТПС, с. Селищи, ул. Молодежная, 4а, Атяшевский",,,,,
,,,,,"м-н ТПС с. Ш. Майдан, ул. Первомайская, 8, Атяшевский",,,,,
,,,,,"м-н ТПС с. Тетюши, ул. Ленина, 103, Атяшевский",,,,,
,,,,,"м-н ТПС с. Б. Манадыши, ул. Молодежная, 1а, Атяшевский",,,,,
,,,,,"м-н ТПС с. Чебудасы,  ул. Кочеткова,100, Атяшевский",,,,,
,,,,,"м-н ТПС с. Р. Дубровки, ул. Советская, 8, Атяшевский",,,,,
,,,,,"м-н ТПС с. Вечерлеи, ул. Горького, 9, Атяшевский",,,,,
,,,,,"м-н ТПС с. Ахматово, ул. Ленина, 1, Атяшевский",,,,,
,,,,,"м-н ТПС с. Сосуновка, ул. Советская, 1, Атяшевский",,,,,
,,,,,"м-н ТПС с. Ушаковка, ул. Фрунзе,13, Атяшевский",,,,,
,,,,,"м-н №1 с. Атяшево, ул.Октябрьская,73а",,,,,
,,,,,"м-н №2 с. Атяшево, ул. Октябрьская,183а",,,,,
,,,,,"м-н №4 с. Атяшево, ул.Первомайская,2а",,,,,
,,,,,"м-н ТПС, с. Батушево, ул. Ленина, 47а, Атяшевский р-н",,,,,
,,,,,"Филиал ""Гастроном"" Атяшевского райпо",11,,2-21-03,,
,,,,,"м-н ""Продукты"" № 7, п. Атяшево, ул. Гражданская",,,,,
,,,,,"м-н № 5 п. Атяшево, ул. Горюнова, 5",,,,,
,,,,,"м-н ""Продукты"" № 1, п. Атяшево, ул. Ценральная, 26",,,,,
,,,,,"м-н ""Продукты"" № 9, п. Атяшево, ул. Микрорайон 1, 28",,,,,
,,,,,"м-н ""Продукты"" № 8, п. Атяшево, ул. Транспортная, 4",,,,,
,,,,,"м-н ""Продукты"" № 10, п. Атяшево, Микрорайон 2, 15",,,,,
,,,,,"м-н ТПС с. Кулясово, ул. Большевистская, 24, Атяшевский",,,,,
,,,,,"пав-он с. Кулясово, ул. Большевистская, Атяшевский",,,,,
,,,,,"м-н ТПС совхоз ""Сараст"" с. Атяшево, ул. Лесная, 24",,,,,
,,,,,"м-н №3 п. Атяшево, ул. Горюнова, 3",,,,,
,,,,,"м-н №4 п. Атяшево, ул. Горюнова",,,,,
,,,,,"Филиал ""Козловский"" Атяшевского райпо",21,,,,
,,,,,"м-н ""Продукты"", с. Козловка, ул. Советская, 73, Атяшевский ",,,,,
,,,,,"м-н ""Дежурный №2"" с. Козловка, ул. Гагарина, 11, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Пилесево, ул. Горького, 79, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Санеевка, ул. Куйбышевская, 33, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Н.Сыреси, ул. Центральная, 37, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Чукалы на Нуе, ул. Зеленая, 44, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Каменки, ул. Молодежная, 9, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Елхи,  ул.Буденовская, 16, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Покровское, ул. Центральная, 5, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Баево, ул. Колхозная, 28, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Чукалы на Вяжне, ул. Советская, 33, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Низовка, ул. Первомайская, 40, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Киржеманы, ул. Центральная, 9, Атяшевский ",,,,,
,,,,,"м-н ТПС ,п. Пенькозавод, ул. Пенькозаводская, 26, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Челпаново, ул. Молодежная, 19, Атяшевский ",,,,,
,,,,,"м-н ТПС, с.Тазнеево, ул. К.Маркса, 1, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Лобаски, ул. Кирова, 1, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Андреевка, ул. Буденного, 48, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Знаменское, ул. Заозерная,19, Атяшевский ",,,,,
,,,,,"м-н с. Атяшево, ул. Горюнова, 9, Атяшевский район",,,,,
,,,,,"м-н ТПС п. Атяшево, ул. Гражданская, 20",,,,,
,,,,,"Филиал ""Аловский"" Атяшевского райпо,",11,,,,
,,,,,"м-н с. Алово, ул. Советская, 191а, Атяшевский ",,,,,
,,,,,"м-н ТПС с. Тарасово, ул. Красная, 85, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Сабанчеево, ул. Советская, 6, Атяшевский ",,,,,
,,,,,"м-н ТПС с. М.Дубровки, ул. Октябрьская, 89, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Паранеи, ул. Октябрьская, 21, Атяшевский ",,,,,
,,,,,"м-н ""Продукты"", с. Дюрки, ул. Комсомольская, 52, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. Алово, ул. Советская, 3, Атяшевский ",,,,,
,,,,,"м-н ""Продукты"" с. Алово, ул. К.Маркса, 11, Атяшевский ",,,,,
,,,,,"м-н ТПС, с. М.Сыреси, ул. Октябрьская, 92, Атяшевский ",,,,,
,,,,,"м-н №3, с. Алово, ул. Октябрьская, 96, Атяшевский ",,,,,
,,,,,"м-н №5 с. Алово, ул. Советская, 4а, Атяшевский р-н",,,,,
1,281,13 МЕ,"ООО ""Общепит"", п. Атяшево, ул. Центральная, 26",1303068200,"кафе ""Восток"",п.Атяшево,ул.Центральная,26",8,16/11/09,2-23-02,,Ключагина Нина Михайловна
,,001045,,,"зак-ная-пельменная п. Атяшево, мкр., 2, д. 16а",,15/06/14,,,
,,,,,"кафе ""Встреча"", п. Атяшево, ул. Ленина, 48а",,,,,
,,,,,"зак-ная № 1, п. Атяшево, ул. Центральная, 26",,,,,
,,,,,"буфет, п. Атяшево, ул. Центральная, 9",,,,,
,,,,,"м-н ""Кулинария"", п. Атяшево, ул. Центральная, 26",,,,,
,,,,,"м-н ""Кулинария"" п. Атяшево, ,ул. Центральная, 18",,,,,
,,,,,"бар ""Людмила"" п. Атяшево, ул. Горюнова, 9",,,,,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-1"", п.Атяшево, ул.Центральная, 2",1,27/04/12,,,Исайкин Виктор Яковлевич
,,002026,"ул. Московская, 1",,,,23/12/16,,,
1,411,13 МЕ,"ОАО ""Агрофирма ""Октябрьская"", Лямбирскийр-н",1315012925,"м-н ""Птица"" №57 п. Атяшево, ул. Центральная, 42а",1,15/12/11,,,
,,001888," п. Б. Елховка,ул.Заводская.12 ",,,,15/04/14,,,
1,182,13 РМ,"ООО ""Гермес"" п. Атяшево, ул. Советская, 16",1328904880,"м-н ""Гермес"" с. Батушево, ул. Ленина, 46, Атяшевский район",3,29/06/12,55-49-90,,Казанцев Дмитрий Иванович
,,000072,,1051323017415,"м-н ""Гермес"" с. Дюрки, ул. Ленина, 47,  Атяшевский район",,29/06/13,89271953496,,
,,,,,"м-н ""Гермес"" с. Каменка, ул. Молодежная, 5, Атяшевский район",,,,,
1,147,13 МЕ,"ООО ""Перекресток"" с. Козловка, ул. Гагарина, 17",1303069388,"м-н с. Козловка, ул. Гагарина, 17, Атяшевский р-н",1,30/06/09,2-33-04,,Моторкина Любовь Ивановна
,,000902,Атяшевский район ,,,,30/06/14,89271828293,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Катюша-2"" п. Атяшево, ул. Мира, 11",27,29/06/12,,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"м-н ""Катюша-1"" п. Атяшево, ул. Октябрьская, 13",,15/03/13,,,
,,,,,"м-н ""Катюша-3"" п. Атяшево, ул. Ленина, 30, 1",,,,,
,,,,,"м-н ""Татьяна"" с. Лобаски, ул. К.Маркса, 1б, Атяш",,,,,
,,,,,"м-н ""Продукты"" с. Ушаковка, ул. Горюнова, 60а, Атяшевс",,,,,
