"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Качугский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
1,"Общество с ограниченной ответственностью «Надежда», 3830003317  ",Межрайонная инспекция Министерства  Российской Федерации по налогам и сборам  № 12 по Иркутской обл.,А № 218575 27.12.2008г 27.12.2013,"с.Заречное, ул.Центральная, 18 магазин д.Полосково, ул.Трактовая, 44 магазин с.Манзурка, ул.Трактовая, 37, магазин « Надежда»",,,,,,
2,Общество с ограниченной ответственностью «Виктория» 3830003331 ,Межрайонная инспекция  Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому национальному округу,    А                       № 218578 27.02.2006г 27.02.2011г продлена 27.02.2011 до 27.02.2012    ,"Манзурка, Трактовая, 37а, магазин Манзурка, Трактовая, 53а, магазин Карлук, Школьная, 19, магазин     Аргун, Нагорная, 1, магазин",,,28.02.2012 г,,,
3,Общество с ограниченной ответственностью «Теремок» 3830003349 ,Межрайонная инспекция  Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому национальному округу,А № 218581 31.07.2006г 31.07.2011г продлена 31.07.2011 до 31.07.2012 г,"с.Никилей, Трактовая, 42, магазин «Теремок» с.Никилей, Трактовая, 42,   БАР",,,,,,
4,Общество с ограниченной ответственностью «Рост» 3808133279 ,Инспекция Федеральной налоговой службы по Правобережному округу г.Иркутска,продлена 31.07.2011 до 31.07.2012 г вместо     38    МЕ № 002187 12.01.2010 31.07.2011,"1.п.Качуг, Юбилейная, 7 «В» , магазин «Фортуна» 2. п.Качуг, Седова, 2, магазин «Судостроитель» 3.с.Бирюлька, Ленина, 36, магазин 4.п.Качуг, Красноармейская, 50, магазин «Рост-1» Качугский район, 5.с.Залог, ул.Центральная № 18, магазин «Залог»,   6.   п.Качуг, ул.Юбилейная № 7,магазин ""Афина""",,,,,,
5,Общество с ограниченной тветственностью Торговый Дом «Экспресс» 3830003324   ,Межрайонная инспекция  Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому национальному округу,002215  19.07.2012  30.12.2013   вместо                  38  МЕ     002208    26.12.2011  по 30.12.2013 вместо             38  МЕ 002199 1.09.2010г 30.12.2013 вместо 38 МЕ № 002152 30.12.2008г 30.12.2013г,"1Иркутская область, Качугский район, .п.Качуг, ул.Седова 3, отдел ООО ТД “Экспресс» в  магазине «Экспресс» ИП Абдрахмановой Т.Ю.                                                              2.Иркутская область, Качугский район,  п.Качуг, ул.Победы, 7-2, отдел ООО ТД “Экспресс» магазине «Зина» ИП Абдрахмановой Т.Ю.    . 3.Иркутская область, Качугский район,  п.Качуг, ул.Юбилейная 7 Е отдел в магазине ""Пятёрка"" ИП Абдрахмановой Т.Ю.                              4.Иркутская область, Качугский район, .п.Качуг, ул.Юбилейная 7 Е отдел в баре ИП Абдрахмановой Т.Ю.",,,,,,
6,Общество с ограниченной ответственностью «Элит» 3830905812 ,Межрайонная инспекция  Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому национальному округу,38 МЕ  30.12.2011 по 30.12.2012,"1.Иркутская область ,п.Качуг,  ул.Каландарашвили  99-3 магазин.
2. Иркутская область, Качугский район, д.Шеметово, ул.Трактовая  11 магазин.                                                          3. Качуг, ул.Ленина  7, бар ""Дюдмила""
",,,11/4/2011,,,
7,Общество с ограниченной ответственностью «Альянс» 3830905851 ,Межрайонная инспекция федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,            МЕ 38 № 002156 24.01.2007г 24.01.2012г,"1.Иркутская область,п.Качуг, Каландарашквили 155, отдел в магазине ИП Тетериной Е.В.                2.Иркутская область, Жигаловский район,с.Петрово, ул.Ленская 51   отдел в баре ИП Тетериной Е.В.          3.Иркутская область, Жигаловский район,с.Петрово, ул.Ленская 51   отдел в магазине ИП Тетериной Е.В.                          ",,,1/25/2012,,,
8,Общество с ограниченной ответственностью «ИСТОК»  3824001008  ,Межрайонная инспекция МНС России № 1 по Иркутской области, Г 888555 27.01.2006 27.01.2011   продлена  до 27.01.2012,П.Качуг.улКрасной Звезды 23 магазин,,,2/1/2012,,Администрация М.О.Жигаловский район,
9,"Общество с ограниченной ответственностью ""Лагуна""              3830906573",Межрайонная инспекция федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,38 МЕ             № 002159    01.10.2007 г  01.10.2012,"п.Качуг, ул.Юбилейная № 18 ""А"" магазин  Перекрёсток""",,,,,,
