,,,,,,,,,,,
,"Реестр лицензий, текущий статус которых ""действует"" по состоянию на 08 октября 2012 г.",,,,,,,,,,
,,,,,,,,,,,
,,Параметры отбора:,,,,,,,,,
,,Статус лицензий = Действует,,,,,,,,,
,№,Лицензиант,ИНН,КПП,Данные лицензии,,,,,,Юридический адрес
,,,,,Номер ,Серия,Дата выдачи,Дата начала,Дата окончания,Текущий статус,
,1,Алатырское городское муниципальное унитарное предприятие «Школьное питание»,2122000354,212201001,528,ЛГN,21.10.2011,21.10.2011,20.10.2012,Действует,"429826, Чувашская Респ, , Алатырь г, , Стрелка мкр, 27, ,"
,2,Аликовское районное потребительское общество Чувашпотребсоюза,2102000490,210201001,834,ЛГN,09.04.2012,09.04.2012,29.12.2013,Действует,"429250, Чувашская Респ, Аликовский р-н, , Аликово с, Советская ул, 31, ,"
,3,Батыревское районное потребительское общество,2103000341,210301001,"1,080",ЛГN,25.07.2012,25.07.2012,14.06.2016,Действует,"429350, Чувашская Респ, Батыревский р-н, , Батырево с, Канашская ул, 12, , "
,4,Большесундырское районное потребительское общество,2112000080,211201001,822,ЛГN,16.03.2012,19.03.2012,18.03.2017,Действует,"429544, Чувашская Республика, Моргаушский район, с.Большой Сундырь, ул.Ленина, д.32"
,5,"Бюджетное учреждение Чувашской Республики ""Атал"" Администрации Главы Чувашской Республики",2128706315,213001001,944,ЛГN,17.05.2012,25.05.2012,24.05.2013,Действует,"428032, Чувашская Респ, , Чебоксары г, , Президентский б-р, 13, ,"
,6,Вурнарское районное потребительское общество,2104000665,210401001,856,ЛГN,04.04.2012,04.04.2012,01.04.2017,Действует,"429220, Чувашская Респ, Вурнарский р-н, , Вурнары пгт, Ж.Илюкина ул, 22, ,"
,7,"Государственное унитарное предприятие Чувашской Республики ""Комбинат питания Администрации Главы Чувашской Республики""",2128004316,213001001,961,ЛГN,04.06.2012,04.06.2012,16.10.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Президентский бульвар, 17, , "
,8,"Государственное унитарное предприятие Чувашской Республики ""Спортивно-оздоровительный комплекс ""Спорт"" Министерства по физической культуре, спорту и туризму  Чувашской Республики",2128022386,212801001,515,ЛГ,24.10.2011,24.10.2011,23.10.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Николаева ул, 21, ,"
,9,"Закрытое акционерное общество  ""Поволжский Центр тракторов и строительно-дорожных машин""",2127322475,211601001,"831,471",Г,26.09.2008,26.09.2008,25.09.2013,Действует,"429509, Чувашская Респ, Чебоксарский р-н, , Новое Атлашево п, Промышленная ул, 3, , "
,10,"Закрытое акционерное общество  ""Порт-сервис""",2116480536,211601001,"1,204",ЛГN,06.09.2012,06.09.2012,05.09.2014,Действует,"429526, Чувашская Респ, Чебоксарский р-н, , Крикакасы д, Чапаева ул, 50, ,"
,11,"Закрытое акционерное общество  ""РемСнабТехСервис""",2115902270,211501001,360,ЛГ N,19.07.2011,19.07.2011,18.07.2013,Действует,"429901, Чувашская Респ, Цивильский р-н, Цивильск г, , Николаева ул, 8, ,"
,12,"Закрытое акционерное общество ""Новочебоксарский Торговый Дом""",2124002082,212401001,987,ЛГN,25.06.2012,30.06.2012,29.06.2013,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , Винокурова ул, 16, ,"
,13,"Закрытое акционерное общество ""Ремонтное специализированное монтажное управление""",2128702960,213001001,134,ЛГ,21.04.2011,21.04.2011,03.12.2014,Действует,"606730, Нижегородская обл, Воскресенский р-н, Воскресенское рп, 40 лет Победы ул, дом № 16, кв.2"
,14,"Закрытое акционерное общество ""СИГОИС""",2101003812,210101001,"830,873",Г,25.12.2007,25.12.2007,24.12.2012,Действует,"429850, Чувашская Респ, Алатырский р-н, , Алтышево п, Заводская ул, 6, ,"
,15,"Закрытое акционерное общество ""Тандер""",2310031475,231001001,"1,282",ЛГN,03.10.2012,03.10.2012,02.04.2016,Действует,"350000, Краснодарский край, Краснодар г, Леваневского ул, 185"
,16,"Закрытое акционерное общество ""Трапеза""",2124022297,213001001,"830,905",Г,21.02.2008,21.02.2008,20.02.2013,Действует,"428014, Чувашская Респ, , Чебоксары г, , Чапаева ул, 8, 2,"
,17,"Закрытое акционерное общество ""Чебоксары ГАЗавтосервис""",2127021365,213001001,"831,473",Г,30.09.2008,30.09.2008,29.09.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Вурнарское ш, 17, ,"
,18,Ибресинское райпо,2105000160,210501001,"830,871",Г,01.01.2008,01.01.2008,31.12.2013,Действует,"429700, Чувашская Респ, Ибресинский р-н, , Ибреси пгт, Маресьева ул, 45, ,"
,19,Ишлейскому районному потребительскому обществу,2116450066,211601001,697,ЛГN,28.12.2011,28.12.2011,27.12.2016,Действует,"429520, Чувашская Респ, Чебоксарский р-н, , Ишлеи с, Базарная ул, 10, ,"
,20,Калининское районное потребительское общество,2104000658,210401001,"1,190",ЛГN,29.08.2012,29.08.2012,29.12.2016,Действует,"429212, Чувашская Респ, Вурнарский р-н, , Калинино с, Гагарина ул, 27,"
,21,Канашское районное потребительское общество,2106000621,210601001,"830,919",Г,01.03.2008,01.03.2008,28.02.2013,Действует,"429290, Чувашская Респ, , Канаш г, , Ленина пр-кт, 38а, ,"
,22,Комсомольское районное потребительское общество,2108000465,210801001,196,ЛГ,14.06.2011,14.06.2011,13.06.2016,Действует,"429140, Чувашская Респ, Комсомольский р-н, , Комсомольское с, Канашская ул, 29, ,"
