"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
1,"ГПКО Государственное предприятие Кемеровской области ""Зеленый дворъ"", ИНН - 4250001117","650099, г. Кемерово, пр-кт. Советский, дом.62","Кемеровский р-н, с. Березово,  (бар); Кемеровский р-н, с. Березово,  (ресторан); г. Кемерово, пр-кт. Советский д.58 (буфет в столовой); г. Кемерово, пр-кт. Советский д.62 (буфет в столовой); г. Кемерово, пр-кт. Советский д.63 (буфет)","лицензия № ОЛ-3388-РПА, Д № 489707, 12.10.2006",c 08.12.2004 по 08.12.2007 продлена с 10.12.2010 по 09.12.2013,
2,"ЗАО Газпромнефть-Кузбасс, ИНН - 4217035133, ОГРН - 1024201752662","650036, г. Кемерово, ул. Мирная, дом.2","Чебулинский р-н, Новосибирск 344 км. автомобильной дороги (магазин при АЗС № 44) - розничная продажа алкогольной продукции с содержанием этилового спирта не б; Промышленновский р-н, с. Журавлево, ул. Центральная д.96 АЗК № 144 (магазин); Таштагольский р-н, пгт. Шерегеш, ул. Вокзальная АЗС № 62 (магазин); Топкинский р-н, п. Рассвет,  АЗС № 65 (магазин); Тяжинский р-н, пгт. Итатский,  АЗС № 94 (магазин); Прокопьевский р-н,  а/д Ленинск-Кузнецкий-Новокузнецк-Междуреченск, 123 км + 100м. АЗС № 142 (магазин ); г. Гурьевск, пер. Нефтяников д.2 АЗС №23 (магазин); г. Кемерово, ул. Вахрушева д.западнее к (магазин при АЗС №3) розничная продажа алкогольной продукции с содержанием; г. Кемерово, ул. Тухачевского д.южнее здан (магазин при АЗС №5) розничная продажа; г. Кемерово, ул. Щетинкина АЗС № 10 (магазин); г. Кемерово, ул. Нахимова АЗС № 4 (магазин); г. Кемерово, ул. Таврическая АЗС № 8 (магазин); г. Киселевск, ул. Транспортная д.35 АЗС № 137 (магазин); г. Киселевск, ул. Привольная АЗС № 28 (ма","лицензия № ОЛ-7015-РПА, Д № 488284, 31.03.2008",c 13.09.2007 по 13.09.2012,
,,,"газин); г. Ленинск-Кузнецкий, ул. Пригородная д.2А (магазин при АЗС № 39) розничная продажа алкогольной продукции с содержанием этилового спирта не бол; г. Ленинск-Кузнецкий, ул. Шевцовой д.25 АЗС № 34 (магазин); г. Осинники, проезд Магистральный д.16А (магазин на АЗС); г. Полысаево, Ленинск-Кузнецкий-Между 15 км автодороги (магазин при АЗС №37) розничная продажа; г. Полысаево, Ленинск-Кузнецкий-Между 15 км автодороги (магазин при АЗС №38) розничная продажа; г. Прокопьевск, ул. Правды д.3 АЗС № 146 (магазин); г. Прокопьевск, ул. Вокзальная д.1 АЗС № 147 (магазин); г. Таштагол, ул. Островского д.1 АЗС № 58 (магазин); г. Юрга, пр-кт. Победы д.39А АЗС № 80 (магазин)",,,
3,"ЗАО КУЗБАССПРОДСЕРВИС, ИНН - 4220016187, ОГРН - 1024201756259","654063, г. Новокузнецк, ул. 1 Мая, дом.6","г. Новокузнецк, ул. 1 Мая д.10А (магазин); г. Новокузнецк, ул. Даурская д.1 (магазин); г. Новокузнецк, ул. Спасская д.56А (магазин)","лицензия № ОЛ-3481-РПА, Д № 451277, 24.12.2004",c 27.12.2004 по 27.12.2007 продлена с 28.12.2007 по 27.12.2012,
4,"ЗАО Китэк, ИНН - 4243015060, ОГРН - 1024202237058","652210, Тисульский р-н, пгт. Тисуль, ул. Ленина, дом.61","г. Кемерово, ул. Чкалова д.10 (ресторан) - розничная продажа алкогольной продукции с содержанием этилового спирта не более 15 % об","лицензия № ОЛ-10991-РПА, 42МЕ № 002598, 22.07.2011",c 22.07.2011 по 21.07.2014,
5,"ЗАО Новокузнецкий винодельческий завод, ИНН - 4216001389, ОГРН - 1024201758349","654000, г. Новокузнецк, проезд Ангренский, дом.3","г. Новокузнецк, ул. Циолковского д.36 (магазин); г. Новокузнецк, ул. Красилова д.1Б (магазин); г. Новокузнецк, ул. Новаторов д.13 (магазин); г. Новокузнецк, ул. Мурманская д.26 (магазин)","лицензия № ОЛ-0799-РПА, Д № 052890, 30.07.2002",c 18.02.2002 по 18.02.2005 продлена с 20.02.2008 по 20.02.2013,
6,"ЗАО Пеликан, ИНН - 4213005900, ОГРН - 1054213010202","652150, г. Мариинск, ул. Рабочая, дом.7","Чебулинский р-н, пгт. Верх-Чебула, ул. Советская д.1А (магазин); Чебулинский р-н, с. Усть-Серта, ул. Горького д.32 (магазин); Чебулинский р-н, с. Алчедат, ул. Советская д.44 (магазин); Чебулинский р-н, с. Усть-Чебула, ул. Никитина д.78 (магазин); Чебулинский р-н, пгт. Верх-Чебула,  район Агротехснаба (павильон); Чебулинский р-н, пгт. Верх-Чебула,  район автостанции (павильон); Чебулинский р-н, пгт. Верх-Чебула,  район торгового ряда (павильон); г. Мариинск, ул. Ленина д.1Г (магазин); г. Мариинск, ул. Пальчикова д.54 (магазин); г. Мариинск, ул. Рабочая д.7 (магазин); г. Мариинск, ул. 50 лет Октября д.76 (магазин); г. Мариинск, ул. Дорожная д.1 (павильон) розничная  продажа алкогольной продукции с содержанием этилового спирта не более 15% объе; г. Мариинск,  в районе дома по ул.Ленина, 105 (павильон)- розничная продажа алкогольной продукции с содержанием эт","лицензия № ОЛ-5869-РПА, Д № 489342, 04.07.2006",c 04.07.2006 по 04.07.2011 продлена с 05.07.2011 по 04.07.2016,
7,"ЗАО Провинция ресурс, ИНН - 4205055375, ОГРН - 1034205062341","650099, г. Кемерово, ул. Красноармейская, дом.120","г. Кемерово, ул. Красноармейская д.120 (кафе)","лицензия № ОЛ-7750-РПА, Д № 488429, 31.07.2008",c 31.07.2008 по 31.07.2010 продлена с 01.08.2011 по 31.07.2012,
8,"ЗАО Пять, ИНН - 4217010467, ОГРН - 1024202130479","654250, Новокузнецкий р-н, п. Кузедеево, ул. Яценко, дом.35","Новокузнецкий р-н, п. Кузедеево, ул. Рябова д.11 (магазин); Новокузнецкий р-н, п. Кузедеево, ул. Ленинская д.2А (магазин)","лицензия № ОЛ-3846-РПА, Д № 451564, 18.02.2005",c 18.02.2005 по 18.02.2008 продлена с 20.02.2009 по 19.02.2014,
9,"ЗАО РегионМарт, ИНН - 4205132478, ОГРН - 1074205012782","650070, г. Кемерово, ул. Тухачевского, дом.50","г. Белово, ул. Рабочая 2-я д.2 (магазин); г. Кемерово, ул. Тухачевского д.50 (магазин); г. Киселевск, Западный Проезд д.3 (магазин); г. Новокузнецк, ул. Куйбышева д.17, кор. 4 (магазин); г. Топки, мкр. Солнечный д.11А (магазин); г. Юрга, ул. Шоссейная д.56 (магазин)","лицензия № ОЛ-6215-РПА, 42 МЕ № 001685, 11.08.2010",c 28.08.2006 по 28.08.2011 продлена с 29.08.2011 по 28.08.2016,
